
[00:00:00.000 --> 00:00:02.000]  (字幕:陳家洛)
[00:00:03.000 --> 00:00:04.000]  Hallelujah
[00:00:04.000 --> 00:00:07.000]  主的兒女聚集在祂的面前
[00:00:07.000 --> 00:00:11.000]  應該發出讚美
[00:00:11.000 --> 00:00:14.000]  不過在香港這兩個星期
[00:00:14.000 --> 00:00:18.000]  可能有些人都有Hallelujah敏感症
[00:00:18.000 --> 00:00:21.000]  有些人瘋狂喜歡唱
[00:00:21.000 --> 00:00:23.000]  唱了十多個小時
[00:00:23.000 --> 00:00:24.000]  還是繼續唱
[00:00:24.000 --> 00:00:28.000]  有些人聽見就可能很反感
[00:00:28.000 --> 00:00:30.000]  親愛的兄弟姐妹
[00:00:30.000 --> 00:00:32.000]  我們作為神的兒女
[00:00:32.000 --> 00:00:37.000]  我們知道Hallelujah真正的意思是什麼
[00:00:37.000 --> 00:00:40.000]  我們仍然要持守
[00:00:40.000 --> 00:00:45.000]  我們在基督裡的盼望、溫柔、忍耐
[00:00:45.000 --> 00:00:48.000]  還有我們真知道
[00:00:48.000 --> 00:00:53.000]  這位主是可稱頌、可敬拜的主
[00:00:53.000 --> 00:00:58.000]  因為祂必定垂聽人的怨聲
[00:00:58.000 --> 00:01:04.000]  祂必定從天上垂估向祂求助的人
[00:01:04.000 --> 00:01:06.000]  無論是誰
[00:01:06.000 --> 00:01:11.000]  我們希望我們心裡都能夠時常有Hallelujah
[00:01:11.000 --> 00:01:14.000]  讚美上主的聲音
[00:01:14.000 --> 00:01:15.000]  好不好
[00:01:15.000 --> 00:01:22.000]  因為地上的萬國都要成為我主基督的國
[00:01:22.000 --> 00:01:23.000]  Hallelujah
[00:01:23.000 --> 00:01:27.000]  Hallelujah Chorus
[00:01:27.000 --> 00:01:30.000]  帶給我們一個完美的景象
[00:01:30.000 --> 00:01:35.000]  多謝示範今早選了一首這麼好的歌
[00:01:35.000 --> 00:01:40.000]  我也在6月9日坐在上高那一處
[00:01:40.000 --> 00:01:45.000]  在這個堂裡面唱《這是天父世界》
[00:01:45.000 --> 00:01:50.000]  自己心裡得到很大的安慰、盼望和鼓勵
[00:01:50.000 --> 00:01:56.000]  所以我也要特別向公理堂的各位同工、弟兄姊妹
[00:01:56.000 --> 00:02:02.000]  代表我們這些街外的基督徒的一個感激
[00:02:02.000 --> 00:02:05.000]  我知道我這樣的感激可能會激動到一些人
[00:02:05.000 --> 00:02:07.000]  我希望你們不要這麼激氣
[00:02:07.000 --> 00:02:11.000]  因為你們的堂會實在在香港的社會裡面
[00:02:11.000 --> 00:02:15.000]  在這個時刻好像一個沙漠的綠洲
[00:02:15.000 --> 00:02:20.000]  對一些困苦的人有個祝福
[00:02:20.000 --> 00:02:23.000]  雖然大家有很多東西可能還需要消化
[00:02:23.000 --> 00:02:25.000]  還需要辯論
[00:02:25.000 --> 00:02:28.000]  我講到之前都是鼓勵大家
[00:02:28.000 --> 00:02:32.000]  不要把事情激在心裡
[00:02:32.000 --> 00:02:35.000]  在主裡面是勇敢的
[00:02:35.000 --> 00:02:38.000]  靜靜地彼此聆聽
[00:02:38.000 --> 00:02:40.000]  然後彼此交談
[00:02:40.000 --> 00:02:46.000]  以致我們在主的面前找出重要的
[00:02:46.000 --> 00:02:51.000]  共同追求解決的方案到底是什麼
[00:02:51.000 --> 00:02:54.000]  今天感謝主讓我們可以回到祂的話語裡
[00:02:54.000 --> 00:02:57.000]  回到祂的話語裡有一個很重要的事情
[00:02:57.000 --> 00:02:59.000]  就是能夠反駁歸真
[00:02:59.000 --> 00:03:03.000]  能夠重整我們整個的生命
[00:03:03.000 --> 00:03:06.000]  請問你聖結嗎?
[00:03:06.000 --> 00:03:09.000]  請問你願意追求聖結嗎?
[00:03:09.000 --> 00:03:12.000]  請問我們華人教會的聖結嗎?
[00:03:12.000 --> 00:03:17.000]  我們華人教會的聖結到底是什麼一回事呢?
[00:03:17.000 --> 00:03:18.000]  你想一想
[00:03:18.000 --> 00:03:22.000]  一般來說我們講到聖結的時候
[00:03:22.000 --> 00:03:26.000]  會不會就是講到那些內心的污穢
[00:03:26.000 --> 00:03:29.000]  那些品德上的行為
[00:03:29.000 --> 00:03:32.000]  那些情慾方面的事
[00:03:32.000 --> 00:03:33.000]  會不會呢?
