
[00:00:00.000 --> 00:00:06.000]  多謝希伯倫和簡牧師的邀請
[00:00:06.000 --> 00:00:15.000]  特別是在過年之前 大家彼此都恭祝新年快樂
[00:00:15.000 --> 00:00:23.000]  今天是顯賢節 剛才讀的經文都是三代經題
[00:00:23.000 --> 00:00:31.000]  不過今天也想說說過年的事情 過年是很高興的
[00:00:31.000 --> 00:00:39.000]  我們說說福氣 中國和中國人的過年 中國文化
[00:00:39.000 --> 00:00:50.000]  後年說說後年說後 說說中國的傳統和文化的事情
[00:00:50.000 --> 00:00:57.000]  首先我們中國人很重視福氣 我引用的經文都是《針研十章》22節
[00:00:57.000 --> 00:00:59.000]  待會我們會讀的
[00:00:59.000 --> 00:01:10.000]  福字對於中國人來說包含很多意思
[00:01:10.000 --> 00:01:16.000]  甚至要倒下來 福氣滿日 聖經裡說福氣滿日
[00:01:16.000 --> 00:01:28.000]  如果從說文解字 福字一邊就是一口田的象形字
[00:01:28.000 --> 00:01:36.000]  象形字其實一口田就是一個人的意思
[00:01:36.000 --> 00:01:41.000]  特別是將它互分成一個富字 富有的富字
[00:01:41.000 --> 00:01:44.000]  代表一個房子 底下是一個人
[00:01:44.000 --> 00:01:54.000]  特別是田字裡的大口代表了充滿
[00:01:54.000 --> 00:02:00.000]  按照形象來說這個人應該是肥肥的 有肚腩
[00:02:00.000 --> 00:02:07.000]  肚腩是福氣 中國人最怕是鶯鵰鬼命
[00:02:07.000 --> 00:02:13.000]  肥肥的就不要自卑 當然不要太肥 不要衣高
[00:02:13.000 --> 00:02:19.000]  香港大學也有一個統計 肥人長命一點
[00:02:19.000 --> 00:02:24.000]  有些脂肪有病的時候 你要有些儲備去面對疾病
[00:02:24.000 --> 00:02:28.000]  太瘦一病的時候很快就溶了
[00:02:28.000 --> 00:02:32.000]  所以福字就代表福氣
[00:02:32.000 --> 00:02:39.000]  不過如果福字和富字 福字和富字其實有關係
[00:02:39.000 --> 00:02:45.000]  有福就是富有 富字其實就是一間房子
[00:02:45.000 --> 00:02:47.000]  上面是一個小房子 底下是一個人
[00:02:47.000 --> 00:02:50.000]  這個人就是很豐富的
[00:02:50.000 --> 00:02:55.000]  豐富的意思就是他不單單有錢和智慧
[00:02:55.000 --> 00:03:01.000]  他有很多東西 他有健康 他有人脈
[00:03:01.000 --> 00:03:06.000]  他有各種相處之道
[00:03:06.000 --> 00:03:11.000]  所以富字就代表豐盛的生命
[00:03:11.000 --> 00:03:18.000]  但是如果從福字旁邊有一個士字
[00:03:18.000 --> 00:03:24.000]  士就是指神的意思 就是上帝的宗教性
[00:03:24.000 --> 00:03:28.000]  所以福字在中國文化上就能夠看到
[00:03:28.000 --> 00:03:32.000]  真正的福是來自上天
[00:03:32.000 --> 00:03:38.000]  中國人在古代不拜偶像 敬天
[00:03:38.000 --> 00:03:44.000]  這個福氣是來自賞善罰惡 獨一的神
[00:03:44.000 --> 00:03:49.000]  你看中國以前天壇是沒有偶像的
[00:03:49.000 --> 00:03:54.000]  古代是沒有偶像的 偶像是後來佛教傳入來
[00:03:54.000 --> 00:03:59.000]  道教所影響 所以有滿天神佛 有很多的神
[00:03:59.000 --> 00:04:08.000]  如果從這個角度看 原來福就指一個人向上天有一種感恩
[00:04:08.000 --> 00:04:15.000]  有一種謙卑感恩 他就會有從上而來的福氣
[00:04:15.000 --> 00:04:19.000]  從上天而來的福氣才是真正的福氣
[00:04:19.000 --> 00:04:25.000]  而不是憑我的能力在世界賺很多錢 建立很多地位
[00:04:25.000 --> 00:04:29.000]  踩人家頭上 去建立自己
[00:04:29.000 --> 00:04:35.000]  那些不是真正的福氣 真正的福氣是來自上天 上帝
[00:04:35.000 --> 00:04:43.000]  所以那個是致福 為人祭 叫致福
[00:04:43.000 --> 00:04:50.000]  明年是猴年 我們在街上都看到猴子 猴子等等
[00:04:50.000 --> 00:04:56.000]  郵票裡面都有了 不單是香港 加拿大郵政
[00:04:56.000 --> 00:05:03.000]  都開始了猴年 因為一本萬利 賣多點 集郵
[00:05:03.000 --> 00:05:08.000]  十月生肖不說了 從猴子來說
[00:05:08.000 --> 00:05:14.000]  在古文裡面就沒有猴這個字 因為猴子很聰明
[00:05:14.000 --> 00:05:18.000]  你抓不到的話 你要用一些方法去等他
[00:05:18.000 --> 00:05:22.000]  所以有等猴的意思 這些猴子和香港的猴子不同
[00:05:22.000 --> 00:05:26.000]  香港的猴子就不用你等 看到你來就搶你吃東西
[00:05:26.000 --> 00:05:32.000]  如果你帶什麼胃腔袋 百佳袋 他們就會走過來
[00:05:32.000 --> 00:05:36.000]  因為香港的猴子餓到發慌
[00:05:36.000 --> 00:05:40.000]  但如果用猴子的本性 他們很怕人
[00:05:40.000 --> 00:05:45.000]  所以要等猴 等猴 猴和猴有關
[00:05:45.000 --> 00:05:51.000]  後來就加上了一個狗爪鞭 就變成了猴
[00:05:51.000 --> 00:05:57.000]  猴年我們中國人很喜歡問你是什麼生肖
[00:05:57.000 --> 00:06:00.000]  什麼生肖可能你就有那個特色
[00:06:00.000 --> 00:06:06.000]  如果60歲 夾子猴年 如果是屬猴大概60歲
[00:06:06.000 --> 00:06:12.000]  或者48歲 或者36歲 不知道了 不要猜了
[00:06:12.000 --> 00:06:19.000]  總之猴就是很好的 機智 聰明 有領導
[00:06:19.000 --> 00:06:26.000]  有很多好的東西 屬猴的人就是很活潑 開朗
[00:06:26.000 --> 00:06:33.000]  也有領導的能力 所以有人說猴年出世也不錯
[00:06:33.000 --> 00:06:38.000]  不過我們不多說了 因為我們知道我們一切的好處來自上帝
[00:06:38.000 --> 00:06:42.000]  不過當我說猴 你一定會說到孫悟空
[00:06:42.000 --> 00:06:50.000]  那我就多說一點 孫悟空這個猴已經是很深入民間
[00:06:50.000 --> 00:06:57.000]  在西遊記裡面是往西天追求一個增福的故事
[00:06:57.000 --> 00:07:03.000]  追求這個取經 為這個神州大地的人帶來經典
[00:07:03.000 --> 00:07:10.000]  經歷很多的萬水千山 但是如果你很小心去看西遊記
[00:07:10.000 --> 00:07:16.000]  你會發現吳承恩這個作者 其實他充滿了對佛教很多的不滿
[00:07:16.000 --> 00:07:21.000]  不過我不知道為什麼西遊記就好像宣傳佛教
[00:07:21.000 --> 00:07:28.000]  吳承恩他一生很老倒 他讀很多書 但是他很破落 很艱苦
[00:07:28.000 --> 00:07:32.000]  甚至他婚姻很艱苦 因為他很窮
[00:07:32.000 --> 00:07:36.000]  他很辛苦去寫成這個小說 而且他很早死
[00:07:36.000 --> 00:07:43.000]  裡面他對當時的制度 對當時的宗教制度有很多不滿的地方
[00:07:43.000 --> 00:07:51.000]  所以這個小說透過孫悟空來對當時的情況有很多的控訴
[00:07:51.000 --> 00:07:55.000]  是一個很反面的教材 首先如果你看西遊記
[00:07:55.000 --> 00:08:02.000]  他對唐僧有很多的嘲諷 唐僧很蠢 判斷錯誤
[00:08:02.000 --> 00:08:09.000]  猴子很聰明 又會冤枉人 就是一個這麼出名的僧人
[00:08:09.000 --> 00:08:13.000]  在吳承恩筆下其實是有些白痴的
[00:08:13.000 --> 00:08:18.000]  這是第一個 更加嚴重的是什麼呢?
[00:08:18.000 --> 00:08:25.000]  就是他們去西方取經 西天極樂世界應該是最高境界
[00:08:25.000 --> 00:08:30.000]  比如我們基督教說的天堂上面已經是一個最美滿的地方
[00:08:30.000 --> 00:08:34.000]  但你發現在西遊記第98集裡面
[00:08:34.000 --> 00:08:41.000]  他們說西天是一個貪污斂財之地 你就真的要死
[00:08:41.000 --> 00:08:48.000]  他們很辛苦 司徒四個人 唐僧和三徒弟
[00:08:48.000 --> 00:08:56.000]  歷盡千辛萬苦去到西天 去到嘉業村井
[00:08:56.000 --> 00:09:03.000]  然後就拿經典 結果他就給他一大堆經典
[00:09:03.000 --> 00:09:10.000]  回頭看的時候就發現經典是沒有字的
[00:09:10.000 --> 00:09:17.000]  無字天書 雖然有些佛教人士說無字天書才是真正的經典
[00:09:17.000 --> 00:09:23.000]  在心中 唐僧就說無字天書應該是回來殺頭的
[00:09:23.000 --> 00:09:28.000]  因為唐朝皇帝派他出來就要拿有字天書 大家看得明白
[00:09:28.000 --> 00:09:32.000]  要拿回去是沒有用的 於是他們很氣憤
[00:09:32.000 --> 00:09:37.000]  氣憤就要回去 回去之後孫悟空就很生氣
[00:09:37.000 --> 00:09:39.000]  為什麼要給我這些書呢?
[00:09:39.000 --> 00:09:43.000]  那個人就說當然了 你都沒有錢給我
[00:09:43.000 --> 00:09:48.000]  你都沒有手信給我 我就給你假的東西
[00:09:48.000 --> 00:09:53.000]  他就投訴 生氣得不得了 去佛祖投訴
[00:09:53.000 --> 00:09:58.000]  不是我作的 西遊記第98回 佛祖怎麼說的
[00:09:58.000 --> 00:10:02.000]  不要吵 不要吵 他們要問你拿錢 我早就知道了
[00:10:02.000 --> 00:10:07.000]  你沒有錢嘛 當然給你無字天書了
[00:10:07.000 --> 00:10:15.000]  就是說原來這樣做是合法的 如果今天廉署就要抓他了
[00:10:15.000 --> 00:10:23.000]  人事啊 要問你拿人事 賄賂小費 他們都知道 公開的
[00:10:23.000 --> 00:10:30.000]  這樣去描述 其實在背後有一種不成因
[00:10:30.000 --> 00:10:38.000]  對於宗教上是有一種不滿 不單止這樣
[00:10:38.000 --> 00:10:44.000]  在佛祖面前吵完就下去 佛祖就說好吧 給他吧
[00:10:44.000 --> 00:10:51.000]  下去之後 去到真劉保國那些人依然不給他
[00:10:51.000 --> 00:10:56.000]  沒錢沒得給 唐僧說我沒錢 我這麼辛苦來到
[00:10:56.000 --> 00:11:00.000]  我還有什麼錢呢 他說沒有啊
[00:11:00.000 --> 00:11:08.000]  就看到他拿著唐朝皇帝送給他的紙金撥魚
[00:11:08.000 --> 00:11:13.000]  那個用來做什麼呢? 化緣的嘛 去到哪裡拿著一個盤子
[00:11:13.000 --> 00:11:18.000]  給他吃東西 這個都不放過 你就給這個我吧
[00:11:18.000 --> 00:11:22.000]  唐僧沒辦法了 於是就給了唯一的財物
[00:11:22.000 --> 00:11:26.000]  就是紙金撥魚給他 你說是不是很可憐啊
[00:11:26.000 --> 00:11:32.000]  回頭連個撥都沒有了 怎麼剋食啊 餓死的啊
[00:11:32.000 --> 00:11:38.000]  結果就送給他 你看了下去還很氣憤 人們笑
[00:11:38.000 --> 00:11:45.000]  笑他們 所以你會發現這個真福去到
[00:11:45.000 --> 00:11:48.000]  到底是不是可以有真福給他們呢?
[00:11:48.000 --> 00:11:51.000]  這個小說可圈可點 我經常覺得
[00:11:51.000 --> 00:11:58.000]  在民間上可圈可點 我們就不是說要踩他們
[00:11:58.000 --> 00:12:06.000]  照小說當時所說的 我們看回今天我們要講的主題
[00:12:06.000 --> 00:12:10.000]  我們一起讀吧 《針研十章二十二節》
[00:12:10.000 --> 00:12:16.000]  耶和華所賜的福使人富足 並不加上憂慮
[00:12:16.000 --> 00:12:21.000]  耶和華所賜的福使人富足 並不加上憂慮
[00:12:21.000 --> 00:12:24.000]  有三樣 福氣 富足 憂慮
[00:12:24.000 --> 00:12:27.000]  富足我剛才看過了 一個豐富的生命
[00:12:27.000 --> 00:12:33.000]  福氣是什麼呢? 福氣是帶來豐盛的生命
[00:12:33.000 --> 00:12:38.000]  不會有各樣的煩惱 負面的事
[00:12:38.000 --> 00:12:44.000]  如果我們看聖經 福氣這個字 舊約福氣
[00:12:44.000 --> 00:12:48.000]  是經常出現的 比如在祝福裡面
[00:12:48.000 --> 00:12:51.000]  耶和華賜福給你 施恩給你
[00:12:51.000 --> 00:12:58.000]  這個福氣有六百多次 由創世記到摩拉基書
[00:12:58.000 --> 00:13:07.000]  這個字根 福氣這個字 其實是跪低的意思
[00:13:07.000 --> 00:13:12.000]  原來這個福氣 說到我們去領受這個福氣
[00:13:12.000 --> 00:13:17.000]  首先是動作上 我們要謙卑跪下來
[00:13:17.000 --> 00:13:21.000]  是面對上帝 我們要謙卑
[00:13:21.000 --> 00:13:25.000]  不是說我有什麼本事 神要給我福氣
[00:13:25.000 --> 00:13:28.000]  而是我們要謙卑跪下才能領受
[00:13:28.000 --> 00:13:31.000]  所以福氣是要從上頭而來的
[00:13:31.000 --> 00:13:36.000]  從上主而來的才是真正的福氣
[00:13:36.000 --> 00:13:40.000]  聖經裡面提到福氣是什麼呢?
[00:13:40.000 --> 00:13:46.000]  就是從來是慰訓大的 賜福給慰訓少的
[00:13:46.000 --> 00:13:49.000]  希伯來書第七章提到
[00:13:49.000 --> 00:13:56.000]  通常就是你祝福 牧師為你祝福
[00:13:56.000 --> 00:14:00.000]  或者長輩給你福氣
[00:14:00.000 --> 00:14:05.000]  給你禮事也是 代表祝福 福氣
[00:14:05.000 --> 00:14:11.000]  因為長輩給你禮事 不是說後輩給長輩禮事
[00:14:11.000 --> 00:14:17.000]  祝福是蒙受恩典 帶來富足和成功
[00:14:17.000 --> 00:14:20.000]  在生命記這段經文 其實是說到
[00:14:20.000 --> 00:14:27.000]  福氣是上帝無條件賜給我們
[00:14:27.000 --> 00:14:32.000]  上帝是用他的憐憫和慈愛來給我們
