
[00:00:00.000 --> 00:00:11.840]  大家好 今天我們這篇道教導是神叫我們回轉回去
[00:00:11.840 --> 00:00:15.100]  他就轉回我們了
[00:00:15.100 --> 00:00:20.000]  經文是撒加利亞書第一章頭幾節
[00:00:20.000 --> 00:00:24.000]  大家都知道我們在這段時期
[00:00:24.000 --> 00:00:27.000]  我們叫做大齋期
[00:00:27.000 --> 00:00:36.000]  這段時期和猶太人的贖罪日是相似的
[00:00:36.000 --> 00:00:40.000]  猶太人的贖罪日是十天
[00:00:40.000 --> 00:00:42.000]  我們是四十天
[00:00:42.000 --> 00:00:44.000]  所以時間上我們是長一點的
[00:00:44.000 --> 00:00:46.000]  不過要做的事情是差不多一樣的
[00:00:46.000 --> 00:00:48.000]  他們的贖罪日
[00:00:48.000 --> 00:00:50.000]  之前的十天他們就是認罪
[00:00:50.000 --> 00:00:54.000]  在神面前思想自己的生命
[00:00:54.000 --> 00:01:02.000]  悔改、轉回、改變等等
[00:01:02.000 --> 00:01:05.000]  我們大齋期也是一樣的
[00:01:05.000 --> 00:01:10.000]  我們需要在這段時期去思考自己的生命
[00:01:10.000 --> 00:01:13.000]  如果有什麼要改變、要回轉的
[00:01:13.000 --> 00:01:18.000]  這個時期是好的機會來做的
[00:01:18.000 --> 00:01:20.000]  一年一次最低限度
[00:01:20.000 --> 00:01:22.000]  我覺得我們真的需要做的
[00:01:22.000 --> 00:01:26.000]  不過多數我們說的是悔改
[00:01:26.000 --> 00:01:28.000]  我們用的字就是悔改
[00:01:28.000 --> 00:01:31.000]  悔改這個字是不好聽的
[00:01:31.000 --> 00:01:33.000]  感覺上是有一點貶義的
[00:01:33.000 --> 00:01:35.000]  即是說我錯了
[00:01:35.000 --> 00:01:42.000]  總之是有點斥責的意思
[00:01:42.000 --> 00:01:50.000]  但是這個字根本上是一個好的字
[00:01:50.000 --> 00:01:51.000]  為什麼呢?
[00:01:51.000 --> 00:01:55.000]  如果錯了我們需要做得對
[00:01:55.000 --> 00:02:01.000]  我記得我年輕的時候去一個培靈會
[00:02:01.000 --> 00:02:03.000]  有一個牧師就這樣說
[00:02:03.000 --> 00:02:05.000]  什麼叫做悔改?
[00:02:05.000 --> 00:02:09.000]  悔改就即時好像我們上了巴士
[00:02:09.000 --> 00:02:11.000]  發覺上錯了巴士
[00:02:11.000 --> 00:02:13.000]  上錯了巴士怎麼辦呢?
[00:02:13.000 --> 00:02:18.000]  我們要下車再去坐一個正確的巴士
[00:02:18.000 --> 00:02:20.000]  這個就叫做悔改
[00:02:20.000 --> 00:02:23.000]  如果我們上錯了巴士
