
[00:00:00.000 --> 00:00:07.360]  相信大家都有試過給禮物給別人
[00:00:07.360 --> 00:00:10.320]  一次半次實在都不是很難的
[00:00:10.320 --> 00:00:14.440]  不過如果你有一個人你年年都要給的
[00:00:14.440 --> 00:00:17.920]  給十年八年之後還有什麼好給呢?
[00:00:17.920 --> 00:00:20.320]  例如自己的配偶那些
[00:00:20.320 --> 00:00:22.240]  我也有這個問題的
[00:00:22.240 --> 00:00:25.520]  給給下也不知道有什麼好給
[00:00:25.520 --> 00:00:28.800]  今時今日當然是上AI那裏查一下
[00:00:28.800 --> 00:00:37.120]  原來AI就將我的問題轉做給一個很有錢的人
[00:00:37.120 --> 00:00:39.080]  因為沒有什麼好給
[00:00:39.080 --> 00:00:45.800]  原來有錢人給的是社會地位獨家的東西
[00:00:45.800 --> 00:00:50.680]  例如私人太空旅程
[00:00:50.680 --> 00:00:53.920]  哇 給不起 不用想了
[00:00:53.920 --> 00:00:57.720]  另外一個AI也是這樣說 獨特的經驗
[00:00:57.720 --> 00:00:59.640]  給了有些東西的
[00:00:59.640 --> 00:01:01.840]  獨特的經驗其中一樣是什麼呢?
[00:01:01.840 --> 00:01:04.760]  又是那個私人太空旅程
[00:01:04.760 --> 00:01:08.760]  我又發覺最近好像在美國是有的
[00:01:08.760 --> 00:01:11.720]  有些人就是私人給一些錢
[00:01:11.720 --> 00:01:15.200]  然後又去太空那裏旅遊
[00:01:15.200 --> 00:01:17.160]  我想講一件事
[00:01:17.160 --> 00:01:19.200]  就是給禮物給給客人
[00:01:19.200 --> 00:01:21.000]  尤其是你覺得那個人沒有什麼需要的
[00:01:21.000 --> 00:01:23.400]  你給什麼他就好了
[00:01:23.400 --> 00:01:25.280]  那我們又給什麼神呢?
[00:01:25.280 --> 00:01:27.640]  神正正就是我們沒有什麼需要的
[00:01:27.640 --> 00:01:29.920]  又是我們經常給的東西
[00:01:29.920 --> 00:01:31.320]  那怎麼辦呢?
[00:01:31.320 --> 00:01:35.200]  既然我們沒有什麼可以給他需要的
[00:01:35.200 --> 00:01:38.240]  那就是他肯接受什麼
[00:01:38.240 --> 00:01:40.680]  現在不是我們可以給他什麼
[00:01:40.680 --> 00:01:42.880]  他肯接受我們給他什麼
[00:01:42.880 --> 00:01:44.320]  那他肯接受什麼呢?
[00:01:44.320 --> 00:01:45.800]  在這段經文裏面
[00:01:45.800 --> 00:01:49.280]  原來神肯接受我們的讚美
[00:01:49.280 --> 00:01:52.160]  那好了 有一樣東西可以給
[00:01:52.160 --> 00:01:54.200]  如果大家看那裏寫的
[00:01:54.200 --> 00:01:57.440]  就是「在石安人都等候讚美你」
[00:01:57.440 --> 00:02:00.520]  就是《和本和修版》都差不多是這樣
[00:02:00.520 --> 00:02:02.560]  那個「等候」那個字
[00:02:02.560 --> 00:02:04.800]  實在就不是「等候」那個字
[00:02:04.800 --> 00:02:06.000]  你要相信一下我的
[00:02:06.000 --> 00:02:08.400]  希伯來文不是「等候」
[00:02:08.400 --> 00:02:11.480]  是什麼呢?實在是「靜默」那個意思
[00:02:11.480 --> 00:02:13.000]  實在有兩個可能性
[00:02:13.000 --> 00:02:15.680]  一個是「靜默」 一個是「合而」
[00:02:15.680 --> 00:02:16.760]  為什麼是這樣呢?
[00:02:16.760 --> 00:02:20.520]  總之那個字寫出來就有兩個可能性
[00:02:20.520 --> 00:02:23.080]  那些學者就想一下
[00:02:23.080 --> 00:02:25.000]  「靜默」就是「靜默」那個字
[00:02:25.000 --> 00:02:26.080]  「靜默」和「讚美」
[00:02:26.080 --> 00:02:28.400]  那為什麼「靜默」和「讚美」可以放在一起呢?
[00:02:28.400 --> 00:02:30.920]  那就根據這個解釋
[00:02:30.920 --> 00:02:33.480]  有三個不同的解釋走出來了
[00:02:33.480 --> 00:02:36.720]  每個都挺有啟發性的
[00:02:36.720 --> 00:02:38.360]  所以我跟大家分享一下
[00:02:38.360 --> 00:02:40.080]  給你去參考 是不是?
[00:02:40.080 --> 00:02:44.080]  第一個就是「靜默」與「讚美」
[00:02:44.080 --> 00:02:47.600]  那麼我們有「靜默」的時間
[00:02:47.600 --> 00:02:48.960]  有「讚美」的時間
[00:02:48.960 --> 00:02:51.920]  所以「在石安人」有「靜默」
[00:02:51.920 --> 00:02:53.520]  有「讚美你」
[00:02:53.520 --> 00:02:54.960]  這是第一個
[00:02:54.960 --> 00:02:56.680]  第二個是什麼呢?
[00:02:56.680 --> 00:02:59.280]  「靜默」的意思
