
[00:00:00.000 --> 00:00:12.600]  其實我們還有一個信息會講完整個系列,如何背起十字架來跟從耶穌基督
[00:00:12.600 --> 00:00:17.600]  講完這個系列之後,我會講一個單元的講座
[00:00:17.600 --> 00:00:24.120]  就是我幾個月前去Cal State Northridge和年輕人講的一篇
[00:00:24.120 --> 00:00:27.600]  我覺得很有意思,叫做德救與成聖
[00:00:27.600 --> 00:00:35.600]  這個講座就是將舊約和新約連在一起,舊約和新約講的東西很相似
[00:00:35.600 --> 00:00:43.600]  還有更加是加上神跡其事,讓我們看到聖經真是神的話語
[00:00:43.600 --> 00:00:48.600]  所以我覺得這篇很有意思,我就會講完這個系列
[00:00:48.600 --> 00:00:59.200]  跟著在2020年一開始就會講十二先知,在舊約被認為是小先知書
[00:00:59.200 --> 00:01:06.600]  其實小先知書不是因為它們不重要,是因為篇幅比較小,所以會講十二小先知
[00:01:06.600 --> 00:01:21.600]  但是這個不會是逐節經文解經,這個是整體來看十二先知書,它的連貫性,它的一致性和它的重要性
[00:01:21.600 --> 00:01:27.600]  所以這個在2020年就會講這個系列
[00:01:27.600 --> 00:01:40.600]  接著會講什麼呢?我相信我會和Pastor Eric談談主任木茲,然後就會和大家在我們的會員大會會宣佈會講什麼
[00:01:40.600 --> 00:01:53.600]  我說這個系列,我們說到耶穌基督是將門徒送入世上,就好像送羊進狼群一樣
[00:01:53.600 --> 00:02:02.600]  其實我們基督徒都是一樣,記不記得聖經告訴我們,我們是在這世上,但是我們不屬於這個世上
[00:02:02.600 --> 00:02:07.600]  所以其實我們的身份都是好像羊在狼群裡面
[00:02:07.600 --> 00:02:14.600]  我們說耶穌基督教我們要有門徒的標誌,說了今天是第三個
[00:02:14.600 --> 00:02:28.600]  第一個是要像耶穌基督,在瑪太福音第十章第24至25節,我們說門徒要像先生
[00:02:28.600 --> 00:02:33.600]  我們說服人要像主人,我們要像耶穌基督
[00:02:33.600 --> 00:02:39.600]  當我們越來越像耶穌基督的時候,我們說有兩個極端的反應
[00:02:39.600 --> 00:02:50.600]  一個反應就是那些被神呼召的人,他們會看到我們很吸引,也希望像我們這樣成為基督徒
[00:02:50.600 --> 00:03:00.600]  但是另一方面,當我們越來越像耶穌基督的時候,不信的人對我們的逼迫,對我們的仇視也會越來越大
