
[00:00:00.000 --> 00:00:02.860]  大家好 是不是還沒吃飯的那些
[00:00:02.860 --> 00:00:05.860]  好啊 好啊 好啊
[00:00:05.860 --> 00:00:09.440]  那今天時間不會很長
[00:00:09.440 --> 00:00:13.780]  一個小時多一點 你有什麼可以跟我
[00:00:13.780 --> 00:00:16.680]  可能你教一下我都未必懂的 未必我懂得回答你的
[00:00:16.680 --> 00:00:22.080]  因為大家界定那個中年退休可能不同的
[00:00:22.080 --> 00:00:25.980]  我想問一下有多少人覺得自己退了休的 舉手
[00:00:25.980 --> 00:00:30.880]  退了休的 啊
[00:00:30.880 --> 00:00:35.200]  有些人舉手又想放下 真的捨不得的
[00:00:35.200 --> 00:00:41.400]  但是有沒有人的心是想計劃退休的 舉手
[00:00:41.400 --> 00:00:47.440]  都不是很多的 那就很靜 想著怎麼樣呢?
[00:00:47.440 --> 00:00:51.780]  有得做就好了 好了 第一個問題開始了
[00:00:51.780 --> 00:00:56.780]  其實有些人覺得有得做才是好 是不是
[00:00:56.780 --> 00:00:58.940]  如果沒得做會是怎麼樣呢?
[00:00:58.940 --> 00:01:01.660]  沒得做可能很慘的
[00:01:01.660 --> 00:01:04.980]  我想用我教書的方式
[00:01:04.980 --> 00:01:10.400]  講一個很重要的很短的理論叫做潛能遞減論
[00:01:10.400 --> 00:01:14.260]  潛能遞減論就是說你所有懂的東西
[00:01:14.260 --> 00:01:19.780]  如果你一年到五年來是很少用 很少講
[00:01:19.780 --> 00:01:22.680]  很少跟人講 很少想
[00:01:22.680 --> 00:01:27.100]  那樣東西在你的腦裡面是會沒有的
[00:01:27.100 --> 00:01:32.820]  沒有的 比如我想大家以前都在讀書
[00:01:32.820 --> 00:01:37.660]  是看過英文書 英文科本
[00:01:37.660 --> 00:01:41.960]  但是我很肯定你不會一半以上的
[00:01:41.960 --> 00:01:45.860]  以前的英文字已經是忘記了
[00:01:45.860 --> 00:01:48.280]  起碼如果我默書 我讀
[00:01:48.280 --> 00:01:50.280]  很多時候你都不會算的
[00:01:50.280 --> 00:01:53.940]  但是你以前是算對的 以前你是對的
[00:01:53.940 --> 00:01:56.520]  所以你教你的子女
[00:01:56.520 --> 00:01:59.280]  教到小學差不多三年班差不多
[00:01:59.280 --> 00:02:04.100]  你已經教不了了 為什麼呢?
[00:02:04.100 --> 00:02:07.140]  我不是不懂 我是忘記了 是不是
[00:02:07.140 --> 00:02:09.980]  是忘記了 特別數學
[00:02:09.980 --> 00:02:11.380]  特別是你真的不會算
[00:02:11.380 --> 00:02:15.200]  但是你以前再深一點你都算得到的
[00:02:15.200 --> 00:02:17.780]  其實你的潛能是遞減了的
[00:02:17.780 --> 00:02:23.260]  科學計算就是五年不用就會沒有了
[00:02:23.260 --> 00:02:25.520]  比如舉個例子 大膽舉個例子
[00:02:25.520 --> 00:02:29.100]  你們一定可以的 拿筷子用右手
[00:02:29.100 --> 00:02:32.540]  如果你有什麼意外
[00:02:32.540 --> 00:02:35.580]  右手突然間手指遇到意外
[00:02:35.580 --> 00:02:39.220]  總之失靈 做手術 反駁不滿
[00:02:39.220 --> 00:02:41.020]  你未必會拿筷子
[00:02:41.020 --> 00:02:45.560]  就算是假的手指跟它駁到你未必會拿
[00:02:45.560 --> 00:02:47.560]  你已經不行了
[00:02:47.560 --> 00:02:49.720]  今天我講的題目
[00:02:49.720 --> 00:02:54.720]  要考慮的問題就是退休是一種工作能力
[00:02:54.720 --> 00:02:57.720]  然後經過了你想停止了它
[00:02:57.720 --> 00:02:59.980]  但是要考慮的問題就是你停止了它
[00:02:59.980 --> 00:03:01.980]  你回不回頭的
