
[00:00:00.000 --> 00:00:07.000]  我們今晚進入啟示錄第九章
[00:00:07.000 --> 00:00:12.500]  我給大家的筆記有第九章和第十章
[00:00:12.500 --> 00:00:14.500]  如果我們今晚有時間的話
[00:00:14.500 --> 00:00:16.500]  我們也會進入第十章
[00:00:16.500 --> 00:00:19.500]  但在開始第九章之前
[00:00:19.500 --> 00:00:26.500]  我就想用share screen來給大家看一幅圖
[00:00:26.500 --> 00:00:33.000]  大家先看這條線的最左邊就是紅色那裡
[00:00:33.000 --> 00:00:35.000]  我也很多次提過
[00:00:35.000 --> 00:00:39.000]  這就是我們今天處於教會時代
[00:00:39.000 --> 00:00:43.000]  這個時代在舊約是一個奧秘
[00:00:43.000 --> 00:00:47.500]  就連好像但爾利、以賽亞這些先知
[00:00:47.500 --> 00:00:51.000]  都不知道有這個教會時代
[00:00:51.000 --> 00:00:53.500]  耶穌第一次提到教會時代
[00:00:53.500 --> 00:00:56.500]  就在馬太福音第十六章那裡
[00:00:56.500 --> 00:00:58.500]  他和彼得的對話
[00:00:58.500 --> 00:01:04.000]  他說我要將我的教會建立在這個盆石上
[00:01:04.000 --> 00:01:07.500]  請大家留意耶穌基督說我的教會
[00:01:07.500 --> 00:01:09.500]  所以教會是屬於他的
[00:01:09.500 --> 00:01:11.500]  他是教會的元首
[00:01:11.500 --> 00:01:13.000]  他也是教會的頭
[00:01:13.000 --> 00:01:16.000]  教會就是我們這群信主的人
[00:01:16.000 --> 00:01:18.500]  聯合起來就成為教會
[00:01:18.500 --> 00:01:20.500]  我們教會是基督的身輔
[00:01:20.500 --> 00:01:23.500]  是基督用寶血所買熟回來的
[00:01:23.500 --> 00:01:28.500]  所以我們這群人和主耶穌的關係是很特別的
[00:01:28.500 --> 00:01:32.500]  保羅就打開教會的奧秘
[00:01:32.500 --> 00:01:35.500]  特別是在以弗所書第三章那裡
[00:01:35.500 --> 00:01:39.500]  然後我們今天知道在神的整個計劃裡面
[00:01:39.500 --> 00:01:42.500]  現在我們正處於教會時代
[00:01:42.500 --> 00:01:47.500]  由主耶穌升天之後第一個五重節開始
[00:01:47.500 --> 00:01:51.500]  彼得講到三千人信主教會時代就開始
[00:01:51.500 --> 00:01:54.500]  一直到今天都是教會時代
[00:01:54.500 --> 00:01:58.500]  教會時代我也稱它為恩典的時代
[00:01:58.500 --> 00:02:03.500]  它是向著外邦人救恩的門大開
[00:02:03.500 --> 00:02:07.500]  讓外邦人可以信主可以得救
[00:02:07.500 --> 00:02:10.500]  這個教會時代什麼時候結束呢?
[00:02:10.500 --> 00:02:13.500]  我也說過教會被提之後
[00:02:13.500 --> 00:02:15.500]  這個教會時代就結束了
[00:02:15.500 --> 00:02:19.500]  因為地上再沒有信徒在
[00:02:19.500 --> 00:02:23.500]  起碼被提的一刻所有信徒都會不見了
[00:02:23.500 --> 00:02:26.500]  地上就只有留下未信的人
[00:02:26.500 --> 00:02:29.500]  或者未真正信的人
[00:02:29.500 --> 00:02:35.500]  我自己比較相信教會被提是在大災難之前
[00:02:35.500 --> 00:02:40.500]  過去兩個星期我們就說過災前被提
[00:02:40.500 --> 00:02:43.500]  我們說過災中災後被提
[00:02:43.500 --> 00:02:48.500]  跟大家分析過他們的聖經根據是什麼
[00:02:48.500 --> 00:02:55.500]  整體來說我都是比較贊成教會時代結束
[00:02:55.500 --> 00:02:59.500]  然後才開始七年的大災難
[00:02:59.500 --> 00:03:02.500]  我覺得這個是比較合理的
[00:03:02.500 --> 00:03:03.500]  幾個主要的原因
[00:03:03.500 --> 00:03:06.500]  第一就是聖經裡面告訴我們
[00:03:06.500 --> 00:03:12.500]  主耶穌再回來是有這個叫做imminence的因素
[00:03:12.500 --> 00:03:15.500]  imminence就是說預先不知道的
[00:03:15.500 --> 00:03:18.500]  主耶穌說祂是仁慈在地上的時候
[00:03:18.500 --> 00:03:19.500]  祂自己都不知道
[00:03:19.500 --> 00:03:23.500]  所以主耶穌什麼時候回來我們是沒得猜的
[00:03:23.500 --> 00:03:27.500]  這個是災前被提是比較合理的
[00:03:27.500 --> 00:03:30.500]  如果我們被提了七年的時間
[00:03:30.500 --> 00:03:35.500]  從主耶穌在天上就好像啟示錄第四章第五章
[00:03:35.500 --> 00:03:40.500]  在天上敬拜而地上進入大災難
[00:03:40.500 --> 00:03:43.500]  這個是比較合理的
[00:03:43.500 --> 00:03:45.500]  我們教會被提了
[00:03:45.500 --> 00:03:48.500]  打了一個問號在這裡
[00:03:48.500 --> 00:03:51.500]  就是說我認為這個是比較合理的
[00:03:51.500 --> 00:03:54.500]  但是我不敢說這個一定對
[00:03:54.500 --> 00:03:56.500]  因為聖經沒有告訴我們
[00:03:56.500 --> 00:04:01.500]  所以我們只是從不同的經文裡面來揣摩
[00:04:01.500 --> 00:04:04.500]  哪一個是比較可能的
[00:04:04.500 --> 00:04:08.500]  然後地上就進入七年大災難
[00:04:08.500 --> 00:04:12.500]  這條線黑色那裡就是那七年了
[00:04:12.500 --> 00:04:14.500]  中間就是一七之半
[00:04:14.500 --> 00:04:18.500]  我們最初開始的時候啟示錄第六章
[00:04:18.500 --> 00:04:23.500]  大家記得我們先查過有四隻馬
[00:04:23.500 --> 00:04:27.500]  這四隻馬一二三四
