
[00:00:00.000 --> 00:00:05.000]  各位弟兄姊妹你們好
[00:00:05.000 --> 00:00:09.000]  再次歡迎大家參加我們網上的主日崇拜
[00:00:09.000 --> 00:00:13.000]  我們繼續思想哈伯谷書的信息
[00:00:13.000 --> 00:00:17.000]  今回我們講到第三講 苦罪之謎
[00:00:17.000 --> 00:00:22.000]  經文是記載在哈伯谷書第一章十二節至十七節
[00:00:22.000 --> 00:00:26.000]  相傳有一個關於成吉思汗的故事
[00:00:26.000 --> 00:00:30.000]  成吉思汗養了一隻貂非常精警
[00:00:30.000 --> 00:00:35.000]  可以遨遊天空俯視一切一目了然
[00:00:35.000 --> 00:00:39.000]  成吉思汗當了貂為探子
[00:00:39.000 --> 00:00:41.000]  亦視貂為寵物
[00:00:41.000 --> 00:00:46.000]  無論去那裡 總有貂相陪
[00:00:46.000 --> 00:00:49.000]  有一天成吉思汗去打獵
[00:00:49.000 --> 00:00:55.000]  打了一整天 非常疲倦和口渴
[00:00:55.000 --> 00:00:59.000]  他的助客來到溪水旁
[00:00:59.000 --> 00:01:03.000]  滿以為可以喝一口清涼可口的溪水
[00:01:03.000 --> 00:01:09.000]  誰知他想用手拿水來喝的時候
[00:01:09.000 --> 00:01:13.000]  本來一嘗下這個所謂清涼可口的溪水
[00:01:13.000 --> 00:01:17.000]  誰知他忽然苦衷而下
[00:01:17.000 --> 00:01:22.000]  端他的手 成吉思汗無法喝
[00:01:22.000 --> 00:01:26.000]  當時他很生氣 遷就了這隻貂
[00:01:26.000 --> 00:01:33.000]  然後再次屈身 準備再喝這些清涼可口的溪水
[00:01:33.000 --> 00:01:39.000]  誰知這隻貂又重施故技 又咬他的手
[00:01:39.000 --> 00:01:44.000]  接二連三 像有意地捉弄他
[00:01:44.000 --> 00:01:48.000]  成吉思汗實在忍不住了
[00:01:48.000 --> 00:01:54.000]  於是他生氣起來 拿著刀向他心愛的貂劈下去
[00:01:54.000 --> 00:02:00.000]  這隻貂立時鮮血四濺 嗚呼四去
[00:02:00.000 --> 00:02:05.000]  當成吉思汗見到自己心愛的貂被自己下毒手
[00:02:05.000 --> 00:02:09.000]  他開始有點後悔和難過
[00:02:09.000 --> 00:02:16.000]  心裡想 這隻貂是我忠心的探子
[00:02:16.000 --> 00:02:21.000]  為何這次 幾次都阻止我喝水呢?
[00:02:21.000 --> 00:02:23.000]  莫非另有原因?
[00:02:23.000 --> 00:02:27.000]  於是他沿著溪澗而上
[00:02:27.000 --> 00:02:34.000]  走到不遠 竟然發覺一條大毒蛇死在水中
[00:02:34.000 --> 00:02:42.000]  溪水被毒蛇的血染了 變得有毒
[00:02:42.000 --> 00:02:48.000]  他才知道這隻貂為何屢次阻止他喝溪水
[00:02:48.000 --> 00:02:50.000]  可惜為時已晚
[00:02:50.000 --> 00:02:54.000]  他心愛的貂死在他的慾望之下
[00:02:54.000 --> 00:02:59.000]  而他自己深為自己的慾望而不安
[00:02:59.000 --> 00:03:03.000]  事實上我們一樣如此慾望
[00:03:03.000 --> 00:03:06.000]  我們好像成吉思汗一樣只看眼前
[00:03:06.000 --> 00:03:10.000]  眼前的是清涼我口的溪水
[00:03:10.000 --> 00:03:14.000]  而我亦是最需要喝水之際
[00:03:14.000 --> 00:03:18.000]  為何這隻貂作為我的僕人
[00:03:18.000 --> 00:03:24.000]  阻止我去享受這些清涼可口的溪水呢?
[00:03:24.000 --> 00:03:28.000]  很簡單 那隻貂在空中俯視一切
[00:03:28.000 --> 00:03:32.000]  一目了然知道這是有毒的溪水
[00:03:32.000 --> 00:03:35.000]  一喝就會死了 所以阻止
[00:03:35.000 --> 00:03:39.000]  但是成吉思汗看不到
[00:03:39.000 --> 00:03:43.000]  兩種不同的眼光帶來兩種不同的看法
[00:03:43.000 --> 00:03:47.000]  傳道書的作者所羅門王
[00:03:47.000 --> 00:03:51.000]  稱為「日光之下」的看法
[00:03:51.000 --> 00:03:55.000]  只看眼前 以為這是事實
[00:03:55.000 --> 00:03:58.000]  事實就是這些水是清涼可口的
[00:03:58.000 --> 00:04:01.000]  我有頸渴的 我一定要喝
[00:04:01.000 --> 00:04:04.000]  但是這隻貂就不同了
[00:04:04.000 --> 00:04:07.000]  從空中俯視一目了然
[00:04:07.000 --> 00:04:10.000]  是叫「日光之上」的人生觀
[00:04:10.000 --> 00:04:14.000]  他知道甚麼叫好 甚麼叫不好
[00:04:14.000 --> 00:04:17.000]  就像上帝一樣 神造萬物
[00:04:17.000 --> 00:04:20.000]  各按其時成為美好
[00:04:20.000 --> 00:04:24.000]  但對我們來說 我們不明白
[00:04:24.000 --> 00:04:27.000]  最近我聽到一位姐妹跟我分享
[00:04:27.000 --> 00:04:31.000]  這個疫症對一些基督徒的打擊和影響
[00:04:31.000 --> 00:04:36.000]  教會裏面有不少信徒是從中國大陸來美國定居
[00:04:36.000 --> 00:04:39.000]  當疫症爆發的時候 在中國爆發的時候
[00:04:39.000 --> 00:04:41.000]  他們就這樣說
[00:04:41.000 --> 00:04:44.000]  大陸政府是一個無神論的政府 不信神
[00:04:44.000 --> 00:04:48.000]  不行公義 神就去責罰他們
[00:04:48.000 --> 00:04:52.000]  用疫症來責罰他們
[00:04:52.000 --> 00:04:55.000]  他們能夠移民來美國
[00:04:55.000 --> 00:04:58.000]  這是基督教的國家
[00:04:58.000 --> 00:05:03.000]  既有宗教信仰自由 又有好的醫療制度
[00:05:03.000 --> 00:05:06.000]  又可以在這裏安定生活
[00:05:06.000 --> 00:05:09.000]  這是上帝的祝福
[00:05:09.000 --> 00:05:12.000]  但怎知這陣子
[00:05:12.000 --> 00:05:16.000]  美國這個所謂基督教的國家
[00:05:16.000 --> 00:05:20.000]  一樣受到疫症 而且是勁爆
[00:05:20.000 --> 00:05:25.000]  他們就問 為甚麼作為一個基督教的國家
[00:05:25.000 --> 00:05:28.000]  都會有疫症呢
[00:05:28.000 --> 00:05:31.000]  難道神又是審判美國
[00:05:31.000 --> 00:05:35.000]  我們移民來美國 得不到祝福
[00:05:35.000 --> 00:05:38.000]  這不就很沒意義嗎
[00:05:38.000 --> 00:05:42.000]  為甚麼會有這樣的情況出現呢
[00:05:42.000 --> 00:05:47.000]  甚至對基督教的信仰都提出質疑
[00:05:47.000 --> 00:05:52.000]  我們姑勿論討論美國是否一個基督教的國家
[00:05:52.000 --> 00:05:56.000]  這個課題 不是我們討論範圍之內
[00:05:56.000 --> 00:06:01.000]  但我可以肯定 這些信徒對福音 對基督教是大錯特錯
[00:06:01.000 --> 00:06:06.000]  他們以為凡是不好的 例如疫症 地震 天災
[00:06:06.000 --> 00:06:09.000]  都是上帝對罪人的審判
[00:06:09.000 --> 00:06:14.000]  如羅亞時代的洪水 索多瑪 俄摩拉被毀滅
[00:06:14.000 --> 00:06:18.000]  如果你是一個信徒 你是信耶穌的
[00:06:18.000 --> 00:06:20.000]  神一定會祝福你
[00:06:20.000 --> 00:06:23.000]  如果你是不信上帝的 神就會懲罰你
[00:06:23.000 --> 00:06:26.000]  他們的想法就像一般中國人所說的
[00:06:26.000 --> 00:06:30.000]  信上帝 因為祂美麗 祂會保守你 祝福你
[00:06:30.000 --> 00:06:35.000]  如果這個上帝都不美麗 不祝福你 信來幹甚麼
[00:06:35.000 --> 00:06:38.000]  這個我們所謂的成功神學
[00:06:38.000 --> 00:06:42.000]  在今天的美國和中國大行其道
