
[00:00:00.000 --> 00:00:07.000]  好 今集再給機會我在弟兄姊妹當中宣講神的說話
[00:00:07.000 --> 00:00:14.000]  亦都再次多謝一浸無論是教務同工 行政同工
[00:00:14.000 --> 00:00:17.000]  還有弟兄姊妹很支持明道社
[00:00:17.000 --> 00:00:20.000]  因為我們每個星期四都會在港場
[00:00:20.000 --> 00:00:23.000]  星期四上午都有查經的時間
[00:00:23.000 --> 00:00:26.000]  歡迎你們向教會查詢一下
[00:00:26.000 --> 00:00:28.000]  看看何時可以參加
[00:00:28.000 --> 00:00:33.000]  還有最近剛好 我想一會兒都會報告的
[00:00:33.000 --> 00:00:37.000]  就是國民主院長在你們教堂
[00:00:37.000 --> 00:00:42.000]  星期五有個講禱告的講座
[00:00:42.000 --> 00:00:44.000]  都是和明道社合辦的 都好多謝
[00:00:44.000 --> 00:00:48.000]  國民主院長是一個相當受歡迎的講者
[00:00:48.000 --> 00:00:54.000]  所以他的講座已經上個星期我們封了盤
[00:00:54.000 --> 00:00:59.000]  因為滿眼了 怕坐不到那麼多 都好感謝神
[00:00:59.000 --> 00:01:02.000]  今日想和大家看一段經文
[00:01:02.000 --> 00:01:05.000]  如果可以不如我們看看投射片
[00:01:05.000 --> 00:01:07.000]  我們試試讀一讀
[00:01:07.000 --> 00:01:11.000]  我們123開始
[00:01:11.000 --> 00:01:14.000]  你們要靠主常常喜樂
[00:01:14.000 --> 00:01:17.000]  我再說你們要喜樂
[00:01:17.000 --> 00:01:20.000]  當叫眾人知道你們謙讓的心
[00:01:20.000 --> 00:01:24.000]  主已經勤了 應當一無掛慮
[00:01:24.000 --> 00:01:28.000]  只要凡事藉著禱告 祈求和感謝
[00:01:28.000 --> 00:01:31.000]  將你們所要的告訴神
[00:01:31.000 --> 00:01:34.000]  神所賜出人意外的平安
[00:01:34.000 --> 00:01:36.000]  必在基督耶穌裡
[00:01:36.000 --> 00:01:39.000]  保守你們的心懷意念
[00:01:39.000 --> 00:01:45.000]  這四節經文裡面有平安 有喜樂
[00:01:45.000 --> 00:01:49.000]  開始的時候是靠主
[00:01:49.000 --> 00:01:52.000]  結尾的時候在基督耶穌裡
[00:01:52.000 --> 00:01:55.000]  希臘文的結構都是一樣的
[00:01:55.000 --> 00:02:00.000]  所以主是做結束
[00:02:00.000 --> 00:02:06.000]  我相信這幾節經文是有一個特別的場景
[00:02:06.000 --> 00:02:09.000]  應該圍繞著一間傳福音的教會
[00:02:09.000 --> 00:02:12.000]  或者傳福音基督徒說的
[00:02:12.000 --> 00:02:17.000]  想先跟大家說一下菲律賓的背景
[00:02:17.000 --> 00:02:23.000]  菲律賓是一個模仿羅馬建的城市
[00:02:23.000 --> 00:02:26.000]  住的人大部分都是軍官
[00:02:26.000 --> 00:02:30.000]  甚至退休軍官給地方住
[00:02:30.000 --> 00:02:34.000]  所以他們很明白羅馬人的武力
[00:02:34.000 --> 00:02:36.000]  他們的能力 他們的平安
[00:02:36.000 --> 00:02:39.000]  和他們的官階之間的分別
[00:02:39.000 --> 00:02:41.000]  所以你看到菲律賓書裡面
[00:02:41.000 --> 00:02:43.000]  有叫我們謙卑
[00:02:43.000 --> 00:02:47.000]  不要單顧自己的事等等
[00:02:47.000 --> 00:02:49.000]  但還有一樣很特別的
[00:02:49.000 --> 00:02:51.000]  整本菲律賓書
[00:02:51.000 --> 00:02:52.000]  如果你有聖經的話
[00:02:52.000 --> 00:02:55.000]  你跟我一起揭開第一章看看
[00:02:55.000 --> 00:02:58.000]  因為這裡可以幫助我們看今天的四節經文
[00:02:58.000 --> 00:03:01.000]  第一章的第五節
[00:03:01.000 --> 00:03:03.000]  保羅是這樣說的
[00:03:03.000 --> 00:03:07.000]  因為從頭一天直到如今
[00:03:07.000 --> 00:03:11.000]  你們是同心合二的興旺福音
[00:03:11.000 --> 00:03:14.000]  所以他在開始的時候已經介紹給我們聽
[00:03:14.000 --> 00:03:16.000]  他說菲律賓的教會
[00:03:16.000 --> 00:03:18.000]  我跟他說一個著重的地方
[00:03:18.000 --> 00:03:20.000]  就是他們是傳福音的教會
[00:03:20.000 --> 00:03:21.000]  什麼時候開始
[00:03:21.000 --> 00:03:23.000]  從第一天開始
[00:03:23.000 --> 00:03:26.000]  保羅其他書中有說到
[00:03:26.000 --> 00:03:28.000]  他沒有收其他教會的錢
[00:03:28.000 --> 00:03:30.000]  單單是收菲律賓教會的錢
[00:03:30.000 --> 00:03:33.000]  從第一天開始他們已經同工了
[00:03:33.000 --> 00:03:35.000]  再看下去
[00:03:35.000 --> 00:03:36.000]  你看第六節
[00:03:36.000 --> 00:03:41.000]  我深信那在你們心裡動了善功的必成全者功
[00:03:41.000 --> 00:03:44.000]  直到耶穌基督的日子
[00:03:44.000 --> 00:03:47.000]  就是第一天直到現在
[00:03:47.000 --> 00:03:52.000]  加上將來上帝都繼續將傳福音
[00:03:52.000 --> 00:03:53.000]  這個心思意念
[00:03:53.000 --> 00:03:57.000]  放在菲律賓的群體當中
[00:03:57.000 --> 00:03:59.000]  不過現在似乎菲律賓群體
[00:03:59.000 --> 00:04:01.000]  開始變得比較黏
[00:04:01.000 --> 00:04:03.000]  保羅正在坐牢
[00:04:03.000 --> 00:04:05.000]  他看到保羅也在坐牢
[00:04:05.000 --> 00:04:07.000]  我們是加勒菲利
[00:04:07.000 --> 00:04:09.000]  怎麼又坐牢
[00:04:09.000 --> 00:04:11.000]  他就有點害怕
[00:04:11.000 --> 00:04:15.000]  然後不知為什麼有兩個女士就大叫
[00:04:15.000 --> 00:04:19.000]  我們讀第四章第四節之前
[00:04:19.000 --> 00:04:20.000]  你留意一下
[00:04:20.000 --> 00:04:23.000]  如果你翻到第四章前面那兩節
[00:04:23.000 --> 00:04:25.000]  正是說有兩個女士
[00:04:25.000 --> 00:04:27.000]  兩個姐妹
[00:04:27.000 --> 00:04:29.000]  不知為什麼不合拍
[00:04:29.000 --> 00:04:32.000]  你可以猜她是私人恩怨
[00:04:32.000 --> 00:04:35.000]  也可以猜她是因為覺得現在時勢不好
[00:04:35.000 --> 00:04:36.000]  所以暫停
[00:04:36.000 --> 00:04:37.000]  先不要傳福音
[00:04:37.000 --> 00:04:38.000]  一個說不是
[00:04:38.000 --> 00:04:39.000]  什麼時候都要傳福音
[00:04:39.000 --> 00:04:41.000]  所以兩個相拗不下
[00:04:41.000 --> 00:04:44.000]  結果那輛車就好像進了空波
[00:04:44.000 --> 00:04:46.000]  不向前走
