
[00:00:00.000 --> 00:00:05.280]  各位電影節目的各位朋友你們好
[00:00:05.280 --> 00:00:07.740]  歡迎大家參觀我們三藩市播道會
[00:00:07.740 --> 00:00:09.740]  網上的五堂崇拜
[00:00:09.740 --> 00:00:13.900]  我們今天繼續思想登山補訓的訊息
[00:00:13.900 --> 00:00:15.900]  我們去到第二講
[00:00:15.900 --> 00:00:19.580]  馬太福音第五章一節至到第三節
[00:00:19.580 --> 00:00:21.580]  簡樸入門
[00:00:21.580 --> 00:00:25.340]  在未開始思想這段聖經之前
[00:00:25.340 --> 00:00:26.340]  請我們同心低頭
[00:00:26.340 --> 00:00:28.340]  我們同禱告
[00:00:28.340 --> 00:00:29.340]  慈悲人我天父
[00:00:29.340 --> 00:00:31.340]  我們同心多謝你
[00:00:31.340 --> 00:00:33.340]  因為耶穌基督來到世上
[00:00:33.340 --> 00:00:35.340]  讓我們有盼望
[00:00:35.340 --> 00:00:37.340]  也讓我們有新的價值觀
[00:00:37.340 --> 00:00:39.340]  新的人生的看法
[00:00:39.340 --> 00:00:41.340]  多謝你給你的話語
[00:00:41.340 --> 00:00:45.340]  去提醒、勸勉、教導、安慰、督責我們
[00:00:45.340 --> 00:00:47.340]  求主幫助我們
[00:00:47.340 --> 00:00:49.340]  傳授一個謙卑的心
[00:00:49.340 --> 00:00:51.340]  聆聽你的話語
[00:00:51.340 --> 00:00:53.340]  並且藉著你的話語
[00:00:53.340 --> 00:00:55.340]  去改變我們的生命
[00:00:55.340 --> 00:00:57.340]  我們禱告
[00:00:57.340 --> 00:00:59.340]  阿們
[00:00:59.340 --> 00:01:01.340]  在1981年
[00:01:01.340 --> 00:01:03.340]  在中國有一本雜誌
[00:01:03.340 --> 00:01:05.340]  叫做《中國青年雜誌》
[00:01:05.340 --> 00:01:07.340]  刊登了一篇公開信
[00:01:07.340 --> 00:01:11.340]  是一位23歲的青年女工
[00:01:11.340 --> 00:01:13.340]  叫做歡曉寫的
[00:01:13.340 --> 00:01:15.340]  公開信的名字叫做《人生的路》
[00:01:15.340 --> 00:01:17.340]  怎麼越走越窄
[00:01:17.340 --> 00:01:21.340]  這封信一刊登出來
[00:01:21.340 --> 00:01:25.340]  引起全國極熾烈的反應
[00:01:25.340 --> 00:01:29.340]  編輯收到超過2萬封回信
[00:01:29.340 --> 00:01:33.340]  有讀者大罵這篇文章是牛鬼蛇神的作品
[00:01:33.340 --> 00:01:35.340]  是反動派、是毒素
[00:01:35.340 --> 00:01:39.340]  但也有成千上萬的讀者
[00:01:39.340 --> 00:01:41.340]  大加稱許
[00:01:41.340 --> 00:01:43.340]  以歡曉表達他們的心聲
[00:01:43.340 --> 00:01:45.340]  一時引起極大的爭議
[00:01:45.340 --> 00:01:51.340]  究竟這封公開信講什麼呢?
[00:01:51.340 --> 00:01:53.340]  歡曉是一位23歲的女工
[00:01:53.340 --> 00:01:57.340]  她身在一個充滿了理想熱愛國家的家庭
[00:01:57.340 --> 00:02:01.340]  祖父是一個開國功臣
