
[00:00:00.000 --> 00:00:03.000]  (影片播放)
[00:00:03.000 --> 00:00:06.040]  今天我們回到神的家裡
[00:00:06.040 --> 00:00:07.920]  雖然我們在自己的家裡
[00:00:07.920 --> 00:00:11.680]  但是我們知道這位神是無所不在
[00:00:11.680 --> 00:00:14.320]  祂現在要我們眾人同在
[00:00:14.320 --> 00:00:17.960]  這個福音也是傳遍給萬民
[00:00:17.960 --> 00:00:22.680]  使得我們眾人都能夠在主耶穌基督裡面
[00:00:22.680 --> 00:00:24.160]  一起蒙恩
[00:00:24.160 --> 00:00:29.960]  今天你和我都生活在一個割裂的時代
[00:00:29.960 --> 00:00:32.560]  我們在一個社會的現象裡面
[00:00:32.800 --> 00:00:34.800]  看到很多很多的事情
[00:00:34.800 --> 00:00:37.880]  使得我們的心都比較難受
[00:00:37.880 --> 00:00:41.320]  這個社會是在一種撕裂的裡面
[00:00:41.320 --> 00:00:44.960]  看到很多人無論是種族方面
[00:00:44.960 --> 00:00:48.040]  美國的黑人、白人
[00:00:48.040 --> 00:00:51.320]  全世界的民權運動
[00:00:51.320 --> 00:00:56.240]  都使得社會之間人與人的疏離
[00:00:56.240 --> 00:00:57.800]  那種撕裂
[00:00:57.800 --> 00:01:02.680]  甚至在家裡都出現這種情況
[00:01:03.680 --> 00:01:07.040]  我們如何在這個時代
[00:01:07.040 --> 00:01:09.000]  為主做見證呢?
[00:01:09.000 --> 00:01:12.840]  傳揚一個使得我們與上帝和好
[00:01:12.840 --> 00:01:18.360]  使得我們人與人之間能夠相和的福音呢?
[00:01:18.360 --> 00:01:21.800]  今天我們一起來思想
[00:01:21.800 --> 00:01:25.320]  身處在這種環境
[00:01:25.320 --> 00:01:28.080]  這樣的種族的隔離
[00:01:28.080 --> 00:01:30.400]  種族的甚至歧視
[00:01:30.560 --> 00:01:32.560]  種族的甚至仇恨
[00:01:32.560 --> 00:01:34.600]  這種情況裡面
[00:01:34.600 --> 00:01:38.760]  我們來傳揚一個和平的福音呢?
[00:01:38.760 --> 00:01:40.560]  求主帶領我們
[00:01:40.560 --> 00:01:43.040]  讓我們今天在《耳筆所書》裡面
[00:01:43.040 --> 00:01:44.760]  我們來思想
[00:01:44.760 --> 00:01:46.640]  思想到究竟
[00:01:46.640 --> 00:01:49.840]  神在祂的話語裡面
[00:01:49.840 --> 00:01:51.520]  如何來啟示
[00:01:51.520 --> 00:01:53.680]  如何來教導我們
[00:01:53.680 --> 00:01:56.320]  在這種割裂的時代
[00:01:56.320 --> 00:01:58.840]  在這種撕裂的社會
[00:01:58.960 --> 00:02:02.240]  在這種種族的分歧裡面
[00:02:02.240 --> 00:02:06.640]  能夠將和平的福音帶出來呢?
[00:02:06.640 --> 00:02:08.960]  求主引導我們
[00:02:08.960 --> 00:02:11.640]  先讀一段經文
[00:02:11.640 --> 00:02:13.320]  今天我們一起讀出來的
[00:02:13.320 --> 00:02:15.600]  在《耳筆所書》的第二章
[00:02:15.600 --> 00:02:16.920]  第十三節
[00:02:16.920 --> 00:02:18.000]  如果你在家裡的話
