
[00:00:00.000 --> 00:00:01.800]  各位頂智媒 我想問問大家
[00:00:01.800 --> 00:00:03.800]  有多少人結了婚?
[00:00:03.800 --> 00:00:05.800]  可不可以舉手?
[00:00:05.800 --> 00:00:07.800]  第二 我想問問
[00:00:07.800 --> 00:00:09.800]  結了婚的頂智媒
[00:00:09.800 --> 00:00:13.800]  有多少人你發覺結了婚之後
[00:00:13.800 --> 00:00:15.800]  真是絕配?
[00:00:15.800 --> 00:00:17.800]  (笑聲)
[00:00:17.800 --> 00:00:19.800]  這個絕配的意思
[00:00:19.800 --> 00:00:22.800]  即是急先鋒就遇到萬郎中
[00:00:22.800 --> 00:00:25.800]  那西主義就有完美主義
[00:00:25.800 --> 00:00:28.800]  總之好像每樣東西都很不同
[00:00:28.800 --> 00:00:30.800]  可不可以舉手?
[00:00:30.800 --> 00:00:32.800]  有多少人是這樣?
[00:00:32.800 --> 00:00:34.800]  相當不少
[00:00:34.800 --> 00:00:40.800]  我自己也是一個絕配成長的人
[00:00:40.800 --> 00:00:42.800]  結了婚才知道
[00:00:42.800 --> 00:00:46.800]  我們很多東西是相反的
[00:00:46.800 --> 00:00:48.800]  我是急先鋒
[00:00:48.800 --> 00:00:50.800]  我太太是萬郎中
[00:00:50.800 --> 00:00:52.800]  我是那西主義
[00:00:52.800 --> 00:00:54.800]  她是完美主義
[00:00:54.800 --> 00:00:56.800]  我什麼球都玩
[00:00:56.800 --> 00:00:58.800]  什麼運動都有
[00:00:58.800 --> 00:01:00.800]  或者我還沒做牧師前
[00:01:00.800 --> 00:01:02.800]  我是
[00:01:02.800 --> 00:01:06.800]  籃球校隊
[00:01:06.800 --> 00:01:08.800]  足球校隊
[00:01:08.800 --> 00:01:10.800]  游泳校隊 田徑校隊
[00:01:10.800 --> 00:01:12.800]  羽毛球校隊
[00:01:12.800 --> 00:01:14.800]  (笑聲)
[00:01:14.800 --> 00:01:16.800]  Bridge校隊
[00:01:16.800 --> 00:01:18.800]  這個人是不是讀書的呢?
[00:01:18.800 --> 00:01:20.800]  你們猜猜吧
[00:01:20.800 --> 00:01:22.800]  (笑聲)
[00:01:22.800 --> 00:01:24.800]  其實是一個逃避來的
[00:01:24.800 --> 00:01:26.800]  當時
[00:01:26.800 --> 00:01:28.800]  一個很不開心的家庭生活
[00:01:28.800 --> 00:01:30.800]  其實我有這麼多就有這麼多
[00:01:30.800 --> 00:01:32.800]  我就有得出就出那種
[00:01:32.800 --> 00:01:34.800]  但另一方面來說
[00:01:34.800 --> 00:01:36.800]  我又發覺到
[00:01:36.800 --> 00:01:38.800]  如果不是這樣的時候
[00:01:38.800 --> 00:01:40.800]  我當時是無法應付
[00:01:40.800 --> 00:01:42.800]  回家的時候的那些張力
[00:01:42.800 --> 00:01:46.800]  但是
[00:01:46.800 --> 00:01:48.800]  結了婚之後
[00:01:48.800 --> 00:01:50.800]  我發覺我的太太
[00:01:50.800 --> 00:01:52.800]  就是什麼球都不玩
[00:01:52.800 --> 00:01:54.800]  什麼運動都沒有
[00:01:54.800 --> 00:01:58.800]  很感恩
[00:01:58.800 --> 00:02:00.800]  因為透過三高
[00:02:00.800 --> 00:02:02.800]  我的女婿
[00:02:02.800 --> 00:02:06.800]  就和她發三張
[00:02:06.800 --> 00:02:08.800]  晚上的時間跑圈
[00:02:08.800 --> 00:02:10.800]  所以現在開始走圈
[00:02:10.800 --> 00:02:14.800]  在上面
[00:02:14.800 --> 00:02:16.800]  每天走四個圈
[00:02:16.800 --> 00:02:18.800]  這個對她來說是一個很好的開始
[00:02:18.800 --> 00:02:20.800]  所以我希望大家禱告
[00:02:20.800 --> 00:02:22.800]  紀念她
[00:02:22.800 --> 00:02:24.800]  我也希望
[00:02:24.800 --> 00:02:26.800]  在我們那些
[00:02:26.800 --> 00:02:28.800]  找到自己是絕配的人當中
[00:02:28.800 --> 00:02:32.800]  這篇信息對你特別有幫助
[00:02:32.800 --> 00:02:34.800]  第二方面
[00:02:34.800 --> 00:02:36.800]  我想問一問大家
[00:02:36.800 --> 00:02:38.800]  有多少人
[00:02:38.800 --> 00:02:40.800]  發覺在你的同事當中
[00:02:40.800 --> 00:02:42.800]  在你的小組當中
[00:02:42.800 --> 00:02:44.800]  在你的家庭的子女當中
[00:02:44.800 --> 00:02:46.800]  甚至親家的當中
[00:02:48.800 --> 00:02:50.800]  神都安排了不少
[00:02:50.800 --> 00:02:52.800]  急心急肺的人
[00:02:52.800 --> 00:02:56.800]  在你周圍
[00:02:56.800 --> 00:02:58.800]  頂心頂肺
[00:02:58.800 --> 00:03:00.800]  急心急肺
[00:03:00.800 --> 00:03:02.800]  最討厭的那些
[00:03:02.800 --> 00:03:04.800]  總是身邊的人
[00:03:04.800 --> 00:03:06.800]  輪不久就出現
[00:03:06.800 --> 00:03:08.800]  試過的舉手
[00:03:08.800 --> 00:03:10.800]  嘩!這麼多啊
[00:03:10.800 --> 00:03:12.800]  今天這一篇信息
[00:03:12.800 --> 00:03:14.800]  肯定是適合你們的
[00:03:14.800 --> 00:03:16.800]  這一篇信息是什麼呢
[00:03:16.800 --> 00:03:18.800]  是針對一個騙子
[00:03:18.800 --> 00:03:22.800]  這個騙子是啞覺
[00:03:22.800 --> 00:03:24.800]  他騙人
[00:03:24.800 --> 00:03:26.800]  是騙他自己最親的人
[00:03:26.800 --> 00:03:28.800]  好像今天
[00:03:28.800 --> 00:03:30.800]  有很多那些傳銷的
[00:03:30.800 --> 00:03:32.800]  第一個找的
[00:03:32.800 --> 00:03:34.800]  就是找家裡的那些
[00:03:34.800 --> 00:03:36.800]  我真的發覺奇怪
[00:03:36.800 --> 00:03:38.800]  有一家人
[00:03:38.800 --> 00:03:40.800]  有一個家裡
[00:03:40.800 --> 00:03:42.800]  做了一些
[00:03:42.800 --> 00:03:44.800]  其實你打工就好了
[00:03:44.800 --> 00:03:46.800]  找了家裡的人
[00:03:46.800 --> 00:03:48.800]  嘩!二十多萬
[00:03:48.800 --> 00:03:50.800]  四五個人
[00:03:50.800 --> 00:03:52.800]  一起下水
[00:03:52.800 --> 00:03:54.800]  買他那隻東西
[00:03:54.800 --> 00:03:56.800]  我都不記得那是什麼
[00:03:56.800 --> 00:03:58.800]  買完之後
[00:03:58.800 --> 00:04:00.800]  原來是一個騙局
[00:04:00.800 --> 00:04:02.800]  這個騙局帶來的結果
[00:04:02.800 --> 00:04:04.800]  是什麼呢
[00:04:04.800 --> 00:04:06.800]  就是家裡人首先上當
[00:04:06.800 --> 00:04:08.800]  真的很離譜
[00:04:08.800 --> 00:04:10.800]  所以我心裡在想
[00:04:10.800 --> 00:04:12.800]  找工作
[00:04:12.800 --> 00:04:14.800]  都不要找這樣的工作
[00:04:14.800 --> 00:04:16.800]  其實就是找自己笨
[00:04:16.800 --> 00:04:18.800]  今天呢
[00:04:18.800 --> 00:04:20.800]  我又看到在啞覺的身上
[00:04:20.800 --> 00:04:22.800]  看到我們婚姻之間
[00:04:22.800 --> 00:04:24.800]  族與族之間
[00:04:24.800 --> 00:04:26.800]  人與人之間
[00:04:26.800 --> 00:04:28.800]  國與國之間
[00:04:28.800 --> 00:04:30.800]  很多時候都有類似的事情
[00:04:30.800 --> 00:04:32.800]  繼續不斷的發生
[00:04:32.800 --> 00:04:34.800]  人的相處最大的問題是什麼呢
[00:04:34.800 --> 00:04:36.800]  是兩樣
[00:04:36.800 --> 00:04:38.800]  心理學家就說
[00:04:38.800 --> 00:04:40.800]  第一個就是傷害行動上的傷害
[00:04:40.800 --> 00:04:42.800]  言語上傷害別人
[00:04:42.800 --> 00:04:44.800]  行動上傷害別人
[00:04:44.800 --> 00:04:46.800]  態度
[00:04:46.800 --> 00:04:48.800]  看都不看
