
[00:00:00.000 --> 00:00:15.000]  (主持人:好,大家好,你們狀態如何?還好,我好感謝神)
[00:00:15.000 --> 00:00:23.000]  (主持人:雖然好像天氣突然改變了,但可能就是少少寒意令我們清醒些都未定)
[00:00:23.000 --> 00:00:28.000]  (主持人:不過大家真的要小心身體,我見到很多人仍然很壯健,都是短袖衫)
[00:00:28.000 --> 00:00:36.000]  (主持人:希望神保守住大家,有健康的身體一直享受和學習,在整個營會中得益)
[00:00:36.000 --> 00:00:53.000]  (主持人:這次來到第三個講座,大家不知道知不知道題目,是不是正在出?電腦是否正在出題目?)
[00:00:53.000 --> 00:01:16.000]  (主持人:來到第三個講座,大家知道在下午我們曾經講及去辨識時勢,然後去體貼聖靈,去了解世界的狀況,然後隨著聖靈的引導,去回應或見證)
[00:01:16.000 --> 00:01:35.000]  (主持人:但你會發覺永遠不是你一個人去回應,神的計劃是揀選了教會來回應這個世界的需要,而且這個世界的盼望不是你一個,不是我一個,教會是這個世界的盼望)
[00:01:35.000 --> 00:01:43.000]  (主持人:因此今天我們接轉段時間一起思想到,神怎樣讓他的教會成為這個世界的盼望)
[00:01:43.000 --> 00:01:50.000]  (主持人:我和大家想再多一個小小的祈禱,大家和我一起祈禱)
[00:01:50.000 --> 00:02:11.000]  (主持人:主耶穌,我們一起向你禱告,我們知道你是天地的主宰,天地宇宙一切都是為你而做,亦都是靠你而做,你坐在你的寶座上,你的權柄統管著一切)
[00:02:11.000 --> 00:02:32.000]  (主耶穌:主我們敬拜你,我們尊崇你,我們很願意我們人生就成為了對你的敬拜,因為你的確佩特,如果不是你創造,你拯救我們,我們今天就好像一片浮雲,出現片時就會消失)
[00:02:32.000 --> 00:02:46.000]  (主耶穌:但主我們再一次感謝你,不單止你讓我們有永生,你更加願意讓我們與你同工,讓我們可以和你一起回應世界的需要)
[00:02:46.000 --> 00:02:55.000]  (主耶穌:主我們感謝你,因為在與你同工的過程中,我們可以更加領受你給我們的豐盛的生命)
[00:02:55.000 --> 00:03:19.000]  (主耶穌:主這段時間求你帶領我們,讓眾弟兄姊妹在你面前繼續蒙恩,求你遮蓋人的不足,願你恩惠臨到眾弟兄姊妹身上,讓他們領受你賜給他們的恩典,我們同心祈禱,奉耶穌基督,成名求,阿門)
[00:03:19.000 --> 00:03:30.000]  講到教會是世界的派貿時,我想起一件事,在很久之前,我曾經有一次去到韓國,在韓國大家都知道有很多比較大型的教會,
[00:03:30.000 --> 00:03:44.000]  但當時我見到一位來自一間中小型教會的牧師,和我分享一件事,他說在他們教會附近有另一間教會,這間教會是經歷很多很多的滄桑,
[00:03:44.000 --> 00:04:02.000]  滄桑就是早期當日本人曾經一段時間入侵韓國,在那段時間有日本軍人將一些教會的建築物破壞,甚至是全部拆毀,這間教會當時被拆毀了,
[00:04:02.000 --> 00:04:23.000]  在那時,當然大家弟兄姊妹很傷心,就四散離開了教會,這個地方沒有人重建,只有一些舊的瓦礫,是遺址,後來有些教徒從日本來到韓國,到處觀摩,
[00:04:23.000 --> 00:04:36.000]  去到那個地方時就問,這個地方為何會這樣,當地的教徒就告訴他們,是以前你們國家的一些人來到的時候,破壞了這間教會,現在成為了廢墟,
