
[00:00:00.000 --> 00:00:07.520]  我們今天這個月有兩次的講道
[00:00:07.520 --> 00:00:10.220]  我覺得是一個很好的機會
[00:00:10.220 --> 00:00:17.340]  給我多一點時間來解讀《主禱文》
[00:00:17.340 --> 00:00:18.920]  我知道你們很熟悉
[00:00:18.920 --> 00:00:23.880]  但是我仍然會用兩個星期來講《主禱文》
[00:00:23.880 --> 00:00:31.680]  第一個星期就是今天 我會將經文解釋給你們聽
[00:00:31.680 --> 00:00:37.400]  由耶穌的時代到教會二千年
[00:00:37.400 --> 00:00:41.500]  這個《主禱文》在信徒當中
[00:00:41.500 --> 00:00:45.600]  扮演了一種什麼樣的角色 一種的地位
[00:00:45.600 --> 00:00:48.280]  我在這個星期會跟大家講
[00:00:48.280 --> 00:00:52.440]  第四個星期我就會和你們講
[00:00:52.440 --> 00:00:56.800]  《主禱文》的屬靈的面譜是什麼
[00:00:56.800 --> 00:00:58.880]  還有我們要怎樣去操練
[00:00:58.880 --> 00:01:03.400]  藉著《主禱文》可以操練我們的靈性
[00:01:03.400 --> 00:01:08.280]  所以兩部分 我覺得是
[00:01:08.280 --> 00:01:11.280]  有時間可以這樣講是最理想的
[00:01:11.280 --> 00:01:16.760]  但是我們平時多數只可以將它縮成一堂
[00:01:16.760 --> 00:01:19.580]  我知道我雖然一堂已經用了兩堂的時間
[00:01:19.580 --> 00:01:24.200]  但也不夠 心情不一樣
[00:01:24.200 --> 00:01:34.200]  有人說《主禱文》是對付宗教一切淺薄的良藥
[00:01:34.200 --> 00:01:41.200]  又是解決廉價恩典的出路
[00:01:41.200 --> 00:01:46.320]  如果我們能夠用《主禱文》認真的來祈禱神
[00:01:46.320 --> 00:01:51.440]  我們的宗教就一定有一個程度的深度
[00:01:51.440 --> 00:01:59.040]  不是普通的流行民間的宗教可以比擬的
[00:01:59.040 --> 00:02:01.900]  但是我們要進入去解釋它之前
[00:02:01.900 --> 00:02:04.680]  我們一開始就落筆打三更
[00:02:04.680 --> 00:02:06.600]  就是我們的名稱
[00:02:06.600 --> 00:02:09.100]  我們說《主禱文》
[00:02:09.100 --> 00:02:12.400]  就是說主的禱文 是不是?
[00:02:12.400 --> 00:02:15.400]  但是在裏面我們明明有一句話說
[00:02:15.400 --> 00:02:17.960]  赦免我們的罪
[00:02:17.960 --> 00:02:21.400]  如同我們赦免得罪我們的人
[00:02:21.400 --> 00:02:25.960]  耶穌怎可以用這句話來祈禱呢?
[00:02:25.960 --> 00:02:29.160]  耶穌怎可以求父神赦免他的罪呢?
[00:02:29.160 --> 00:02:31.120]  我們說耶穌是無罪的
[00:02:31.120 --> 00:02:35.360]  所以落筆打三更就是我們的名稱不是多錯
[00:02:35.360 --> 00:02:40.680]  《主禱文》其實應該叫做門徒的禱文
[00:02:40.680 --> 00:02:43.880]  是耶穌教導門徒的禱文
[00:02:43.880 --> 00:02:46.800]  而不是耶穌的禱文
[00:02:46.800 --> 00:02:50.400]  這一點就不要認為是足智失了
[00:02:50.400 --> 00:02:53.480]  因為這一點正正反映出
[00:02:53.480 --> 00:02:55.720]  我們有很多很熟悉的東西
[00:02:55.720 --> 00:02:58.720]  其實你再深一層來想
[00:02:58.720 --> 00:03:00.720]  裏面有很多問題的
[00:03:00.720 --> 00:03:03.240]  整篇《主禱文》都是這樣
[00:03:03.240 --> 00:03:08.000]  可能我們今天就要特別注意這些地方了
[00:03:08.000 --> 00:03:09.800]  第三點
[00:03:09.800 --> 00:03:11.560]  如果你看到我整天弄耳朵
[00:03:11.560 --> 00:03:12.760]  請你饒恕我
[00:03:12.760 --> 00:03:14.400]  我的耳朵塞了
[00:03:14.400 --> 00:03:16.080]  我聽不到你們
[00:03:16.080 --> 00:03:17.280]  也聽不到我自己說話
[00:03:17.280 --> 00:03:18.760]  我自己說話
[00:03:18.760 --> 00:03:21.880]  就是靠我平日的記憶這樣說
[00:03:21.880 --> 00:03:24.760]  我聽到自己的聲音在裏面
[00:03:24.760 --> 00:03:27.280]  所以耳朵不是很好
[00:03:27.280 --> 00:03:30.560]  第三點我們要留意的就是
[00:03:30.560 --> 00:03:33.280]  《主禱文》有三個版本
[00:03:33.280 --> 00:03:34.720]  我們大家熟悉的就是
[00:03:34.720 --> 00:03:36.720]  《勞加》有一個版本
[00:03:36.720 --> 00:03:40.960]  《勞加》那個版本是非常短的
[00:03:40.960 --> 00:03:44.840]  最明顯就是它沒有了撒美斯的
[00:03:44.840 --> 00:03:45.520]  就是說
[00:03:45.520 --> 00:03:48.960]  因為國道權並要永存是你的
[00:03:48.960 --> 00:03:49.920]  或者是全是父的
[00:03:49.920 --> 00:03:51.160]  直到永遠阿門
[00:03:51.160 --> 00:03:52.880]  沒有了這句的
[00:03:52.880 --> 00:03:55.800]  這個是《勞加》的版本
[00:03:55.800 --> 00:03:57.680]  第二個就是較為長的版本
[00:03:57.680 --> 00:03:59.400]  就是《馬太》的版本
[00:03:59.400 --> 00:04:01.040]  這兩個我們都知道了
[00:04:01.040 --> 00:04:03.360]  第三個版本在哪裏
[00:04:03.360 --> 00:04:06.720]  原來《馬太》寫完它的福音書之後
[00:04:06.720 --> 00:04:09.360]  我們教會就有一本書很重要的
