
[00:00:00.000 --> 00:00:13.000]  今天我們會回來彈耳書看善用神賜予的智慧與能力
[00:00:13.000 --> 00:00:18.000]  聆聽主導儀先,我們一起同心低頭以禱告與心思而為
[00:00:20.000 --> 00:00:29.000]  父神多謝祢讓我們再次回到祢寶貴的啟示中,讓我們明白祢更多
[00:00:29.000 --> 00:00:34.000]  也能透過祢的啟示讓我們學會如何作為一個屬神的子民
[00:00:34.000 --> 00:00:39.000]  在這個地上真正活出一個不會玷污自己的生命
[00:00:39.000 --> 00:00:49.000]  能夠在這個彎曲薄謬的世界裡活出上主要的原由
[00:00:49.000 --> 00:00:55.000]  因為我們的見證是讓人更親近上主祢
[00:00:55.000 --> 00:01:03.000]  求祢讓我們在這個目標上再次獻上禱告祈求主祢讓我們智慧
[00:01:03.000 --> 00:01:07.000]  透過認識,特別是我們所看的彈耳書
[00:01:07.000 --> 00:01:15.000]  求上主祢讓我們更能夠掌握如何作為一個合神心意屬神的子民
[00:01:15.000 --> 00:01:25.000]  保守我們所處的地方,讓我們能夠在一個空間時間讓人重新看到
[00:01:25.000 --> 00:01:36.000]  人如何離開主祢,也讓我們如何透過認罪悔改脫離罪的綑綁重歸於上主
[00:01:36.000 --> 00:01:43.000]  求祢帶領我們的同心禱告,奉靠主耶穌基督得勝的名字而求,阿們
[00:01:44.000 --> 00:01:53.000]  我在做牧者這麼多年,也有不少信徒來跟我說牧師我沒什麼事做
[00:01:53.000 --> 00:01:57.000]  我想找份工作,你為我代禱吧
[00:01:57.000 --> 00:02:07.000]  經常聽到這些,特別是在1991,92年的時候,我還沒有做傳道人
[00:02:07.000 --> 00:02:14.000]  但當時教會有很多信徒經常回教會的祈禱會,我就覺得很奇怪
[00:02:14.000 --> 00:02:23.000]  教會祈禱會一向沒有人去,以我所知,我曾經去過一間教會,有3000會友
[00:02:23.000 --> 00:02:29.000]  3000會友祈禱會只有6個人,我就覺得很奇怪,還以為是錯誤的房間
[00:02:29.000 --> 00:02:33.000]  原來整間教會要靠6個人祈禱,我就覺得很奇怪
[00:02:33.000 --> 00:02:42.000]  為什麼1992年開始有這麼多人回來祈禱會呢?原來大家都想回來祈求上帝給他們一份工作
[00:02:42.000 --> 00:02:53.000]  因為當時正值加拿大的經濟衰退,每天你看見街邊的報紙商都是說裁員幾千幾萬這樣的報告
[00:02:53.000 --> 00:02:58.000]  我記得1993年的時候甚至沒有東西可以申請
[00:02:58.000 --> 00:03:06.000]  所以信徒沒有工作,就回來教會祈禱會,希望上帝可以給他們一份工作
[00:03:06.000 --> 00:03:13.000]  但同時也有一些見證,我覺得很值得和大家分享
[00:03:13.000 --> 00:03:19.000]  很多信徒當他們真的祈禱,然後上帝給了他們一份工作
[00:03:19.000 --> 00:03:26.000]  拿到工作的時候,他們就說感謝上帝,上帝真的聽我禱告了
[00:03:26.000 --> 00:03:35.000]  使我憑信心得到祂的眷愛和照顧,能夠使我有這份工作,感謝上帝
[00:03:35.000 --> 00:03:44.000]  但過了不久,這些信徒又在教會裏面開始有另一番說話
[00:03:44.000 --> 00:03:53.000]  他們說這份工作真的很難應付,我心想在這個時候又說很感恩有份工作,又很難找工作
[00:03:53.000 --> 00:03:58.000]  有了,你也預料到是很難做的了,是不是?
[00:03:58.000 --> 00:04:03.000]  這份工作做了不夠多久,我就很討厭這份工作
[00:04:03.000 --> 00:04:11.000]  無論是人,尤其是上司,我很難和他交通,要求又高,有時要求又沒有理由
[00:04:11.000 --> 00:04:19.000]  我心想沒有理由的要求不出奇,我記得我第一份工作是在香港一間商行做會計
[00:04:19.000 --> 00:04:30.000]  我做會計的部分,其實主要是做公司卸賬
[00:04:30.000 --> 00:04:40.000]  卸賬的數目做完之後,我就打算下班,正式下班五點鐘
[00:04:40.000 --> 00:04:45.000]  但還沒到五點鐘就做完了,等到五點鐘就準備走
