
[00:00:00.000 --> 00:00:07.200]  頂曉未 今晚會進入第十五和第十六章
[00:00:07.200 --> 00:00:11.320]  會查到最後的七個碗災
[00:00:11.320 --> 00:00:14.920]  是七年大災難最後的七個災
[00:00:14.920 --> 00:00:20.520]  亦是最猛烈最厲害全球性的大災難
[00:00:20.520 --> 00:00:25.480]  是神的憤怒傾倒在一個將要結束的世界
[00:00:25.480 --> 00:00:32.640]  在這個世界裏面剩下來還有很多死不悔改的不信者
[00:00:32.640 --> 00:00:36.440]  即是那些苦難一直來來來來
[00:00:36.440 --> 00:00:38.440]  他們都不知道悔改
[00:00:38.440 --> 00:00:43.720]  而且我們一會兒會看到這些人在大災難當中
[00:00:43.720 --> 00:00:46.120]  依然在奏助神
[00:00:46.120 --> 00:00:49.920]  不過還未進入第十五章和第十六章之前
[00:00:49.920 --> 00:00:57.280]  我就想很快速地和大家溫習一下過去多次查經的主要內容
[00:00:57.280 --> 00:01:02.080]  因為我知道有些弟兄姊妹未必每一次都和我們在一起
[00:01:02.080 --> 00:01:07.840]  而且我們年紀大了很多時候我們聽了之後就忘記了
[00:01:07.840 --> 00:01:14.240]  今晚我們先用十多分鐘的時間來溫習一下
[00:01:14.240 --> 00:01:17.440]  過去我們啟示獄查了些甚麼
[00:01:17.440 --> 00:01:22.560]  首先提醒大家啟示獄的大綱很簡單
[00:01:22.560 --> 00:01:28.640]  我們用啟示獄的第一章第十九節
[00:01:28.640 --> 00:01:33.600]  是神對約翰說我要你將所看見的東西
[00:01:33.600 --> 00:01:40.000]  這些是過去的現在的事和將來必成的事都寫出來
[00:01:40.000 --> 00:01:46.240]  約翰就將這些記載了下來在啟示獄裏面
[00:01:46.240 --> 00:01:49.840]  所以我們可以將啟示獄分成三個部分
[00:01:49.840 --> 00:01:53.120]  第一個部分就是過去的第一章
[00:01:53.120 --> 00:02:00.000]  第一章是約翰在拔摩島上見到主耶穌的榮耀
[00:02:00.000 --> 00:02:06.080]  第一章第十三至第十六節是敘述約翰看到的耶穌
[00:02:06.080 --> 00:02:10.320]  當然和六十年前的耶穌很不同
[00:02:10.320 --> 00:02:14.720]  大家記得約翰是耶穌所愛的門徒
[00:02:14.720 --> 00:02:19.200]  他當時很可能是最年輕的門徒
[00:02:19.200 --> 00:02:22.560]  他和耶穌的關係是很親密的
[00:02:22.560 --> 00:02:26.880]  但你會否發覺當耶穌復活了之後
[00:02:26.880 --> 00:02:29.760]  門徒都好像不太認得他
[00:02:29.760 --> 00:02:33.280]  都要看清楚在二萬五師的路上
[00:02:33.280 --> 00:02:35.680]  那兩個門徒直接不認得耶穌
[00:02:35.680 --> 00:02:39.280]  耶穌和他們同行和他們聊天他們都不認得他
[00:02:39.280 --> 00:02:45.040]  好像其他的門徒連彼得都不認得耶穌
[00:02:45.040 --> 00:02:52.080]  現在耶穌在天上更加是榮耀的主
[00:02:52.080 --> 00:02:57.520]  跟以前耶穌在地上更加不同
[00:02:57.520 --> 00:03:00.720]  我們讀讀第一章
[00:03:00.720 --> 00:03:02.960]  第一章第十三節
[00:03:02.960 --> 00:03:08.400]  約翰加蘇見到在七個燈台中間的耶穌
[00:03:08.400 --> 00:03:09.920]  他是怎樣的呢?
[00:03:09.920 --> 00:03:14.560]  好像人子身穿長衣直垂到腳
[00:03:14.560 --> 00:03:17.280]  胸間束著金帶
[00:03:17.280 --> 00:03:22.000]  他的頭與髮皆白如白楊毛如雪
[00:03:22.000 --> 00:03:24.080]  眼目如同火焰
[00:03:24.080 --> 00:03:27.520]  腳好像在爐中鍛鍊光明的銅
[00:03:27.520 --> 00:03:31.120]  聲音如同中水的聲音
[00:03:31.120 --> 00:03:33.200]  主耶穌在世上的時候
[00:03:33.200 --> 00:03:36.640]  以賽亞書說他無佳容美貌
[00:03:36.640 --> 00:03:38.880]  他是一個很憔悴的人
[00:03:38.880 --> 00:03:40.720]  一個很普通的人
[00:03:40.720 --> 00:03:43.360]  但現在約翰所見到的
[00:03:43.360 --> 00:03:47.520]  他是一個榮耀的主
[00:03:47.520 --> 00:03:49.680]  所以就很不同了
[00:03:49.680 --> 00:03:52.640]  第二件事就是現在的事
[00:03:52.640 --> 00:03:56.560]  現在的事是第二章和第三章
[00:03:56.560 --> 00:04:02.320]  就是基督教會的元首向著七個教會所發出的信
[00:04:02.320 --> 00:04:06.080]  這封信是每一個教會都讀完七封
[00:04:06.080 --> 00:04:10.720]  這封信是輪迴地去到七個教會
[00:04:10.720 --> 00:04:20.480]  所以每一個教會都會讀到基督和不同教會的責備、勸勉、提醒、警告、鼓勵
[00:04:20.480 --> 00:04:26.240]  因為我覺得這七封信是代表了所有的教會
[00:04:26.240 --> 00:04:28.080]  不單是當時的教會
[00:04:28.080 --> 00:04:32.960]  也代表了今天所有的教會都有不同的情況在裏面
[00:04:32.960 --> 00:04:35.520]  有值得讚的、有值得責備的
[00:04:35.520 --> 00:04:37.280]  有值得提醒的
[00:04:37.280 --> 00:04:42.880]  特別是在末世的教會有很多古靈精怪的東西出現
[00:04:42.880 --> 00:04:45.040]  特別是有很多假基督
[00:04:45.040 --> 00:04:52.160]  這些是世草的假基督混入教會裏面來做顛覆的工作
[00:04:52.160 --> 00:04:59.200]  這七封信就是當時主耶穌要和那七個教會說的
[00:04:59.200 --> 00:05:02.640]  也是今天和我們每一個人所說的
[00:05:02.640 --> 00:05:05.760]  在這裏我先打開讓大家看
[00:05:05.760 --> 00:05:08.160]  大家特別留意
[00:05:08.160 --> 00:05:10.160]  第三章第十節
[00:05:10.160 --> 00:05:15.280]  這是對菲拉非教會說的
[00:05:15.280 --> 00:05:18.240]  你既遵守我忍耐的道
[00:05:18.240 --> 00:05:22.880]  我必在普天下人受試煉的時候
[00:05:22.880 --> 00:05:25.760]  保守你、免去你的試煉
[00:05:25.760 --> 00:05:33.040]  這我覺得是教會很可能在災前被提的其中一個經文
[00:05:33.040 --> 00:05:37.360]  還有很多很多的經文我們都已經在筆記裏給了大家
[00:05:37.360 --> 00:05:43.200]  我相信災前被提的可能性是相當大的
[00:05:43.200 --> 00:05:49.760]  另外一個原因就是在第四章開始一直到第十九章
[00:05:49.760 --> 00:05:52.640]  都完全沒有說到地上的教會
[00:05:52.640 --> 00:05:59.360]  雖然前面那兩章是向著七個教會不斷地說教會教會教會
[00:05:59.360 --> 00:06:06.160]  但是一開始約翰看天上的異象進入這個七年大災難
[00:06:06.160 --> 00:06:08.960]  是沒有教會的影子在裏面
[00:06:08.960 --> 00:06:13.680]  所以我相信我估計有很大的可能性
[00:06:13.680 --> 00:06:15.120]  沒有人敢說實的
[00:06:15.120 --> 00:06:17.120]  因為神沒有告訴我們
[00:06:17.120 --> 00:06:20.480]  但是從很多的經文裏面看到
[00:06:20.480 --> 00:06:24.320]  這個災前被提的確是有可能的
[00:06:24.320 --> 00:06:29.680]  然後就進入到啟示錄的主要內容
[00:06:29.680 --> 00:06:34.320]  將來必成的事第四章一直說到第二十二章
[00:06:34.320 --> 00:06:40.320]  這些在約翰二千年的時候是說到將來會發生的事
[00:06:40.320 --> 00:06:44.880]  請問大家這些事發生了沒有呢?
[00:06:44.880 --> 00:06:47.600]  如果你一直聽我說
[00:06:47.600 --> 00:06:50.560]  你當然會說當然沒有發生
[00:06:50.560 --> 00:06:55.440]  你說這些事全部都是將來在七年的大災難裏面才發生
[00:06:55.440 --> 00:07:01.040]  而你又說七年大災難是先有滴基督出現才開始的
[00:07:01.040 --> 00:07:03.040]  根本就沒有開始的
[00:07:03.040 --> 00:07:09.760]  但是有一派的新派的神學叫做Praetorist
[00:07:09.760 --> 00:07:16.720]  它相信啟示錄裏面所說的全部都是指第一世紀的
[00:07:16.720 --> 00:07:18.720]  已經發生了
[00:07:18.720 --> 00:07:22.720]  所以今天我們不是說這些事將來會發生
[00:07:22.720 --> 00:07:26.320]  而是啟示錄裏面所說的全部的事
[00:07:26.320 --> 00:07:30.160]  已經在歷史特別是在第一世紀發生
