
[00:00:00.000 --> 00:00:02.000]  (字幕:Sara Lee)
[00:00:02.000 --> 00:00:06.400]  好的姐妹今天會和大家一起去繼續思想
[00:00:06.400 --> 00:00:08.400]  《約爾書》裏面的教導
[00:00:08.400 --> 00:00:13.000]  今天我們會一起來看《約爾書》的第二章
[00:00:13.000 --> 00:00:16.200]  從第十二節至第十四節
[00:00:16.200 --> 00:00:18.600]  今天的講題就是
[00:00:18.600 --> 00:00:21.400]  挽回而非滅絕
[00:00:21.400 --> 00:00:24.200]  在今天這個世界裏面
[00:00:24.200 --> 00:00:28.400]  很多時候我們處理問題的態度
[00:00:28.400 --> 00:00:33.000]  其實最常用的手段就是叫做reset
[00:00:33.000 --> 00:00:35.200]  重啟或者重設
[00:00:35.200 --> 00:00:38.800]  我們當遇見一些問題的時候
[00:00:38.800 --> 00:00:43.000]  動不動我們就很喜歡將它推倒重來
[00:00:43.000 --> 00:00:46.000]  所以近這幾年裏面
[00:00:46.000 --> 00:00:49.000]  其實經常我們會聽見一個講法
[00:00:49.000 --> 00:00:54.400]  其實現在很多人都要用這個所謂沙盒
[00:00:54.400 --> 00:00:59.600]  sandbox去做生意去設計一些商業活動
[00:00:59.600 --> 00:01:02.400]  一不成功就將它倒掉推掉算了
[00:01:02.400 --> 00:01:03.800]  從頭再做
[00:01:03.800 --> 00:01:07.200]  這種這樣的管理心態
[00:01:07.200 --> 00:01:12.600]  其實在近這幾年間是非常之普遍
[00:01:12.600 --> 00:01:16.200]  而有發覺很多新一代的年輕人
[00:01:16.200 --> 00:01:19.000]  他們在他們的人生裏面
[00:01:19.000 --> 00:01:21.400]  又久而久之很習慣用這種
[00:01:21.400 --> 00:01:25.200]  一不成功就將它全部推倒重來
[00:01:25.200 --> 00:01:27.000]  這種做法
[00:01:27.000 --> 00:01:32.400]  最明顯的例子其實都不只是這幾年有的
[00:01:32.400 --> 00:01:35.400]  就是我其實很久以前都留意到的
[00:01:35.400 --> 00:01:37.400]  當譬如我們用電腦
[00:01:37.400 --> 00:01:40.000]  今日電腦很常使用
[00:01:40.000 --> 00:01:47.400]  特別我們在這個經常從家裏裏面去工作的環境裏面
[00:01:47.400 --> 00:01:52.400]  某某情況當我們一見到電腦有什麼問題的時候
[00:01:52.400 --> 00:01:56.400]  最簡單最快速的處理方法
[00:01:56.400 --> 00:01:58.800]  莫過於就是按這三個按鈕
[00:01:58.800 --> 00:02:03.400]  Ctrl+Alternate+Delete三個按鈕一起按
[00:02:03.400 --> 00:02:06.000]  將電腦重新啟動一次
[00:02:06.000 --> 00:02:09.400]  希望這些問題就可以得到解決
[00:02:09.400 --> 00:02:13.000]  如果連這個問題都解決不了的話
[00:02:13.000 --> 00:02:16.400]  這個方法都解決不了你的問題的時候
[00:02:16.400 --> 00:02:19.200]  更加擅長的做法
[00:02:19.200 --> 00:02:21.200]  通常就是刪機了
[00:02:21.200 --> 00:02:23.200]  Reformat hard drive
[00:02:23.200 --> 00:02:26.400]  將硬盤全部洗乾淨
[00:02:26.400 --> 00:02:28.200]  從頭裝過
[00:02:28.200 --> 00:02:30.200]  當沒事發生過一樣
[00:02:30.200 --> 00:02:33.200]  將它全部清光
[00:02:33.200 --> 00:02:37.200]  在今時今日的世界裏面
[00:02:37.200 --> 00:02:40.200]  當遇見一些這樣的問題的時候
[00:02:40.200 --> 00:02:43.400]  我們少見人真的會說
[00:02:43.400 --> 00:02:49.800]  很仔細去拆解那個問題本身的精結在哪裏
[00:02:49.800 --> 00:02:52.400]  然後找到那個問題的精結之後
[00:02:52.400 --> 00:02:58.000]  然後將那個問題嘗試用一些方法去處理它就完成了
[00:02:58.000 --> 00:03:01.200]  為什麼今天的人不喜歡這樣做法呢?
[00:03:01.200 --> 00:03:05.600]  因為這個這樣的做法是很花時間
[00:03:05.600 --> 00:03:07.400]  很花力量
[00:03:07.400 --> 00:03:10.200]  很花精神去處理
[00:03:10.200 --> 00:03:12.200]  可能在過程當中
[00:03:12.200 --> 00:03:14.400]  你找不到又會很煩躁
[00:03:14.400 --> 00:03:16.400]  當你找到的時候又頭痛
[00:03:16.400 --> 00:03:18.400]  怎樣去處理這個問題
[00:03:18.400 --> 00:03:24.200]  今天的世界再不是說真的去嘗試找出問題的精結
[00:03:24.200 --> 00:03:27.200]  然後去嘗試將問題去解決
[00:03:27.200 --> 00:03:29.800]  另一個更加常見的情況
[00:03:29.800 --> 00:03:31.800]  我們今天見到的就是
[00:03:31.800 --> 00:03:35.200]  譬如有個人有層樓
[00:03:35.200 --> 00:03:38.600]  他想拿去市場賣掉它
[00:03:38.600 --> 00:03:40.600]  然後譬如downsizing
[00:03:40.600 --> 00:03:42.600]  或者怎樣也好
[00:03:42.600 --> 00:03:45.600]  在那個時候他見到層樓舊舊的
[00:03:45.600 --> 00:03:48.000]  見到舊的可能沒有人買了
[00:03:48.000 --> 00:03:50.000]  或者這些東西可能沒有人喜歡了
[00:03:50.000 --> 00:03:51.000]  然後怎樣?
[00:03:51.000 --> 00:03:54.600]  一不注意二不休就將它全部拆光
[00:03:54.600 --> 00:03:56.200]  然後又整個
[00:03:56.200 --> 00:04:00.200]  希望藉此可以賣個好一點的價錢
[00:04:00.200 --> 00:04:10.200]  這種思維其實在無形間已經開始滲透在我們今天的人的心裏
[00:04:10.200 --> 00:04:13.200]  譬如我們剛才用那個例子建樓
[00:04:13.200 --> 00:04:14.200]  拆了它建過
[00:04:14.200 --> 00:04:17.200]  現在的人只是看表面的
[00:04:17.200 --> 00:04:20.200]  你看看今天今時今日很多樓宇建出來
[00:04:20.200 --> 00:04:23.200]  表面上真的很美輪美奐
[00:04:23.200 --> 00:04:28.000]  但是其實你看回它每一次拆完再去整的時候
[00:04:28.000 --> 00:04:31.800]  用料材料一次比一次更差
[00:04:31.800 --> 00:04:34.200]  一次比一次更化學
[00:04:34.200 --> 00:04:37.200]  為什麼這個世界是這樣走下去呢?
[00:04:37.200 --> 00:04:43.200]  因為這個世界現在流行的就是最重要表面風光
