
[00:00:00.000 --> 00:00:05.000]  各位「恩信教會」的弟兄姊妹你好
[00:00:05.000 --> 00:00:10.000]  很高興又再一次能夠和你分享神話
[00:00:10.000 --> 00:00:15.000]  納入十二月 聖誕氣氛越來越濃厚
[00:00:15.000 --> 00:00:20.000]  但我們都知道 今年的聖誕節和往年很不同
[00:00:20.000 --> 00:00:25.000]  今年我相信大多數人都要在自己家裏
[00:00:25.000 --> 00:00:28.000]  不能和別人在一起
[00:00:28.000 --> 00:00:33.000]  不過這樣的聖誕節都可能相當有特色
[00:00:33.000 --> 00:00:36.000]  因為只是我們自己一家團聚
[00:00:36.000 --> 00:00:38.000]  大家可以多花一些時間
[00:00:38.000 --> 00:00:42.000]  自己家庭成員在一起
[00:00:42.000 --> 00:00:46.000]  都是一件相當難得的事
[00:00:46.000 --> 00:00:51.000]  這個聖誕節我們又可以再一次
[00:00:51.000 --> 00:00:54.000]  不用說Happy Holiday
[00:00:54.000 --> 00:00:59.000]  我們可以直接公開地說Merry Christmas
[00:00:59.000 --> 00:01:01.000]  Christmas這個字是什麼意思呢?
[00:01:01.000 --> 00:01:09.000]  MAS當然是指天主教彌撒的儀式Mass
[00:01:09.000 --> 00:01:18.000]  彌撒的意思是慶祝或紀念的節日
[00:01:18.000 --> 00:01:23.000]  Christmas當然是慶祝的對象
[00:01:23.000 --> 00:01:27.000]  就是我們的Christ 基督耶穌
[00:01:27.000 --> 00:01:32.000]  所以聖誕節的主人的確是我們的主耶穌
[00:01:32.000 --> 00:01:34.000]  我們不要忘記這一點
[00:01:34.000 --> 00:01:37.000]  今日我們的注意力
[00:01:37.000 --> 00:01:41.000]  也是放在我們主耶穌基督的降生
[00:01:41.000 --> 00:01:46.000]  不過今日講的內容
[00:01:46.000 --> 00:01:49.000]  和平時講的有少少不同
[00:01:49.000 --> 00:01:54.000]  我今日講到的題目是聖誕的寓言
[00:01:54.000 --> 00:01:59.000]  寓言就是未發生的事
[00:01:59.000 --> 00:02:03.000]  你已經說出來了
[00:02:03.000 --> 00:02:09.000]  這個寓言我們人都很喜歡聽到
[00:02:09.000 --> 00:02:13.000]  甚至有些人喜歡說出來
[00:02:13.000 --> 00:02:16.000]  人為什麼喜歡聽寓言呢?
[00:02:16.000 --> 00:02:21.000]  我們人都是想知道將來會發生什麼事
[00:02:21.000 --> 00:02:26.000]  所謂如果能夠未卜先知就好了
[00:02:26.000 --> 00:02:30.000]  起碼我們知道有什麼事會發生在這個世界
[00:02:30.000 --> 00:02:34.000]  或發生在我們自己的生命裏
[00:02:34.000 --> 00:02:38.000]  我們可以預早做一些準備
[00:02:38.000 --> 00:02:40.000]  有些朋友做投資的
[00:02:40.000 --> 00:02:43.000]  他就說如果我知道哪個股票會上升
[00:02:43.000 --> 00:02:45.000]  我現在就買了它
[00:02:45.000 --> 00:02:47.000]  那就一定賺了
[00:02:47.000 --> 00:02:53.000]  各種原因人都是喜歡知道將來會發生什麼事
[00:02:53.000 --> 00:02:56.000]  所以亦有些人說他可以
[00:02:56.000 --> 00:03:00.000]  未發生的事他就可以預料
[00:03:00.000 --> 00:03:04.000]  所以亦有些人會發出一些寓言
[00:03:04.000 --> 00:03:07.000]  我們不是講人的寓言
[00:03:07.000 --> 00:03:10.000]  我們講在聖經裏面
[00:03:10.000 --> 00:03:15.000]  老祖已經是寓言主耶穌的誕生
[00:03:15.000 --> 00:03:19.000]  聖經裏面的寓言是什麼意思呢?
[00:03:19.000 --> 00:03:24.000]  就是上帝既然祂知道所有的事會發生
[00:03:24.000 --> 00:03:27.000]  祂將這些將要發生的事
[00:03:27.000 --> 00:03:30.000]  很清楚記載下來
[00:03:30.000 --> 00:03:32.000]  記載在聖經裏面
[00:03:32.000 --> 00:03:35.000]  有時是一千年幾百年前
[00:03:35.000 --> 00:03:37.000]  祂已經將這些寓言
[00:03:37.000 --> 00:03:41.000]  透過先知的手寫下來
[00:03:41.000 --> 00:03:44.000]  為什麼祂要這樣做呢?
[00:03:44.000 --> 00:03:48.000]  而且我們看到來自上帝的寓言
[00:03:48.000 --> 00:03:50.000]  是百分之一百準確的
[00:03:50.000 --> 00:03:54.000]  是一個都沒有說不應驗的
[00:03:54.000 --> 00:03:58.000]  為什麼上帝要將這麼多的寓言
[00:03:58.000 --> 00:04:01.000]  講給人聽呢?
[00:04:01.000 --> 00:04:04.000]  我相信起碼有兩個原因
