
[00:00:00.000 --> 00:00:11.080]  今天和大家分享的講題是土告來的實踐行動
[00:00:11.080 --> 00:00:16.320]  上次我們講了不同教會不同弟兄姐妹的震撼轉化
[00:00:16.320 --> 00:00:21.360]  今天我們講如何土告會帶來實踐的行動呢
[00:00:21.360 --> 00:00:26.480]  大家知道上個星期我們去了這個地方
[00:00:26.480 --> 00:00:30.200]  去祈禱贊美我們多了一個聚會點
[00:00:30.200 --> 00:00:33.960]  如果有留意穆因堂的發展
[00:00:33.960 --> 00:00:39.560]  我們一直分享了很多神的帶領神跡和經歷
[00:00:39.560 --> 00:00:44.080]  上個星期我都和大家說我去到一間公司
[00:00:44.080 --> 00:00:47.480]  一進去那間公司的老闆第一句
[00:00:47.480 --> 00:00:51.280]  餵女士先生 接著下一句就說這句
[00:00:51.280 --> 00:00:56.840]  如果穆因堂這麼多恩典這麼多神跡沒停過的話
[00:00:56.840 --> 00:01:03.840]  如果突然有一天恩典停了怎麼辦
[00:01:03.840 --> 00:01:08.000]  如果突然恩典停了怎麼辦
[00:01:08.000 --> 00:01:12.440]  如果你想象一下特別是弟兄姐妹
[00:01:12.440 --> 00:01:14.840]  不同的弟兄姐妹如果一直有穆因的
[00:01:14.840 --> 00:01:17.840]  如果真的有人這樣問你 你怎麼回答呢
[00:01:17.840 --> 00:01:22.200]  哇 多好啊 像約伯一樣
[00:01:22.200 --> 00:01:26.040]  想像的東西 收取的東西
[00:01:26.040 --> 00:01:28.800]  來的時候都是赤身路看
[00:01:28.800 --> 00:01:31.600]  穆因堂也是沒有人
[00:01:31.600 --> 00:01:35.280]  很多很多神一路帶領
[00:01:35.280 --> 00:01:40.880]  40年前穆因一開始一直看到神不同的帶領
[00:01:40.880 --> 00:01:43.440]  有你們的弟兄姐妹撐著
[00:01:43.440 --> 00:01:46.800]  我當時怎麼回答呢
[00:01:46.800 --> 00:01:49.400]  是不是我們的車被人偷車了
[00:01:49.400 --> 00:01:53.080]  我們的車嘟嘟聲
[00:01:53.080 --> 00:01:58.040]  如果看不到哪一步 回來的時候就要關門
[00:01:58.040 --> 00:02:00.800]  我怎麼回答呢 我就和他說
[00:02:00.800 --> 00:02:02.880]  我用了一個經文
[00:02:02.880 --> 00:02:08.040]  經文在全道書七章十四節
[00:02:08.040 --> 00:02:13.920]  他說 順利的時候要喜樂
[00:02:13.920 --> 00:02:17.000]  患難的時候要思考
[00:02:17.000 --> 00:02:20.640]  順 使這兩樣都會發生
[00:02:20.640 --> 00:02:27.120]  因此人不知道將來會發生什麼事
[00:02:27.120 --> 00:02:29.160]  我只想起全道書的一句話
[00:02:29.160 --> 00:02:31.160]  原來當順利的時候
[00:02:31.160 --> 00:02:33.880]  聖經說我們要喜樂
[00:02:33.880 --> 00:02:35.280]  我們要享受
[00:02:35.280 --> 00:02:37.960]  患難的時候我們要思考什麼呢
[00:02:37.960 --> 00:02:42.640]  今天有朋友中文不懂得看
[00:02:42.640 --> 00:02:44.920]  所以這次我特意預備了英文
[00:02:44.920 --> 00:02:47.280]  讓他可以看到
[00:02:47.280 --> 00:02:50.360]  他說如果看英文版本NASB
[00:02:50.360 --> 00:02:53.240]  他後面有個標點符號
[00:02:53.240 --> 00:02:56.640]  讓你告訴你要考慮什麼
[00:02:56.640 --> 00:03:00.960]  原來神使兩樣都會發生
[00:03:00.960 --> 00:03:04.080]  而當在另一個聖經版本
[00:03:04.080 --> 00:03:06.320]  他說在亨通的日子
[00:03:06.320 --> 00:03:08.920]  我們要懂得享福
[00:03:08.920 --> 00:03:10.800]  在亨通的日子我們要享福
[00:03:10.800 --> 00:03:13.800]  在患難的時候我們要醒察
[00:03:13.800 --> 00:03:17.640]  因為神使這兩樣並存
[00:03:17.640 --> 00:03:20.960]  為了叫人查不出未來的事
[00:03:20.960 --> 00:03:24.280]  原來我們真的沒有人知道將來會發生什麼事
[00:03:24.280 --> 00:03:26.440]  但全道書教我們在這一刻
[00:03:26.440 --> 00:03:29.000]  我們怎麼面對我們現在面對的事情
[00:03:29.000 --> 00:03:30.600]  如果你覺得一路很順利
[00:03:30.600 --> 00:03:31.840]  你覺得很多恩典
[00:03:31.840 --> 00:03:33.040]  我們要感謝主
[00:03:33.040 --> 00:03:36.520]  我們要懂得去享福
[00:03:36.520 --> 00:03:38.880]  我們要懂得去享受
[00:03:38.880 --> 00:03:40.120]  我們要懂得去珍惜
[00:03:40.120 --> 00:03:41.920]  去喜樂
[00:03:41.920 --> 00:03:44.600]  但我們一般信徒是怎樣的?
[00:03:44.600 --> 00:03:48.080]  當順利的時候你會怎樣?
[00:03:48.080 --> 00:03:49.600]  會怎樣?
[00:03:49.600 --> 00:03:53.000]  順利的時候會怎樣?
[00:03:53.000 --> 00:03:53.520]  一樣一樣
[00:03:53.520 --> 00:03:56.040]  你只要看完聖經就會說
[00:03:56.040 --> 00:03:57.040]  是吧?
[00:03:57.040 --> 00:03:58.520]  但一般我遇到的
[00:03:58.520 --> 00:03:59.600]  不知怎樣的
[00:03:59.600 --> 00:04:03.280]  看到事情很順利
[00:04:03.280 --> 00:04:03.920]  是吧?
[00:04:03.920 --> 00:04:05.040]  很多人說
[00:04:05.040 --> 00:04:06.000]  會擔心
[00:04:06.000 --> 00:04:07.920]  擔心什麼?
[00:04:07.920 --> 00:04:09.520]  什麼時候不順利?
[00:04:09.520 --> 00:04:11.200]  你說人都很慘
[00:04:11.200 --> 00:04:13.400]  讓你順利的時候你擔心什麼時候不順利
[00:04:13.400 --> 00:04:17.720]  但患難的時候
[00:04:17.720 --> 00:04:19.360]  你又灰心
[00:04:19.360 --> 00:04:21.880]  說上帝都不知道有沒有聽禱告
[00:04:21.880 --> 00:04:23.360]  為什麼這麼慘?
[00:04:23.360 --> 00:04:24.640]  為什麼以前那麼好
[00:04:24.640 --> 00:04:26.800]  現在沒有了恩典
[00:04:26.800 --> 00:04:30.760]  信心在哪裡?
[00:04:30.760 --> 00:04:32.880]  要留意嗎?
[00:04:32.880 --> 00:04:35.160]  當有人說有個地方
[00:04:35.160 --> 00:04:37.520]  人們說沒有了怎麼辦?
[00:04:37.520 --> 00:04:39.120]  我們都沒去
[00:04:39.120 --> 00:04:40.680]  就說沒有了怎麼辦?
[00:04:40.680 --> 00:04:41.840]  我怎麼回答你?
[00:04:41.840 --> 00:04:43.240]  將來的事誰知道?
[00:04:43.240 --> 00:04:45.520]  沒有人知道
[00:04:45.520 --> 00:04:47.160]  但我們馬上就會很擔心
[00:04:47.160 --> 00:04:50.720]  我們又開始
[00:04:50.720 --> 00:04:53.240]  我們和執事開始去想
[00:04:53.240 --> 00:04:53.920]  想什麼呢?
[00:04:53.920 --> 00:04:55.080]  開始有人提出
[00:04:55.080 --> 00:04:56.640]  哎呀怎麼辦?
[00:04:56.640 --> 00:04:58.680]  很多人問我們怎麼辦?
[00:04:58.680 --> 00:05:02.320]  過往如果由2022年4月3號
[00:05:02.320 --> 00:05:05.240]  第一次實體崇拜開始
[00:05:05.240 --> 00:05:07.680]  我們那時60多天
[00:05:07.680 --> 00:05:10.000]  到上幾個星期
[00:05:10.000 --> 00:05:12.600]  鄭全到來分享那次
[00:05:12.600 --> 00:05:13.680]  就是最多了
[00:05:13.680 --> 00:05:15.840]  暫時這一年半的記錄
[00:05:15.840 --> 00:05:17.720]  就是124天
[00:05:17.720 --> 00:05:20.000]  那天立刻有人說怎麼辦?
[00:05:20.000 --> 00:05:22.680]  就快要坐滿了
[00:05:22.680 --> 00:05:24.800]  我們要想了
[00:05:24.800 --> 00:05:27.760]  有些人說很快的啦
[00:05:27.760 --> 00:05:29.200]  對上帝很有信心
[00:05:29.200 --> 00:05:30.720]  很快的啦
[00:05:30.720 --> 00:05:33.200]  上一兩個星期就90
[00:05:33.200 --> 00:05:34.440]  1802
[00:05:34.440 --> 00:05:36.120]  我們執事會真的開始團討
[00:05:36.120 --> 00:05:37.160]  開始談
[00:05:37.160 --> 00:05:39.200]  好了又問大家
[00:05:39.200 --> 00:05:41.960]  如果不夠坐怎麼辦?
[00:05:41.960 --> 00:05:43.440]  留下?
