
[00:00:00.000 --> 00:00:02.800]  今日的題目是
[00:00:02.800 --> 00:00:08.320]  「你欠生命一份神蹟」
[00:00:08.320 --> 00:00:11.360]  是我相信每一個人
[00:00:11.360 --> 00:00:13.840]  每一個人都
[00:00:13.840 --> 00:00:16.720]  entitled to one miracle
[00:00:16.720 --> 00:00:18.960]  即是每一個人
[00:00:18.960 --> 00:00:21.520]  都被分配到
[00:00:21.520 --> 00:00:23.520]  有一個神蹟
[00:00:23.520 --> 00:00:25.520]  在我們的生命裏面
[00:00:25.520 --> 00:00:27.840]  我今天
[00:00:27.840 --> 00:00:30.480]  就是你活到今天
[00:00:30.480 --> 00:00:34.480]  假如你都不能活得耀眼
[00:00:34.480 --> 00:00:37.360]  活得能夠榮神益人
[00:00:37.360 --> 00:00:41.600]  就一定是
[00:00:41.600 --> 00:00:45.280]  你沒有開啟那個神蹟
[00:00:45.280 --> 00:00:46.880]  沒有activate那個神蹟
[00:00:46.880 --> 00:00:48.960]  沒有啟動那個神蹟
[00:00:48.960 --> 00:00:50.480]  所以你慢慢慢慢
[00:00:50.480 --> 00:00:53.840]  你的生命是越活越暗淡了
[00:00:53.840 --> 00:00:55.920]  只有自己的努力
[00:00:55.920 --> 00:00:58.960]  但是就沒有了上帝的參與
[00:00:58.960 --> 00:01:02.000]  我要講的那些
[00:01:02.000 --> 00:01:03.360]  我要講的那些
[00:01:03.360 --> 00:01:05.680]  就完全不是勵志的東西
[00:01:05.680 --> 00:01:09.680]  又不是心理學上那些
[00:01:09.680 --> 00:01:11.280]  你知道現在心理學上
[00:01:11.280 --> 00:01:13.280]  很多這些書
[00:01:13.280 --> 00:01:15.920]  即是怎樣做個出色的人
[00:01:15.920 --> 00:01:18.560]  怎樣做個管理的奇才
[00:01:18.560 --> 00:01:19.760]  那類的東西
[00:01:19.760 --> 00:01:22.320]  就很多很多這類的書
[00:01:22.320 --> 00:01:24.560]  我一直都有一個不滿意
[00:01:24.560 --> 00:01:25.840]  就是說
[00:01:25.840 --> 00:01:31.280]  這些書那個神學的涵義在哪裡
[00:01:31.280 --> 00:01:32.960]  假如我們自己
