
[00:00:00.000 --> 00:00:04.200]  多謝你Eric
[00:00:04.200 --> 00:00:07.040]  首先我也有兩項感謝
[00:00:07.040 --> 00:00:10.040]  首先感謝拉斯維加斯基督教壞人教
[00:00:10.040 --> 00:00:13.040]  參與了這個茶經班
[00:00:13.040 --> 00:00:15.440]  有100位
[00:00:15.440 --> 00:00:18.440]  今天已經有90多位在場
[00:00:18.440 --> 00:00:20.640]  除了100位之外
[00:00:20.640 --> 00:00:23.440]  我們還有60多位弟兄姊妹
[00:00:23.440 --> 00:00:27.440]  本來他們不能立刻上來聽
[00:00:27.440 --> 00:00:30.440]  他們要收錄音帶
[00:00:30.440 --> 00:00:33.440]  但今天下午Eric有突破
[00:00:33.440 --> 00:00:39.040]  將今晚在Zoom上即時在Facebook播出
[00:00:39.040 --> 00:00:45.040]  所以有幾十位弟兄姊妹在Facebook遲了十多秒
[00:00:45.040 --> 00:00:47.040]  他們在Facebook看到
[00:00:47.040 --> 00:00:51.040]  所以今晚有百多人一齊來研讀神話語
[00:00:51.040 --> 00:00:53.040]  第二件事我要宣佈
[00:00:53.040 --> 00:00:55.040]  如果你留心看可能看不到
[00:00:55.040 --> 00:00:58.040]  因為相片很小
[00:00:58.040 --> 00:01:02.040]  你會看到我的右眼好像腫腫的
[00:01:02.040 --> 00:01:04.040]  大家不用擔心
[00:01:04.040 --> 00:01:06.040]  立刻有人這樣加入
[00:01:06.040 --> 00:01:08.040]  大家不用擔心
[00:01:08.040 --> 00:01:10.040]  我不是和別人打架
[00:01:10.040 --> 00:01:12.040]  我不是示威
[00:01:12.040 --> 00:01:14.040]  我是Elegy
[00:01:14.040 --> 00:01:16.040]  我今天下午睡午覺
[00:01:16.040 --> 00:01:18.040]  因為今晚要茶經
[00:01:18.040 --> 00:01:20.040]  下午休息一會
[00:01:20.040 --> 00:01:23.040]  我買了眼罩戴著
[00:01:23.040 --> 00:01:27.040]  眼罩可能會令我有Elegy
[00:01:27.040 --> 00:01:29.040]  所以右眼腫腫的
[00:01:29.040 --> 00:01:31.040]  滴了眼藥水
[00:01:31.040 --> 00:01:33.040]  大家不用擔心
[00:01:33.040 --> 00:01:35.040]  第三
[00:01:35.040 --> 00:01:39.040]  因為在網上問題討論不容易
[00:01:39.040 --> 00:01:41.040]  因為這麼多人
[00:01:41.040 --> 00:01:43.040]  大家都要收音
[00:01:43.040 --> 00:01:45.040]  不然會撞到很嚴重
[00:01:45.040 --> 00:01:50.040]  所以沒什麼機會讓大家即時問問題
[00:01:50.040 --> 00:01:54.040]  做不到一般茶經討論
[00:01:54.040 --> 00:01:58.040]  大家都有我的電子郵件地址
[00:01:58.040 --> 00:02:00.040]  我都有發電子郵件給大家
[00:02:00.040 --> 00:02:04.040]  如果你有問題可以在完結後
[00:02:04.040 --> 00:02:06.040]  給我電子郵件
[00:02:06.040 --> 00:02:08.040]  有問題的話
[00:02:08.040 --> 00:02:12.040]  如果是你一個人的問題
[00:02:12.040 --> 00:02:14.040]  我就會Email和你聯絡
[00:02:14.040 --> 00:02:17.040]  如果我覺得問題是大家都有興趣的
[00:02:17.040 --> 00:02:20.040]  我就會在下一次開頭的時候
