
[00:00:00.000 --> 00:00:07.480]  今次教會給我的經節真的蠻多
[00:00:07.480 --> 00:00:11.280]  因為三章聖經24-26章三章
[00:00:11.280 --> 00:00:14.980]  開頭的題目都不是我所給的題目
[00:00:14.980 --> 00:00:18.600]  題目叫《見精神一場完美的自辯》
[00:00:18.600 --> 00:00:20.280]  我就把它改了
[00:00:20.280 --> 00:00:22.080]  我叫做《見精神》
[00:00:22.080 --> 00:00:24.720]  不是不可能 只是不容易
[00:00:24.720 --> 00:00:29.000]  大家的程序表我都特意準備了
[00:00:29.000 --> 00:00:32.640]  這三章聖經的內容的結構
[00:00:32.640 --> 00:00:35.920]  因為講之前我想和大家走一下
[00:00:35.920 --> 00:00:38.480]  看一看三章聖經所講的內容
[00:00:38.480 --> 00:00:41.480]  然後才進入講道的信息
[00:00:41.480 --> 00:00:43.200]  我相信會好些
[00:00:43.200 --> 00:00:46.800]  我想說這三個的經文結構
[00:00:46.800 --> 00:00:49.080]  其實我是用時間做的
[00:00:49.080 --> 00:00:51.480]  所以希望大家拿回去
[00:00:51.480 --> 00:00:53.720]  可以留著這張紙
[00:00:53.720 --> 00:00:55.240]  或者留在聖經上
[00:00:55.240 --> 00:00:58.200]  盡可能不要扔掉它
[00:00:58.200 --> 00:00:59.880]  如果你真的扔掉它
[00:00:59.880 --> 00:01:03.240]  請你不要告訴我
[00:01:03.240 --> 00:01:06.520]  不然我可能會做些動作就不太好
[00:01:06.520 --> 00:01:08.520]  不過人家這麼用心去做
[00:01:08.520 --> 00:01:12.000]  希望大家至少留個禮拜也好
[00:01:12.000 --> 00:01:14.040]  回去再看一看
[00:01:14.040 --> 00:01:16.240]  這個結構都很清楚
[00:01:16.240 --> 00:01:20.320]  解釋整件事件的來龍去脈
[00:01:20.320 --> 00:01:22.160]  一開始先看24章
[00:01:22.160 --> 00:01:24.960]  我分了三個大綱的主題
[00:01:24.960 --> 00:01:26.080]  保羅的自辯
[00:01:26.080 --> 00:01:27.160]  保羅的上訴
[00:01:27.160 --> 00:01:28.880]  保羅的見證
[00:01:28.880 --> 00:01:31.240]  一開始24章提到
[00:01:31.240 --> 00:01:32.960]  保羅被控告
[00:01:32.960 --> 00:01:34.000]  控告他是什麼人呢?
[00:01:34.000 --> 00:01:36.000]  是大祭司和長老
[00:01:36.000 --> 00:01:37.600]  就是猶太教的大祭司
[00:01:37.600 --> 00:01:39.040]  為什麼他們會這麼做?
[00:01:39.040 --> 00:01:41.520]  你記不記得保羅本身
[00:01:41.520 --> 00:01:44.480]  是猶太教的法尼塞人
[00:01:44.480 --> 00:01:47.480]  就是猶太教的頂尖分子
[00:01:47.480 --> 00:01:50.800]  但居然他轉信了基督
[00:01:50.800 --> 00:01:53.560]  這群人想置他於死地
[00:01:53.560 --> 00:01:55.040]  他們不僅要告保羅
[00:01:55.040 --> 00:01:56.760]  還請了律師
[00:01:56.760 --> 00:01:58.280]  就是辯士
[00:01:58.280 --> 00:01:59.960]  去告保羅
[00:01:59.960 --> 00:02:01.720]  希望能夠告入
[00:02:01.720 --> 00:02:02.600]  告他什麼呢?
[00:02:02.600 --> 00:02:04.000]  告他鼓動新亂
[00:02:04.000 --> 00:02:06.840]  又是拿撒勒黨和污蔚聖殿
[00:02:06.840 --> 00:02:09.920]  拿撒勒黨本身就是猶太教
[00:02:09.920 --> 00:02:12.000]  不能妥協的
[00:02:12.000 --> 00:02:13.840]  甚至是對立的
[00:02:13.840 --> 00:02:15.320]  你知道當時羅馬政府
[00:02:15.320 --> 00:02:16.280]  管治猶太人
[00:02:16.280 --> 00:02:18.000]  給他有宗教的自由
[00:02:18.000 --> 00:02:20.360]  而當有一個教派出現的時候
[00:02:20.360 --> 00:02:24.600]  影響了民族裡面的宗教和諧的時候
[00:02:24.600 --> 00:02:26.960]  政府應該就出聲
[00:02:26.960 --> 00:02:28.760]  所以猶太人就控告他
[00:02:28.760 --> 00:02:30.480]  說他搞亂我們
[00:02:30.480 --> 00:02:32.600]  以至需要他處理
[00:02:32.600 --> 00:02:34.480]  保羅自己就自辯了
[00:02:34.480 --> 00:02:36.440]  他首先否認他沒有做的事情
[00:02:36.440 --> 00:02:38.560]  他承認他有的事情
[00:02:38.560 --> 00:02:39.440]  否認什麼呢?
[00:02:39.440 --> 00:02:42.400]  否認他自己沒有衝動人
[00:02:42.400 --> 00:02:42.960]  第二
[00:02:42.960 --> 00:02:45.320]  否認這些人對他的控告
[00:02:45.320 --> 00:02:46.040]  第一
[00:02:46.040 --> 00:02:47.920]  他們說話沒有親眼見
[00:02:47.920 --> 00:02:48.280]  第二
