
[00:00:00.000 --> 00:00:04.500]  今早我們一起研讀《路加福音》第十一章
[00:00:04.500 --> 00:00:07.500]  請打開剛才我們所讀的聖經
[00:00:07.500 --> 00:00:10.000]  新約《路加福音》第十一章
[00:00:10.000 --> 00:00:12.500]  十四至二十六節
[00:00:12.500 --> 00:00:16.500]  如果你是用唐用的聖經是
[00:00:16.500 --> 00:00:20.500]  1564頁
[00:00:20.500 --> 00:00:26.000]  今天我們一起來思想關於能力的問題
[00:00:26.000 --> 00:00:29.000]  是神國的能力
[00:00:30.000 --> 00:00:32.000]  能力
[00:00:32.000 --> 00:00:36.000]  今天我們所生活的社會時常都會說能力
[00:00:36.000 --> 00:00:37.000]  說實力
[00:00:37.000 --> 00:00:41.000]  不過很多時候我們說的是經濟的能力
[00:00:41.000 --> 00:00:44.000]  我們說的是政治的實力
[00:00:44.000 --> 00:00:47.000]  我們說的是我們有些什麼的學識
[00:00:47.000 --> 00:00:50.000]  所以我們可以有些什麼的實力
[00:00:50.000 --> 00:00:51.000]  有些什麼的經驗
[00:00:51.000 --> 00:00:53.000]  這些都是今天我們所說的
[00:00:53.000 --> 00:00:55.000]  到處都會聽見的地方
[00:00:55.000 --> 00:00:57.000]  但今天我們不是說那些的能力
[00:00:57.000 --> 00:01:00.000]  我們說屬靈的能力
[00:01:00.000 --> 00:01:04.000]  從神的國而來的能力
[00:01:04.000 --> 00:01:08.000]  今天這段聖經除了《路加福音》之外
[00:01:08.000 --> 00:01:10.000]  《馬太福音》也有記載的
[00:01:10.000 --> 00:01:12.000]  《馬太福音》第十二章
[00:01:12.000 --> 00:01:15.000]  《馬可福音》也有記載比較簡單
[00:01:15.000 --> 00:01:17.000]  《馬太福音》就更詳細
[00:01:17.000 --> 00:01:19.000]  不過我們對照的時候
[00:01:19.000 --> 00:01:21.000]  今天這段聖經就比較清楚
[00:01:21.000 --> 00:01:24.000]  究竟發生了什麼事
[00:01:24.000 --> 00:01:26.000]  為什麼說今天說能力呢
[00:01:26.000 --> 00:01:30.000]  這件事的開始是由耶穌所做的一個事件
[00:01:30.000 --> 00:01:32.000]  作為一個序幕
[00:01:32.000 --> 00:01:34.000]  剛才我們讀的時候你會留意
