
[00:00:00.000 --> 00:00:10.000]  上星期我們已經開始講了一些間接的信仰攻擊
[00:00:10.000 --> 00:00:13.440]  我們上週聊到了一些間接的信仰攻擊
[00:00:13.440 --> 00:00:17.040]  我們只是看了一些背景
[00:00:17.040 --> 00:00:20.480]  我們只是涉及到一些小小的背景
[00:00:20.480 --> 00:00:22.080]  我們看到一個人物
[00:00:22.080 --> 00:00:25.040]  他的名字叫做Felix
[00:00:25.040 --> 00:00:27.040]  他的名字叫做Felix
[00:00:27.040 --> 00:00:29.040]  他們兩夫婦呢
[00:00:29.040 --> 00:00:32.400]  他們的背景很複雜
[00:00:32.400 --> 00:00:34.160]  背景相當的複雜
[00:00:34.160 --> 00:00:37.200]  因為他們利用了很多婚姻的關係
[00:00:37.200 --> 00:00:39.360]  因為他們利用了很多婚姻的關係
[00:00:39.360 --> 00:00:43.760]  來達到他們在這個世界謀取利益的手段
[00:00:43.760 --> 00:00:48.240]  來達到他們在這個世界謀求利益的目的
[00:00:48.240 --> 00:00:50.080]  我們先前都講過了
[00:00:50.080 --> 00:00:51.360]  我們之前講過
[00:00:51.360 --> 00:00:54.240]  Felix他本身以前是一個奴隸
[00:00:54.240 --> 00:00:56.240]  Felix以前是一個奴隸
[00:00:56.240 --> 00:00:59.760]  後來因為某種機緣巧合他被釋放
[00:00:59.760 --> 00:01:02.560]  因為機緣巧合他最後被釋放
[00:01:02.560 --> 00:01:04.960]  他利用他自己的人物背景
[00:01:04.960 --> 00:01:07.760]  所以他利用他自己的人脈背景
[00:01:07.760 --> 00:01:09.520]  不斷的向上爬
[00:01:09.520 --> 00:01:11.120]  不斷的向上爬
[00:01:11.120 --> 00:01:13.120]  他不會找到一個機會
[00:01:13.120 --> 00:01:19.280]  他都會希望利用這些機會能夠得到一些上位
[00:01:19.280 --> 00:01:22.400]  都希望通過這些機會可以上位
[00:01:22.400 --> 00:01:25.600]  或者財物的利益
[00:01:25.600 --> 00:01:28.480]  或者獲得一些財物或者利益
[00:01:28.480 --> 00:01:32.560]  現在他第一次見到能夠有一個保羅
[00:01:32.560 --> 00:01:35.200]  那他現在第一次看到了保羅
[00:01:35.200 --> 00:01:37.200]  可以利用一下保羅
[00:01:37.200 --> 00:01:38.400]  可以利用保羅
[00:01:38.400 --> 00:01:41.120]  來攻擊猶太人
[00:01:41.120 --> 00:01:42.880]  來攻擊猶太人
[00:01:42.880 --> 00:01:46.800]  正所謂敵人的敵人就是我的朋友
[00:01:46.800 --> 00:01:49.680]  正所謂敵人的敵人就是我的朋友
[00:01:49.680 --> 00:01:51.280]  他就利用這個機會
[00:01:51.280 --> 00:01:52.560]  他就利用這個機會
[00:01:52.560 --> 00:01:58.960]  希望能夠挑起保羅和猶太工會的惡劣關係
