
[00:00:00.000 --> 00:00:05.440]  今晚我們去到第20章
[00:00:05.440 --> 00:00:08.960]  第20章有49節很長
[00:00:08.960 --> 00:00:12.160]  不過我們不會查到最後的6節
[00:00:12.160 --> 00:00:17.760]  因為最後的6節我看來看去應該是貼著21章的
[00:00:17.760 --> 00:00:19.760]  不應該在20章那裡
[00:00:19.760 --> 00:00:23.520]  所以我們會去到第44節
[00:00:23.520 --> 00:00:25.520]  我們今晚就完結了
[00:00:25.520 --> 00:00:28.320]  今晚我們所說的
[00:00:28.320 --> 00:00:30.320]  如果你有參加主日學
[00:00:30.320 --> 00:00:32.320]  從小看聖經
[00:00:32.320 --> 00:00:36.000]  你知道很多關於猶太人的歷史的話
[00:00:36.000 --> 00:00:39.200]  今晚的事情很多你已經會知道了
[00:00:39.200 --> 00:00:46.320]  因為今晚是神將他的選民一些過去
[00:00:46.320 --> 00:00:49.120]  可以說是相當醜惡的歷史
[00:00:49.120 --> 00:00:51.120]  說出來
[00:00:51.120 --> 00:00:57.520]  我們也看到這些選民和神之間的很特別的關係
[00:00:57.520 --> 00:00:59.520]  第一節一開始的時候
[00:00:59.520 --> 00:01:01.520]  又再給時間出來
[00:01:01.520 --> 00:01:03.520]  第七年
[00:01:03.520 --> 00:01:05.520]  第七年五月初十
[00:01:05.520 --> 00:01:08.720]  那個年份我們是知道什麼時候的
[00:01:08.720 --> 00:01:15.120]  因為第七年是由以西傑被擄開始數
[00:01:15.120 --> 00:01:21.200]  我們知道第二次巴比倫去那裡擄掠那些精英分子是哪一年
[00:01:21.200 --> 00:01:24.000]  所以我們數到這個第七年
[00:01:24.000 --> 00:01:27.200]  就是主前的591年
[00:01:27.200 --> 00:01:30.560]  既然這裡有說五月初十
[00:01:30.560 --> 00:01:33.600]  我們就知道用我們今天的曆法
[00:01:33.600 --> 00:01:36.560]  那個是八月四日
[00:01:36.560 --> 00:01:37.760]  十四日
[00:01:37.760 --> 00:01:41.040]  是夏天過後八月十四日
[00:01:41.040 --> 00:01:46.720]  這個時間和第八章
[00:01:46.720 --> 00:01:50.320]  上一次以西傑有給一個時間的指標
[00:01:50.320 --> 00:01:51.840]  就在第八章那裡
[00:01:51.840 --> 00:01:53.440]  第八章那個時間
[00:01:53.440 --> 00:01:58.080]  是第六年被擄之後的六月初五
[00:01:58.080 --> 00:02:00.800]  所以第八章到現在的第二十章
[00:02:00.800 --> 00:02:04.240]  中間是過了不夠一年的時間
[00:02:04.240 --> 00:02:06.240]  是十一個多月
[00:02:06.240 --> 00:02:09.840]  這個日子另外還有一個意義
[00:02:09.840 --> 00:02:17.280]  就是這個日子和將來耶路撒冷被巴比倫攻陷
[00:02:17.280 --> 00:02:20.560]  是剛剛到今天五年
[00:02:20.560 --> 00:02:27.840]  就是說現在這個二十章之後的五年
[00:02:27.840 --> 00:02:29.520]  耶路撒冷就沒有了
[00:02:29.520 --> 00:02:31.120]  就被攻陷
[00:02:31.120 --> 00:02:32.720]  所有人被抓
[00:02:32.720 --> 00:02:34.720]  整個耶路撒冷變成廢墟
[00:02:34.720 --> 00:02:36.720]  聖殿也被毀
[00:02:36.720 --> 00:02:38.720]  剛剛還有五年的時間
[00:02:38.720 --> 00:02:41.120]  二十章所記載的
[00:02:41.120 --> 00:02:43.680]  就好像第十四章那樣
[00:02:43.680 --> 00:02:45.360]  就是那些長老
[00:02:45.360 --> 00:02:47.520]  長老就是宗教的領袖
[00:02:47.520 --> 00:02:51.600]  宗教的領袖來到以西傑的家裡
[00:02:51.600 --> 00:02:54.960]  這裡說他們來求問耶和華
[00:02:54.960 --> 00:02:56.240]  求問耶和華
[00:02:56.240 --> 00:03:03.120]  那就是要透過以西傑來問上帝一些問題
[00:03:03.120 --> 00:03:05.680]  是需要上帝來解答的
[00:03:05.680 --> 00:03:10.400]  但這裡沒有說到他們求問的是什麼
[00:03:10.400 --> 00:03:14.000]  因為接著我們就看到第三第四節
[00:03:14.000 --> 00:03:17.840]  上帝說他有什麼資格來求問
[00:03:17.840 --> 00:03:19.760]  他是不應該求問的
[00:03:19.760 --> 00:03:21.280]  我不會聽他的求問的
[00:03:21.280 --> 00:03:23.280]  我不會接受他的求問的
[00:03:23.280 --> 00:03:25.280]  反而和以西傑說
