
[00:00:00.000 --> 00:00:08.000]  早晨,剛剛來到12點鐘
[00:00:08.000 --> 00:00:14.000]  我們繼續思想這個勞鴿呼音的訊息
[00:00:14.000 --> 00:00:22.000]  OK,因為每個人的眼睛都很…
[00:00:22.000 --> 00:00:24.000]  謝謝Peter,謝謝
[00:00:24.000 --> 00:00:28.000]  通常最原始的方法是最有效的
[00:00:28.000 --> 00:00:31.000]  請我們再一次同心,我們一同祈禱
[00:00:31.000 --> 00:00:32.000]  天父,我們再一次感謝你
[00:00:32.000 --> 00:00:35.000]  給你寶貴的話語作為我們生命的指引
[00:00:35.000 --> 00:00:41.000]  讓我們藉著你的話語提醒、勸勉、鼓勵、督責
[00:00:41.000 --> 00:00:42.000]  改變我們
[00:00:42.000 --> 00:00:45.000]  奉耶穌基督命求,阿們
[00:00:45.000 --> 00:00:51.000]  在2013年7月6日,那天是星期六
[00:00:51.000 --> 00:00:57.000]  如果大家還記得,發生了一件意外
[00:00:57.000 --> 00:01:03.000]  一架從宜昌起飛的韓亞777機
[00:01:03.000 --> 00:01:06.000]  Flight 214
[00:01:06.000 --> 00:01:11.000]  在上午11點04分抵達三藩市的國際機場
[00:01:11.000 --> 00:01:14.000]  不幸發生了意外
[00:01:14.000 --> 00:01:18.000]  關於這個意外詳細情形,你問Sherman可能他最清楚
[00:01:18.000 --> 00:01:22.000]  因為他其中一個目擊證人
[00:01:24.000 --> 00:01:28.000]  事後有很多人問,為什麼會有這個意外發生
[00:01:28.000 --> 00:01:36.000]  我們知道,基本上是和飛機司機有關係
[00:01:36.000 --> 00:01:42.000]  因為他駕駛777客機的時候,速度過慢
[00:01:42.000 --> 00:01:45.000]  以致飛得太低
[00:01:45.000 --> 00:01:50.000]  機尾撞到石壆,著火
[00:01:50.000 --> 00:01:58.000]  飛機損壞,結果有三個乘客都是來美國讀書的女生死亡
[00:01:58.000 --> 00:02:03.000]  187人受傷,其中49人傷勢嚴重
[00:02:03.000 --> 00:02:06.000]  事後查究原因的時候
[00:02:06.000 --> 00:02:10.000]  幾乎所有報告都是指向一件事
[00:02:10.000 --> 00:02:13.000]  就是和飛機司機有關係
[00:02:13.000 --> 00:02:19.000]  當時負責人,Captain李剛菊
[00:02:19.000 --> 00:02:24.000]  是777的新手
[00:02:24.000 --> 00:02:29.000]  他只飛過777客機9次,總共只有41個小時
[00:02:29.000 --> 00:02:35.000]  而飛到三藩市,是第一次
[00:02:35.000 --> 00:02:42.000]  調查人員也發現,很可能這次客機失事
[00:02:42.000 --> 00:02:45.000]  是和韓國人的文化極有關係
[00:02:45.000 --> 00:02:53.000]  為什麼這樣說呢?因為飛機降落前十幾二十秒
[00:02:53.000 --> 00:02:58.000]  副機司發現飛機太慢太低
[00:02:58.000 --> 00:03:03.000]  非常危險,就提出不可以了
[00:03:03.000 --> 00:03:08.000]  當時正機司根據韓國人文化
[00:03:08.000 --> 00:03:11.000]  在下不能指控在上的錯誤
[00:03:11.000 --> 00:03:14.000]  所以沒有理會造成這次意外
[00:03:14.000 --> 00:03:18.000]  究竟這次意外是否正確呢?
[00:03:18.000 --> 00:03:21.000]  這是另一個看法
[00:03:21.000 --> 00:03:26.000]  不過有另一次意外,很明顯和韓國人文化有關係
[00:03:26.000 --> 00:03:30.000]  就是韓國航空公司801號班機
[00:03:30.000 --> 00:03:35.000]  在1997年8月6日在關島失事
[00:03:35.000 --> 00:03:40.000]  機上有254名乘客,有228人死亡
[00:03:40.000 --> 00:03:45.000]  這次意外很明顯和韓國人文化有關係
[00:03:45.000 --> 00:03:50.000]  因為當時的航空公司航空部長
[00:03:50.000 --> 00:03:54.000]  這個機司是富有經驗的
[00:03:54.000 --> 00:03:58.000]  飛行過9000小時的飛行工業
[00:03:58.000 --> 00:04:02.000]  這個副機司叫做宋匡路
[00:04:02.000 --> 00:04:07.000]  而飛機上的工程師姓林
[00:04:07.000 --> 00:04:12.000]  當天降落在關島,因為天雨關係
[00:04:12.000 --> 00:04:18.000]  機司誤以為他看到的不是跑道
[00:04:18.000 --> 00:04:21.000]  他以為是跑道,就降落
[00:04:21.000 --> 00:04:26.000]  當時的工程師林已經說不是,是錯的
[00:04:26.000 --> 00:04:30.000]  但這個機司說我是開飛機的,你是甚麼人
[00:04:30.000 --> 00:04:33.000]  你只不過是一個工程師,沒有理會
[00:04:33.000 --> 00:04:37.000]  在法國太遲,飛機已經失事
[00:04:37.000 --> 00:04:41.000]  結果死了228人
[00:04:41.000 --> 00:04:44.000]  這兩次的失事都有一個共同點
[00:04:44.000 --> 00:04:47.000]  都是和權柄有關係
