
[00:00:00.000 --> 00:00:02.480]  今天我們看第十六章
[00:00:02.480 --> 00:00:04.480]  以西傑書第十六章
[00:00:04.480 --> 00:00:08.240]  在上兩章十四、十五
[00:00:08.240 --> 00:00:10.240]  我們剛剛查過
[00:00:10.240 --> 00:00:12.740]  應該印象很深
[00:00:12.740 --> 00:00:15.940]  第十四章是說到
[00:00:15.940 --> 00:00:17.940]  一人做事一人當
[00:00:17.940 --> 00:00:23.240]  即是每一個人我們都要在神的面前負上責任
[00:00:23.240 --> 00:00:25.540]  即使在我們當中
[00:00:25.540 --> 00:00:27.740]  有羅亞
[00:00:27.740 --> 00:00:29.100]  有但以利
[00:00:29.100 --> 00:00:30.500]  有約伯
[00:00:30.500 --> 00:00:34.200]  神會興起很多的僕人來將
[00:00:34.200 --> 00:00:37.700]  救恩將祂的話語來教導我們
[00:00:37.700 --> 00:00:40.500]  但是一個人接不接受
[00:00:40.500 --> 00:00:43.100]  是自己個人在神面前的
[00:00:43.100 --> 00:00:47.200]  就是不能因為有二人在我們當中
[00:00:47.200 --> 00:00:50.900]  甚至是我們的父母
[00:00:50.900 --> 00:00:52.800]  我們的兄弟姐妹
[00:00:52.800 --> 00:00:54.500]  我們的配偶
[00:00:54.500 --> 00:00:58.700]  他信耶穌不等於我們也得救
[00:00:58.700 --> 00:01:03.000]  每一個人要自己在神的面前負責
[00:01:03.000 --> 00:01:06.500]  第十五章上一次我們查很短
[00:01:06.500 --> 00:01:08.500]  就是說到葡萄樹
[00:01:08.500 --> 00:01:13.000]  葡萄樹最重要的東西
[00:01:13.000 --> 00:01:16.500]  它的價值是在它的果子那裡
[00:01:16.500 --> 00:01:20.000]  一棵葡萄樹如果沒有果子的話
[00:01:20.000 --> 00:01:21.800]  葡萄樹是沒用的
[00:01:21.800 --> 00:01:24.300]  那些樹木又不可以用來建屋
[00:01:24.300 --> 00:01:27.200]  只能夠當柴燒
[00:01:27.200 --> 00:01:29.000]  燒了沒了
[00:01:29.000 --> 00:01:32.000]  所以這個是提醒葡萄樹
[00:01:32.000 --> 00:01:35.800]  就算是選民是神揀選
[00:01:35.800 --> 00:01:38.600]  如果他們是犯罪的話
[00:01:38.600 --> 00:01:40.200]  沒有果子的話
[00:01:40.200 --> 00:01:42.000]  神一樣是會審判
[00:01:42.000 --> 00:01:44.500]  一樣是會責備他們
[00:01:44.500 --> 00:01:47.200]  今天我們去到第十六章
[00:01:47.200 --> 00:01:49.000]  第十六章很長
[00:01:49.000 --> 00:01:51.100]  六十三節經文
[00:01:51.100 --> 00:01:53.600]  我們要將它分為六段
[00:01:53.600 --> 00:01:55.900]  我在這裡已經分給大家了
[00:01:55.900 --> 00:02:00.300]  第一第五節是說到猶太民族的出生
[00:02:00.300 --> 00:02:02.900]  他們很卑微的出生
[00:02:02.900 --> 00:02:07.500]  在這裡神很詳細說他們是怎麼開始的
[00:02:07.500 --> 00:02:09.400]  是一個很卑微
[00:02:09.400 --> 00:02:12.800]  很不重要的出生
[00:02:12.800 --> 00:02:15.700]  然後第六節到第十四節
[00:02:15.700 --> 00:02:18.800]  是說到神怎麼來給恩典
[00:02:18.800 --> 00:02:21.100]  這個這麼卑微的民族
[00:02:21.100 --> 00:02:24.000]  在這麼卑微的出生
[00:02:24.000 --> 00:02:27.000]  神是怎麼來給恩典
[00:02:27.000 --> 00:02:28.000]  給福氣
[00:02:28.000 --> 00:02:29.400]  興起他們
[00:02:29.400 --> 00:02:35.400]  讓他們能夠成為所有萬國的祝福
[00:02:35.400 --> 00:02:38.600]  這是神原本的原意
[00:02:38.600 --> 00:02:42.900]  就是要透過祝福這個很微小的民族
[00:02:42.900 --> 00:02:47.300]  讓萬國萬民來認識耶和華
[00:02:47.300 --> 00:02:49.600]  我們知道因為他們犯罪
[00:02:49.600 --> 00:02:51.000]  所以他們做不到
[00:02:51.000 --> 00:02:53.000]  但是神沒有離開他們
[00:02:53.000 --> 00:02:55.500]  第十五節到第十四節
[00:02:55.500 --> 00:02:59.000]  就說猶太民族墮落到一個程度
[00:02:59.000 --> 00:03:03.400]  為什麼神要將他們打散在世界各地
[00:03:03.400 --> 00:03:06.600]  為什麼他們要受幾千年的苦行
[00:03:06.600 --> 00:03:09.600]  原來他們犯的罪
[00:03:09.600 --> 00:03:13.500]  是大到比外邦人都不如的
[00:03:13.500 --> 00:03:15.600]  神在這一段裡面
[00:03:15.600 --> 00:03:18.500]  有說到為什麼他們
[00:03:18.500 --> 00:03:21.800]  這個昌記我們今天查第十六章
[00:03:21.800 --> 00:03:23.800]  裡面很多所說的東西
[00:03:23.800 --> 00:03:27.400]  我們一定不能夠用字面來解釋
[00:03:27.400 --> 00:03:32.600]  裡面是說到出生
[00:03:32.600 --> 00:03:35.600]  說到妓女
[00:03:35.600 --> 00:03:37.300]  說到赤身露體
[00:03:37.300 --> 00:03:39.600]  那些都是隱喻
[00:03:39.600 --> 00:03:41.100]  是一個寓意
