
[00:00:00.000 --> 00:00:07.600]  今天是下一站幸福的最後一講
[00:00:07.600 --> 00:00:11.600]  我們都是講到有關於婚姻的
[00:00:11.600 --> 00:00:17.200]  所以我的題目就是為他做一個配偶幫助他
[00:00:17.200 --> 00:00:21.600]  為他 他是誰呢?他是第一個人 亞當
[00:00:21.600 --> 00:00:24.800]  我們相信人不是由猴子變的
[00:00:24.800 --> 00:00:26.800]  人是神所造的
[00:00:26.800 --> 00:00:31.600]  第一個人叫亞當 神造了這個男人
[00:00:31.600 --> 00:00:35.000]  在《創世記》第二章第十八節說
[00:00:35.000 --> 00:00:40.200]  耶和華神說 那人(即是亞當)獨居不好
[00:00:40.200 --> 00:00:45.800]  我要為他做一個配偶來幫助他
[00:00:45.800 --> 00:00:49.000]  這裡有幾樣要注意
[00:00:49.000 --> 00:00:51.000]  獨居不好
[00:00:51.000 --> 00:00:54.000]  在《創世記》第一章前面
[00:00:54.000 --> 00:00:57.000]  是七次神話好的
[00:00:57.000 --> 00:00:59.000]  特別是在星期三
[00:00:59.000 --> 00:01:02.000]  神話好的是說了兩次
[00:01:02.000 --> 00:01:06.000]  所以猶太人結婚多數在星期三
[00:01:06.000 --> 00:01:08.000]  因為是雙好
[00:01:08.000 --> 00:01:10.000]  前面是說了七次的好
[00:01:10.000 --> 00:01:13.000]  到第二章第十八節這裡
[00:01:13.000 --> 00:01:16.000]  神說 那人獨居不好
[00:01:16.000 --> 00:01:21.000]  所以我就要為他做一個配偶來幫助他
[00:01:21.000 --> 00:01:24.000]  這裡有兩個問題
[00:01:24.000 --> 00:01:27.000]  第一個是否神疏忽了?
[00:01:27.000 --> 00:01:29.000]  神造人的時候
[00:01:29.000 --> 00:01:32.000]  計劃是否當中有缺陷?
[00:01:32.000 --> 00:01:34.000]  造了一個人出來是不好的
[00:01:34.000 --> 00:01:36.000]  因為他孤單
[00:01:36.000 --> 00:01:38.000]  因為他只有一個人
[00:01:38.000 --> 00:01:41.000]  神將動物帶到他面前
[00:01:41.000 --> 00:01:44.000]  所有動物都是亞當起名的
[00:01:44.000 --> 00:01:47.000]  但是亞當的心是很寂寞
[00:01:47.000 --> 00:01:51.000]  覺得沒有一個伴侶
[00:01:51.000 --> 00:01:54.000]  有欠缺 覺得很孤單
[00:01:54.000 --> 00:01:57.000]  所以神就看他亞當孤單
