
[00:00:00.000 --> 00:00:02.000]  (字幕:Sara, 請勿模仿)
[00:00:02.000 --> 00:00:05.040]  眨眼間我們來到
[00:00:05.040 --> 00:00:07.240]  但義理書的第八章
[00:00:07.240 --> 00:00:09.360]  但義理書全部有十二章
[00:00:09.360 --> 00:00:11.640]  即是我們已經超過了一半
[00:00:11.640 --> 00:00:15.040]  前一個星期我們是查第七章
[00:00:15.040 --> 00:00:18.360]  第七章開始記載了
[00:00:18.360 --> 00:00:22.320]  神彼但義理這位很特別的先知
[00:00:22.320 --> 00:00:24.560]  有四個異象
[00:00:24.560 --> 00:00:27.680]  第七章的時候我們看到第一個異象
[00:00:27.680 --> 00:00:29.680]  今天我們會看第二個異象
[00:00:30.560 --> 00:00:32.800]  但我們也重溫一下
[00:00:32.800 --> 00:00:35.280]  但義理書說的但義理
[00:00:35.280 --> 00:00:37.280]  到底是甚麼人呢
[00:00:37.280 --> 00:00:40.280]  但義理是一個很特別的人物
[00:00:40.280 --> 00:00:44.280]  他生在一個很特別的時代
[00:00:44.280 --> 00:00:47.080]  是以色列亡國的時候
[00:00:47.080 --> 00:00:50.280]  即是他差不多一出生不久
[00:00:50.280 --> 00:00:52.680]  十多歲就做亡國奴了
[00:00:52.680 --> 00:00:55.080]  他在十多歲的時候
[00:00:55.080 --> 00:00:59.280]  已經被攻破了他自己國家的巴比倫國
[00:00:59.480 --> 00:01:01.280]  擄掠了
[00:01:01.280 --> 00:01:03.880]  送了去巴比倫那裡
[00:01:03.880 --> 00:01:05.680]  巴比倫就是今天的伊拉克
[00:01:05.680 --> 00:01:09.680]  但義理一生都沒有回故國
[00:01:09.680 --> 00:01:12.880]  即是他去到一個異國的地方
[00:01:12.880 --> 00:01:15.480]  在那裡活了他的一生
[00:01:15.480 --> 00:01:18.480]  然後在那個時候
[00:01:18.480 --> 00:01:20.080]  他是一個很特別的時代
[00:01:20.080 --> 00:01:20.680]  為甚麼呢
[00:01:20.680 --> 00:01:22.880]  那個是主前六百年
[00:01:22.880 --> 00:01:26.680]  即是現在已經有兩千多年了
[00:01:28.080 --> 00:01:31.080]  但義理那個時代就開始了
[00:01:31.080 --> 00:01:33.480]  以色列人受苦的年代
[00:01:33.480 --> 00:01:36.880]  即是他們由那時候開始
[00:01:36.880 --> 00:01:38.480]  一直到今天
