
[00:00:00.000 --> 00:00:10.500]  今日的信息是一連四次在基督裡系列的第一講
[00:00:10.500 --> 00:00:13.800]  好多謝鄧牧師這麼看得起我
[00:00:13.800 --> 00:00:19.500]  將這個肥理門書這麼難講的這一段來給我講
[00:00:19.500 --> 00:00:22.500]  我昨晚已經講了一次
[00:00:22.500 --> 00:00:26.900]  我昨晚就說我大概今天會很早落堂
[00:00:26.900 --> 00:00:30.000]  因為不懂得講很快就講完
[00:00:30.000 --> 00:00:35.000]  結果我有班好朋友就幫我做妹提了很多的問題
[00:00:35.000 --> 00:00:37.300]  又是捱了過去的時間
[00:00:37.300 --> 00:00:40.600]  今早我又再來捱這個時間
[00:00:40.600 --> 00:00:44.000]  不過我相信主是有很豐富的恩典的
[00:00:44.000 --> 00:00:47.800]  聖經都是上帝所默示的於教訓督澤
[00:00:47.800 --> 00:00:51.000]  使人歸正教導人學義都是有益的
[00:00:51.000 --> 00:00:57.000]  而且用這麼短的一封信流傳到現在二千多年之後
[00:00:57.000 --> 00:01:00.000]  我們都仍然繼續可以讀
[00:01:00.000 --> 00:01:05.500]  我想像下如果收信那個人今天來跟我們講
[00:01:05.500 --> 00:01:07.500]  他不知道會怎麼講呢
[00:01:07.500 --> 00:01:11.500]  他會不會說你知不知道我叫做肥理門
[00:01:11.500 --> 00:01:15.800]  你知不知道香港有一個很出名的人叫做肥理門
[00:01:15.800 --> 00:01:17.300]  你大概不知道
[00:01:17.300 --> 00:01:21.400]  我這些在香港教會長大的
[00:01:21.400 --> 00:01:25.900]  就記得有一位長輩其實都不是比我大很多歲
[00:01:25.900 --> 00:01:27.900]  他中文名叫做蔡依
[00:01:27.900 --> 00:01:29.500]  有沒有人認識蔡依
[00:01:29.500 --> 00:01:31.500]  有些人都聽過突破的
[00:01:31.500 --> 00:01:36.000]  其中一個創辦者就是蔡元雲醫生
[00:01:36.000 --> 00:01:38.900]  他英文名叫做Filemon Choi
[00:01:38.900 --> 00:01:41.200]  那為什麼他會叫做Filemon呢
[00:01:41.200 --> 00:01:42.700]  就不得而知
[00:01:42.700 --> 00:01:46.300]  但是聽見今天這一封這樣的信
[00:01:46.300 --> 00:01:50.200]  是傳到我肥理門的手裏面
[00:01:50.200 --> 00:01:52.100]  你當我現在是肥理門
[00:01:52.100 --> 00:01:53.800]  我收到這一封信
[00:01:53.800 --> 00:01:55.600]  我讀到說
[00:01:55.600 --> 00:01:59.600]  為基督耶穌被囚的保羅
[00:01:59.600 --> 00:02:00.900]  嗯
[00:02:00.900 --> 00:02:02.400]  我認識他
[00:02:02.400 --> 00:02:04.000]  如果不是他
[00:02:04.000 --> 00:02:05.700]  我都沒有今天了
[00:02:05.700 --> 00:02:09.700]  這一位為基督的緣故豁出去
[00:02:09.700 --> 00:02:13.000]  勞苦 危難 監禁
[00:02:13.000 --> 00:02:14.800]  也都不會退卻的
[00:02:14.800 --> 00:02:16.700]  這一位上帝的僕人
[00:02:16.700 --> 00:02:18.300]  是很值得尊重
[00:02:18.300 --> 00:02:20.200]  他寫信給我
[00:02:20.200 --> 00:02:22.800]  不單止他自己問候我
[00:02:22.800 --> 00:02:25.300]  還有他一班的同工
[00:02:25.300 --> 00:02:26.900]  一班的戰友
[00:02:26.900 --> 00:02:28.700]  有提摩太等等
[00:02:28.700 --> 00:02:30.200]  來問候我
[00:02:30.200 --> 00:02:31.900]  他叫我做
[00:02:31.900 --> 00:02:33.800]  所親愛的
[00:02:33.800 --> 00:02:37.200]  這一些當然是書面的說話
[00:02:37.200 --> 00:02:40.200]  My dear Filemon
[00:02:40.200 --> 00:02:43.900]  但是我相信這個保羅他不是就這樣
[00:02:43.900 --> 00:02:46.000]  字面的一些說話
[00:02:46.000 --> 00:02:47.500]  他是真誠的
[00:02:47.500 --> 00:02:49.700]  有基督裏面的愛
[00:02:49.700 --> 00:02:51.100]  來對待我
[00:02:51.100 --> 00:02:52.600]  他寫信給我
[00:02:52.600 --> 00:02:54.200]  不單止是給我
[00:02:54.200 --> 00:02:57.300]  也都是給我
[00:02:57.300 --> 00:02:59.100]  是不是我的太太
[00:02:59.100 --> 00:03:00.500]  是不是我的兒子
