
[00:00:00.000 --> 00:00:06.000]  保羅終於來到羅馬
[00:00:06.000 --> 00:00:10.000]  這是《士徒行傳》28章
[00:00:10.000 --> 00:00:14.000]  記載最後的一件事
[00:00:14.000 --> 00:00:22.000]  不是保羅按照他四次宣教旅程
[00:00:22.000 --> 00:00:26.000]  這樣一步一步來到羅馬的
[00:00:26.000 --> 00:00:29.000]  保羅有他的計劃
[00:00:29.000 --> 00:00:37.000]  如果你打開羅馬書第15章22節
[00:00:37.000 --> 00:00:42.000]  保羅寫信給羅馬的教會
[00:00:42.000 --> 00:00:46.000]  跟他們說他想著怎樣做
[00:00:46.000 --> 00:00:49.000]  羅馬書15章22節那句話
[00:00:49.000 --> 00:00:52.000]  保羅說:我因為多次被攔阻
[00:00:52.000 --> 00:00:55.000]  總不得到你們那裡去
[00:00:55.000 --> 00:01:02.000]  但如今在這裡再沒有可傳的地方
[00:01:02.000 --> 00:01:04.000]  就是講回20節
[00:01:04.000 --> 00:01:06.000]  保羅說:我立了志向
[00:01:06.000 --> 00:01:11.000]  不在基督被稱過的地方傳福音
[00:01:11.000 --> 00:01:15.000]  免得建造在別人根基之上
[00:01:15.000 --> 00:01:20.000]  保羅可以傳福音的地方都傳完了
[00:01:20.000 --> 00:01:24.000]  於是他就說:這好幾年
[00:01:24.000 --> 00:01:30.000]  我的心就是想到西班牙去
[00:01:30.000 --> 00:01:33.000]  知道西班牙是講哪裏嗎?
[00:01:33.000 --> 00:01:36.000]  100年前就有西班牙這個翻譯
[00:01:36.000 --> 00:01:38.000]  就譯成西班牙
[00:01:38.000 --> 00:01:39.000]  不過你都知道
[00:01:39.000 --> 00:01:43.000]  西班牙即是西班牙
[00:01:43.000 --> 00:01:46.000]  保羅說:我去西班牙
[00:01:46.000 --> 00:01:50.000]  就可以到你們羅馬
[00:01:50.000 --> 00:01:53.000]  盼望從你們那裏經過
[00:01:53.000 --> 00:01:55.000]  可以和你們見面
[00:01:55.000 --> 00:01:57.000]  彼此交往
[00:01:57.000 --> 00:02:00.000]  心就得到滿足
[00:02:00.000 --> 00:02:03.000]  然後蒙你們送行
[00:02:03.000 --> 00:02:07.000]  保羅不是想著要去羅馬傳福音
[00:02:07.000 --> 00:02:11.000]  保羅只是想著經過羅馬
[00:02:11.000 --> 00:02:13.000]  他的目的地是西班牙
[00:02:13.000 --> 00:02:14.000]  為甚麼?
[00:02:14.000 --> 00:02:16.000]  因為羅馬已經有教會
[00:02:16.000 --> 00:02:20.000]  即是已經有人在羅馬傳了福音
[00:02:20.000 --> 00:02:21.000]  有人信主
[00:02:21.000 --> 00:02:23.000]  建立了教會
[00:02:23.000 --> 00:02:27.000]  羅馬書是保羅在去羅馬之前
[00:02:27.000 --> 00:02:29.000]  寫了一封信
[00:02:29.000 --> 00:02:31.000]  先給羅馬的教會
[00:02:31.000 --> 00:02:33.000]  就跟他們說:我有計劃
[00:02:33.000 --> 00:02:38.000]  我準備去西班牙坐船去
[00:02:38.000 --> 00:02:41.000]  船不是走地中海直航
[00:02:41.000 --> 00:02:43.000]  Direct flight, non-stop
[00:02:43.000 --> 00:02:44.000]  飛機就可以
[00:02:44.000 --> 00:02:46.000]  船不是這樣走的
