
[00:00:00.000 --> 00:00:08.000]  在最近我自己在看提摩泰後書的時候
[00:00:08.000 --> 00:00:12.000]  特別是讀到我們剛才所讀到的第三章
[00:00:12.000 --> 00:00:16.000]  提摩泰後書第三章裡面第一節就說到
[00:00:16.000 --> 00:00:25.000]  你應當知道 活後的日子 必有艱難的時期來到
[00:00:25.000 --> 00:00:30.000]  我們很多弟兄姊妹都紛紛在這段日子裡面
[00:00:30.000 --> 00:00:34.000]  因為各樣事情的發生都會開始很認真
[00:00:34.000 --> 00:00:38.000]  也提醒我們自己 末後的日子來到了
[00:00:38.000 --> 00:00:41.000]  主來的日子可以很近
[00:00:41.000 --> 00:00:44.000]  但是這一節聖經特別說到
[00:00:44.000 --> 00:00:48.000]  我們應該知道在這個時間裡面
[00:00:48.000 --> 00:00:55.000]  其實是有更多必有 必定會有艱難的時期來到
[00:00:55.000 --> 00:00:59.000]  剛才我們說 我覺得很有共鳴
[00:00:59.000 --> 00:01:03.000]  因為我看到這一節的時候 那種必然會來到的艱難
[00:01:03.000 --> 00:01:06.000]  當然 你和我可能都會像我這樣 想起什麼呢?
[00:01:06.000 --> 00:01:09.000]  想起主耶穌所說的話 一樣是這樣說的
[00:01:09.000 --> 00:01:12.000]  你記得他在馬拉福音第24章那裡
[00:01:12.000 --> 00:01:14.000]  說到他來的日子的時候
[00:01:14.000 --> 00:01:19.000]  又有天災 又有戰爭 又有人禍
[00:01:19.000 --> 00:01:22.000]  很多的逼迫 啟示錄
[00:01:22.000 --> 00:01:25.000]  說到將來的時候 也是這樣說
[00:01:25.000 --> 00:01:28.000]  啟示錄裡面大部分的經典
[00:01:28.000 --> 00:01:32.000]  如果我們數一下 從第6章到第18章
[00:01:32.000 --> 00:01:34.000]  佔了大部分的內容
[00:01:34.000 --> 00:01:37.000]  都說到主耶穌再來 在末後的日子的時候
[00:01:37.000 --> 00:01:40.000]  是會有很多的災難
[00:01:40.000 --> 00:01:43.000]  一樣是有很多的天災 有很多的自然災害
[00:01:43.000 --> 00:01:46.000]  但是有很多人的戰爭 有很多人的鬥爭
[00:01:46.000 --> 00:01:48.000]  有很多的逼迫
[00:01:48.000 --> 00:01:53.000]  所以我突然間感到 這是一個必然會發生的事
[00:01:53.000 --> 00:02:00.000]  末後的日子 必然會有這些災難的來到
[00:02:00.000 --> 00:02:02.000]  但是接著我就要問一個問題
[00:02:02.000 --> 00:02:07.000]  既然我們現在已經是面對這個必然會來到的
[00:02:07.000 --> 00:02:13.000]  那我應該怎樣 弟兄姊妹 我們基督徒應該怎樣去面對呢
[00:02:13.000 --> 00:02:17.000]  這個就是我們今天要和大家一起看的題目
[00:02:17.000 --> 00:02:23.000]  我們看《大口書》 今天一讀完這17節全章的聖經
[00:02:23.000 --> 00:02:29.000]  我們就看到前面那裡 說到末後的日子的現象是怎樣怎樣
[00:02:29.000 --> 00:02:36.000]  然後後面 我今天很想和大家繼續深入來看多一點
[00:02:36.000 --> 00:02:42.000]  既然末後的日子是這樣 那究竟應該怎樣做呢
[00:02:42.000 --> 00:02:44.000]  我們就聽聽聖經怎樣說
[00:02:44.000 --> 00:02:49.000]  這個是今天我和大家分享這張聖經最重要的地方
[00:02:49.000 --> 00:02:52.000]  雖然我們說這張聖經最重要的地方
[00:02:52.000 --> 00:02:57.000]  是說到我們怎樣去面對 聖經教我們 神教我們怎樣去預備自己
[00:02:57.000 --> 00:03:03.000]  以及應該用什麼方式和策略去面對這些必然會來的日子
[00:03:03.000 --> 00:03:12.000]  我們就要用一點點時間 交代一下前面所描述的末後的日子的情況
[00:03:12.000 --> 00:03:18.000]  事實上聖經本來由第二節一劈頭一直到第九節
[00:03:18.000 --> 00:03:21.000]  就已經將整個末後的日子裡面
[00:03:21.000 --> 00:03:28.000]  很多很多的醜惡 很多很多的罪惡的現象描述出來
[00:03:28.000 --> 00:03:32.000]  你數一下 超過20行很多
[00:03:32.000 --> 00:03:36.000]  所以今天你可以估計到 我不會逐一講
[00:03:36.000 --> 00:03:40.000]  逐一講就不夠時間 而且你可以慢慢回去再看
[00:03:40.000 --> 00:03:45.000]  我和大家做了一點點功課 將它比較有系統的分類
[00:03:45.000 --> 00:03:48.000]  這樣你會容易把握
[00:03:48.000 --> 00:03:50.000]  不過無論如何 你一路讀下去
[00:03:50.000 --> 00:03:53.000]  剛才我們讀這段聖經的時候 你都會發覺
[00:03:53.000 --> 00:03:58.000]  這段聖經裡面所講的東西是集中在人的醜惡
[00:03:58.000 --> 00:04:00.000]  人的問題
[00:04:00.000 --> 00:04:05.000]  事實上在這個末後的災難困難的日子裡面
[00:04:05.000 --> 00:04:07.000]  當然是來自天災
[00:04:07.000 --> 00:04:13.000]  今天我們看到的病毒 很多的環境 生態上的反常
[00:04:13.000 --> 00:04:15.000]  令我們很難受
[00:04:15.000 --> 00:04:18.000]  我們看到很多的人禍
[00:04:18.000 --> 00:04:22.000]  我們看到政治上的 經常想起政治的鬥爭
[00:04:22.000 --> 00:04:27.000]  各方面的世界上的國家和國家之間的那種不信任
[00:04:27.000 --> 00:04:31.000]  沒錯 這些是外在的環境帶來我們很多的痛苦
[00:04:31.000 --> 00:04:34.000]  但是最核心的聖經很清楚
[00:04:34.000 --> 00:04:36.000]  人的問題
[00:04:36.000 --> 00:04:38.000]  人性的問題
[00:04:38.000 --> 00:04:43.000]  人所產生出來 比較這些外在所帶來的環境
[00:04:43.000 --> 00:04:44.000]  是更加可怕
[00:04:44.000 --> 00:04:48.000]  所以聖經這二十幾項裡面 集中在講人的問題
[00:04:48.000 --> 00:04:50.000]  人的問題
[00:04:50.000 --> 00:04:53.000]  我曾經在講道裡面都和大家提過
[00:04:53.000 --> 00:04:55.000]  世衛講得很有意思
[00:04:55.000 --> 00:04:57.000]  在很多的研究裡面
[00:04:57.000 --> 00:05:00.000]  他說我們可能這種病毒
[00:05:00.000 --> 00:05:07.000]  這種新冠病毒慢慢會成為我們人類文化裡面一個必然的長久的問題
[00:05:07.000 --> 00:05:10.000]  我們今天的生活不是短期的了
[00:05:10.000 --> 00:05:12.000]  我們大家越來越知道這個問題
[00:05:12.000 --> 00:05:16.000]  我們已經長期轉到另外一種的生活模式
[00:05:16.000 --> 00:05:18.000]  這個世界有很多的行業
[00:05:18.000 --> 00:05:22.000]  很多的文化可能要慢慢被淘汰
[00:05:22.000 --> 00:05:27.000]  新的方式 生活方式要成為一個長久的生活
[00:05:27.000 --> 00:05:30.000]  這個其實是令我們很擔憂的
[00:05:30.000 --> 00:05:32.000]  但是世衛很有意思
[00:05:32.000 --> 00:05:34.000]  你記得我曾經和大家講過
[00:05:34.000 --> 00:05:40.000]  世衛在那裡曾經出過一個講法和一個研究
[00:05:40.000 --> 00:05:42.000]  他說其實最擔憂的
[00:05:42.000 --> 00:05:44.000]  就是在這個最困難的全世界
[00:05:44.000 --> 00:05:47.000]  走進一個很困難的日子裡面
[00:05:47.000 --> 00:05:51.000]  其實我們更加應該是互相守望
[00:05:51.000 --> 00:05:53.000]  互相幫助
[00:05:53.000 --> 00:05:56.000]  大家同心協力去面對病菌
[00:05:56.000 --> 00:06:00.000]  但是現在我們反而看到的現象就是當最困難的日子來到的時候
[00:06:00.000 --> 00:06:02.000]  經濟有困難的時候
[00:06:02.000 --> 00:06:04.000]  在這個病毒有困難的時候
[00:06:04.000 --> 00:06:06.000]  我們健康出問題的時候
[00:06:06.000 --> 00:06:08.000]  人陷入一種很大的危機
[00:06:08.000 --> 00:06:09.000]  在環境的危機的時候
[00:06:09.000 --> 00:06:12.000]  我們反而更多的互相批評
[00:06:12.000 --> 00:06:14.000]  互相的攻擊
[00:06:14.000 --> 00:06:15.000]  互相的詆毀
[00:06:15.000 --> 00:06:17.000]  互相的推卸責任
[00:06:17.000 --> 00:06:18.000]  互相的攻擊
[00:06:18.000 --> 00:06:19.000]  互相的鬥爭
[00:06:19.000 --> 00:06:21.000]  並且互相的踐踏
[00:06:21.000 --> 00:06:23.000]  這個才是人最可怕的地方
[00:06:23.000 --> 00:06:25.000]  本來已經夠慘的了
[00:06:25.000 --> 00:06:27.000]  再加上人要這樣去面對
[00:06:27.000 --> 00:06:29.000]  這個才是人類的悲劇
[00:06:29.000 --> 00:06:31.000]  好了我們不再說那些了
[00:06:31.000 --> 00:06:33.000]  我們說這二十幾項
[00:06:33.000 --> 00:06:37.000]  那種人的悲劇究竟是怎樣的呢?
[00:06:37.000 --> 00:06:40.000]  我相信剛才讀的時候或者我一會兒講下去的時候
[00:06:40.000 --> 00:06:44.000]  你都忍不住會想起這個世界所發生的事情
[00:06:44.000 --> 00:06:46.000]  ERROR就是那個人
[00:06:46.000 --> 00:06:47.000]  ERROR就是那件事
[00:06:47.000 --> 00:06:49.000]  就是這個國家現在做的這種事情
[00:06:49.000 --> 00:06:51.000]  或者你會想到香港
[00:06:51.000 --> 00:06:54.000]  甚至你會想到你身邊的人
[00:06:54.000 --> 00:06:57.000]  所以這裡我就不會和大家很努力的
[00:06:57.000 --> 00:06:58.000]  逐個和大家說
[00:06:58.000 --> 00:06:59.000]  現在就是這樣
[00:06:59.000 --> 00:07:00.000]  那沒什麼意思
[00:07:00.000 --> 00:07:01.000]  你同外我
[00:07:01.000 --> 00:07:04.000]  只有你自己可以對號入座
[00:07:04.000 --> 00:07:06.000]  所以歡迎你自己
[00:07:06.000 --> 00:07:09.000]  靜靜的自己心裡面對號入座
[00:07:09.000 --> 00:07:10.000]  OK
[00:07:10.000 --> 00:07:15.000]  那究竟這幾個聖經裡面所描述的一大堆的
[00:07:15.000 --> 00:07:19.000]  應該可以怎樣去簡單的去歸類呢?
[00:07:19.000 --> 00:07:21.000]  我覺得第二節很有意思的
[00:07:21.000 --> 00:07:24.000]  第二節說了兩件事
[00:07:24.000 --> 00:07:26.000]  他說在那時候的情況
[00:07:26.000 --> 00:07:28.000]  人是專愛自己
[00:07:28.000 --> 00:07:30.000]  貪愛錢財
[00:07:30.000 --> 00:07:35.000]  中文聖經就沒辦法這麼全神
[00:07:35.000 --> 00:07:39.000]  其實這幾節聖經所描述的東西裡面
[00:07:39.000 --> 00:07:41.000]  有五次出現了
[00:07:41.000 --> 00:07:43.000]  特別是指一些人
[00:07:43.000 --> 00:07:47.000]  那些人本來不是一個人的字眼
[00:07:47.000 --> 00:07:51.000]  但是他的性格充分代表那些人
[00:07:51.000 --> 00:07:53.000]  簡單來說就是說
[00:07:53.000 --> 00:07:56.000]  這兩節所說的聖經說了兩件事
[00:07:56.000 --> 00:07:57.000]  他專愛自己
