
[00:00:00.000 --> 00:00:08.000]  人生當中難免會有一些我們叫做哈碌的事情
[00:00:08.000 --> 00:00:10.400]  昨天有多少人在這裡?
[00:00:10.400 --> 00:00:11.200]  崇拜
[00:00:11.200 --> 00:00:13.000]  五點鐘的那一堂
[00:00:13.000 --> 00:00:16.700]  你們在這裡就知道發生了什麼事
[00:00:16.700 --> 00:00:20.200]  我問了榮牧師
[00:00:20.200 --> 00:00:22.600]  容許我一分鐘提回這件事
[00:00:22.600 --> 00:00:24.600]  我知道教會有錄音的
[00:00:24.600 --> 00:00:26.600]  希望這段錄音不要cut
[00:00:26.600 --> 00:00:30.600]  昨天中段就cut了
[00:00:30.600 --> 00:00:33.600]  對我來說是一個很大的恩典
[00:00:33.600 --> 00:00:35.600]  為什麼我叫你不要cut我說的話
[00:00:35.600 --> 00:00:37.600]  因為有些人昨天起到
[00:00:37.600 --> 00:00:39.200]  今天沒有來
[00:00:39.200 --> 00:00:40.600]  昨天講到一半的時候
[00:00:40.600 --> 00:00:42.200]  我的肚子很不舒服
[00:00:42.200 --> 00:00:43.600]  我要走開
[00:00:43.600 --> 00:00:45.200]  因為事完之前
[00:00:45.200 --> 00:00:48.200]  我喝了六種不同顏色的東西
[00:00:48.200 --> 00:00:49.200]  進了自己的肚子
[00:00:49.200 --> 00:00:50.200]  一邊講有人給東西
[00:00:50.200 --> 00:00:52.600]  我就喝
[00:00:52.600 --> 00:00:54.600]  有些可能我不能接受
[00:00:54.600 --> 00:00:56.600]  但是自己不知道
[00:00:56.600 --> 00:00:59.600]  昨晚我兩點多醒來
[00:00:59.600 --> 00:01:01.600]  我覺得今天我要講幾句話
[00:01:01.600 --> 00:01:04.600]  弟兄姐妹給我喝東西是對我好的
[00:01:04.600 --> 00:01:07.600]  所以我不想他們不舒服
[00:01:07.600 --> 00:01:10.600]  這次又失敗了
[00:01:10.600 --> 00:01:13.600]  所以我覺得我要講這幾句
[00:01:13.600 --> 00:01:17.600]  我講完了
[00:01:17.600 --> 00:01:19.600]  大家明白我講什麼嗎?
[00:01:19.600 --> 00:01:21.600]  明白的
[00:01:21.600 --> 00:01:23.600]  總之給我喝東西的人
