
[00:00:00.000 --> 00:00:06.140]  活出使命的人生
[00:00:06.140 --> 00:00:12.540]  我們這幾個月是特別透過舊約的尼希米來看使命的人生
[00:00:12.540 --> 00:00:18.940]  所以我們今天所讀的那段聖經就是我們研究的重點
[00:00:18.940 --> 00:00:21.240]  希望我們每一個頂字都打開聖經
[00:00:21.240 --> 00:00:24.840]  舊約的尼希米記的第二章
[00:00:25.340 --> 00:00:30.460]  尼希米記第二章在我們唐用聖經695頁
[00:00:30.460 --> 00:00:32.520]  695頁
[00:00:32.520 --> 00:00:35.080]  尼希米記的第二章
[00:00:35.080 --> 00:00:39.940]  我們看看尼希米一個怎樣的使命的人生
[00:00:39.940 --> 00:00:44.280]  什麼叫做使命的人生
[00:00:44.280 --> 00:00:47.880]  使命的人生
[00:00:47.880 --> 00:00:50.680]  在我們的信仰裏面就是
[00:00:50.680 --> 00:00:51.720]  第一
[00:00:51.720 --> 00:00:54.280]  他是為了神的生命
[00:00:55.040 --> 00:00:55.800]  他有神
[00:00:55.800 --> 00:00:58.880]  的生命成為他的方向
[00:00:58.880 --> 00:01:01.440]  而且這個生命
[00:01:01.440 --> 00:01:05.020]  是有一種的很明確的方向
[00:01:05.020 --> 00:01:09.120]  甚至因為這種的使命神給他的使命
[00:01:09.120 --> 00:01:11.940]  他有一個生命的轉向
[00:01:11.940 --> 00:01:16.540]  我知道我這樣講的時候頂字會心裏面就說我又不是
[00:01:16.540 --> 00:01:18.080]  想做宣教士
[00:01:18.080 --> 00:01:20.120]  我又不是想去讀神學
[00:01:20.120 --> 00:01:21.400]  做傳道人
[00:01:21.400 --> 00:01:23.720]  我不一定有使命
[00:01:23.720 --> 00:01:25.000]  的人生
[00:01:25.460 --> 00:01:27.260]  如果你這樣講的時候你就錯了
[00:01:27.260 --> 00:01:32.880]  今天我要講兩個我的信念這個信念不是我想出來的
[00:01:32.880 --> 00:01:34.940]  在聖經裏面所看到的信念
[00:01:34.940 --> 00:01:36.980]  還有送給大家
[00:01:36.980 --> 00:01:42.100]  尼希米記裏面我認為很寶貴的兩節金句
[00:01:42.100 --> 00:01:45.940]  兩個信念我先告訴你,我會慢慢再解釋
[00:01:45.940 --> 00:01:48.240]  兩個信念就是第一
[00:01:48.240 --> 00:01:53.360]  我不相信沒有基督徒
[00:01:53.880 --> 00:01:56.940]  有基督徒是說他是沒有恩賜的
[00:01:56.940 --> 00:01:59.000]  第二
[00:01:59.000 --> 00:02:01.300]  我不相信有基督徒說
[00:02:01.300 --> 00:02:02.580]  他是沒有
[00:02:02.580 --> 00:02:04.120]  呼召和使命
[00:02:04.120 --> 00:02:06.420]  每一個基督徒都有
[00:02:06.420 --> 00:02:10.520]  那你說我不是我自己都
[00:02:10.520 --> 00:02:15.900]  來一星期課的,或者有些頂字會說我剛剛才受針的
[00:02:15.900 --> 00:02:20.000]  我不是要說你現在立刻知道
[00:02:20.500 --> 00:02:25.360]  在你的生命裏面神做每一個人尤其是請救每一個人的時候
[00:02:25.360 --> 00:02:27.160]  一定有恩賜給他
[00:02:27.160 --> 00:02:29.720]  一定有使命和呼召給他
[00:02:29.720 --> 00:02:31.760]  我會再解釋
[00:02:31.760 --> 00:02:35.080]  今天我們看尼希米就是這個人
[00:02:35.080 --> 00:02:39.700]  這個月初的時候大家已經開始看了第一張第二張
[00:02:39.700 --> 00:02:42.260]  都會認識尼希米這個人
[00:02:42.260 --> 00:02:44.560]  其實尼希米這個人
[00:02:44.560 --> 00:02:46.360]  他都不是
[00:02:47.120 --> 00:02:53.260]  好像其他回歸的領袖是神職人員來的,他都不是,他只是做酒政
[00:02:53.260 --> 00:02:56.080]  酒政就是在皇帝
[00:02:56.080 --> 00:03:01.200]  身邊幫他侵走,你不要以為這件事很小事,這是很重要的官職
[00:03:01.200 --> 00:03:05.560]  但你知道古代皇帝最重要的不是喜歡飲食那麼簡單
[00:03:05.560 --> 00:03:08.120]  就是誰給他食物可以毒死他
[00:03:08.120 --> 00:03:14.000]  所以是很重要,最信得過的人就像我們中國的太監
[00:03:14.260 --> 00:03:18.100]  他在他身邊,在他身邊時常就可以跟他聊天
[00:03:18.100 --> 00:03:19.880]  最有權就是那些人
[00:03:19.880 --> 00:03:25.780]  然後尼希米他去到耶路撒冷的時候做市長
