
[00:00:00.000 --> 00:00:05.000]  信心比硬件重要
[00:00:05.000 --> 00:00:07.000]  最後我會作一個總結
[00:00:07.000 --> 00:00:13.000]  中文詞信心可以用在不同意義上
[00:00:13.000 --> 00:00:17.000]  例如一個運動員經歷過很多艱苦訓練
[00:00:17.000 --> 00:00:20.000]  他會有信心在比賽上有很好的成績
[00:00:20.000 --> 00:00:24.000]  這種信心是個人對自己掌握事物的把握
[00:00:24.000 --> 00:00:26.000]  或者對個人的自信
[00:00:26.000 --> 00:00:30.000]  今天我講這個信心與這個沒有關係
[00:00:30.000 --> 00:00:33.000]  所以我要收窄我講信心的範圍
[00:00:33.000 --> 00:00:38.000]  大家就不會誤解了聖經裏面講信心的意思
[00:00:38.000 --> 00:00:45.000]  今天我講在聖經裏面解釋信心這個詞是有個對象的
[00:00:45.000 --> 00:00:50.000]  對象就是上帝和上帝的說話和啟示
[00:00:50.000 --> 00:00:55.000]  當然如果一去到我信有上帝的時候
[00:00:55.000 --> 00:00:58.000]  首先要包括上帝的存在
[00:00:58.000 --> 00:01:00.000]  而信心的特色有三樣
[00:01:00.000 --> 00:01:05.000]  第一是理性,我們有限的理性是可以明白的
[00:01:05.000 --> 00:01:11.000]  但有部份我們理性的範圍以內是明白不到的
[00:01:11.000 --> 00:01:14.000]  我們就要去到超理性,即超過理性的範圍
[00:01:14.000 --> 00:01:17.000]  包括有信任和倚靠
[00:01:17.000 --> 00:01:23.000]  第三個信心的特性就是會有行動
[00:01:23.000 --> 00:01:25.000]  即是Faith in Action
[00:01:25.000 --> 00:01:29.000]  這個就是我今天會講的信心的範圍
[00:01:29.000 --> 00:01:35.000]  我上個講座曾經用過這張圖去解釋一個知識論
[00:01:35.000 --> 00:01:40.000]  今天如果大家聽過的都不要介意我再重覆講一講
[00:01:40.000 --> 00:01:43.000]  因為這個概念是很重要的
[00:01:43.000 --> 00:01:47.000]  這張相是我和以前的狗一起拍的
[00:01:47.000 --> 00:01:52.000]  我和這隻狗上了狗隻的訓練學校拿了證書
[00:01:52.000 --> 00:01:54.000]  但無論我的狗有多聰明
[00:01:54.000 --> 00:01:56.000]  有些東西我不會教他
[00:01:56.000 --> 00:02:00.000]  例如我做研究,我聽音樂,我讀書,我看報紙
[00:02:00.000 --> 00:02:04.000]  我不會和我的狗解釋,因為他的智慧是有限的
[00:02:04.000 --> 00:02:10.000]  同一樣,上帝做人是給人有最高的智慧
[00:02:10.000 --> 00:02:12.000]  但人的智慧無論多高都好
[00:02:12.000 --> 00:02:16.000]  我們永遠都達不到上帝的範圍
[00:02:16.000 --> 00:02:19.000]  因為上帝就是智慧的傳言,他是最高的智慧
[00:02:19.000 --> 00:02:24.000]  每逢智慧由最高的一層向下去教導
[00:02:24.000 --> 00:02:26.000]  下一層我們叫做啟示
[00:02:26.000 --> 00:02:31.000]  例如我的狗作為一隻動物,他不懂得
[00:02:31.000 --> 00:02:34.000]  例如他看到食物就會想吃
[00:02:34.000 --> 00:02:37.000]  我用高一層的智慧可以教導到他
[00:02:37.000 --> 00:02:40.000]  就是桌上的東西他不懂得,掉在地上他才懂得
[00:02:40.000 --> 00:02:46.000]  最近的例子就是我們看奧運比賽的馬術表演
[00:02:46.000 --> 00:02:53.000]  馬本身不懂得跳舞,是高一層的智慧,人類教導他才懂得
[00:02:53.000 --> 00:02:59.000]  這一部分我們說超過他的智慧以外的,就是超智慧或超理性的部分
[00:02:59.000 --> 00:03:03.000]  同一樣,我用一個很簡單的圖表去解釋
[00:03:03.000 --> 00:03:07.000]  人的理性和上帝的智慧的關係
[00:03:07.000 --> 00:03:11.000]  如果上帝是智慧的傳言,是無限的智慧
[00:03:11.000 --> 00:03:16.000]  人的智慧是很小的,我們的智慧是有限的
[00:03:16.000 --> 00:03:21.000]  如果上帝要高一層的智慧向人啟示
[00:03:21.000 --> 00:03:25.000]  我們要超過我們人的理性範圍,就是這個部分
[00:03:25.000 --> 00:03:27.000]  去接受上帝的啟示
[00:03:27.000 --> 00:03:33.000]  所以啟示就是由高一層智慧向下一層智慧傳達的訊息
[00:03:33.000 --> 00:03:38.000]  所以這部分就是上帝可以給我們啟示
[00:03:38.000 --> 00:03:42.000]  但就算我們有上帝啟示也好,我們也不會完全明白上帝
[00:03:42.000 --> 00:03:44.000]  因為上帝是至高智慧的傳言
[00:03:44.000 --> 00:03:48.000]  這是一個很重要的基本概念
[00:03:48.000 --> 00:03:55.000]  我很有幸,以前曾經聽過唐崇明牧師講一篇道理,是很精彩的
[00:03:55.000 --> 00:04:02.000]  他提到上帝創造人的理性,即是無限智慧的上帝創造了人的理性
[00:04:02.000 --> 00:04:08.000]  但人的理性是不可以創造上帝的,人的理性只可以創造假神或偶像
[00:04:08.000 --> 00:04:12.000]  我用兩個例子解釋這個意思
[00:04:12.000 --> 00:04:19.000]  在古時摩西帶以色列人出埃及的時候,去到曠野
[00:04:19.000 --> 00:04:26.000]  後來神叫摩西上西乃山接受十誡,但去了很多天都不下來
[00:04:26.000 --> 00:04:33.000]  以色列人就叫阿倫大祭司為他們造一隻金牛
[00:04:33.000 --> 00:04:38.000]  這隻金牛是他們心目中的耶和華,不是其他神
[00:04:38.000 --> 00:04:42.000]  是他們心目中帶他們出埃及的神
[00:04:42.000 --> 00:04:44.000]  為何要造一隻金牛呢?
[00:04:44.000 --> 00:04:52.000]  因為這隻金牛是他們理性上可以明白得到,可以創造得到的上帝
[00:04:52.000 --> 00:04:59.000]  原來人很有傾向用人有限的理智去創造一個上帝的形象
[00:04:59.000 --> 00:05:02.000]  是他們可以了解掌握到的形象
[00:05:02.000 --> 00:05:08.000]  在舊約中我們可以看到,以色列人曾經造這隻金牛令到神很憤怒
