
[00:00:00.000 --> 00:00:04.220]  各位大兄姐妹妹平安
[00:00:04.220 --> 00:00:07.940]  我们来到从创造到新创造的第31讲
[00:00:07.940 --> 00:00:12.340]  题目是耶稣的受苦和复活
[00:00:12.340 --> 00:00:15.660]  耶稣的复活对每一个信徒来说
[00:00:15.660 --> 00:00:18.900]  都肯定有着很重大的意义
[00:00:18.900 --> 00:00:22.220]  当我这次去预备这篇讲章的时候
[00:00:22.220 --> 00:00:26.380]  我看到原来门徒当时他讲起
[00:00:26.380 --> 00:00:29.300]  他想起耶稣的复活
[00:00:29.300 --> 00:00:33.540]  哇!原来他们立刻有着很大的反省
[00:00:33.540 --> 00:00:35.060]  究竟在哪里看到呢?
[00:00:35.060 --> 00:00:36.820]  原来在一项二章里面
[00:00:36.820 --> 00:00:40.260]  我们看到门徒的一些反思
[00:00:40.260 --> 00:00:43.260]  如果你还记得耶稣有一次
[00:00:43.260 --> 00:00:44.780]  当他去到圣殿的时候
[00:00:44.780 --> 00:00:49.380]  他看到圣殿里面的人将圣殿搞得乌烟瘴气
[00:00:49.380 --> 00:00:50.460]  耶稣很生气
[00:00:50.460 --> 00:00:53.180]  然后和那群人有一些对话
[00:00:53.180 --> 00:00:54.980]  在二章十九节
[00:00:54.980 --> 00:00:56.940]  耶稣回答他们说
[00:00:56.940 --> 00:00:59.820]  你们拆毁这殿
[00:00:59.820 --> 00:01:03.540]  我三天内要把它重建
[00:01:03.540 --> 00:01:06.420]  圣经记载那些犹太人说
[00:01:06.420 --> 00:01:09.540]  这个殿我们做了四十六年
[00:01:09.540 --> 00:01:13.900]  你三天内就能够重建?
[00:01:13.900 --> 00:01:15.420]  二十一节那里
[00:01:15.420 --> 00:01:17.460]  耶稣所说的殿
[00:01:17.460 --> 00:01:21.420]  其实是指着他的身体
[00:01:21.420 --> 00:01:25.060]  当圣经记载到这里的时候
[00:01:25.060 --> 00:01:28.820]  讲到门徒有些反思
[00:01:28.820 --> 00:01:30.500]  由22节
[00:01:30.500 --> 00:01:35.380]  所以他从死人中复活以后
[00:01:35.380 --> 00:01:39.580]  门徒想起他曾说过这事
[00:01:39.580 --> 00:01:45.020]  就信了圣经和耶稣所说的话
[00:01:45.020 --> 00:01:46.620]  原来这里就是说
[00:01:46.620 --> 00:01:48.340]  当复活之后
[00:01:48.340 --> 00:01:52.500]  门徒一下子想起很多关于圣经
[00:01:52.500 --> 00:01:54.740]  我相信是耶稣的事情
[00:01:54.740 --> 00:01:57.780]  还有他想起了耶稣这几年
[00:01:57.780 --> 00:02:01.660]  和他们说过的不同的话
[00:02:01.660 --> 00:02:05.580]  特别是在圣殿和那群人对话
[00:02:05.580 --> 00:02:07.180]  说了这句话
[00:02:07.180 --> 00:02:09.020]  耶稣回答他们说
[00:02:09.020 --> 00:02:11.540]  你们拆毁这殿
[00:02:11.540 --> 00:02:14.340]  我三天内要重建
[00:02:14.340 --> 00:02:16.220]  在这里我们已经看到
[00:02:16.220 --> 00:02:22.020]  耶稣说到关于受苦和关于复活
[00:02:22.020 --> 00:02:26.500]  受苦就是说到拆毁这殿
