
[00:00:00.000 --> 00:00:08.000]  我們歡喜發樂,回到上帝的家裡敬拜主。
[00:00:08.000 --> 00:00:18.000]  各位早晨,感謝主讓我們有生命氣息,有精神力量來侍奉祂。
[00:00:18.000 --> 00:00:28.000]  我剛剛在網上在中國教完有兩個禮拜的密集課程,教了兩科,都是神學碩士的科。
[00:00:28.000 --> 00:00:37.000]  這一班都是中國教會裡面儲備的神學教育工作者,未來在受院裡面的教授。
[00:00:37.000 --> 00:00:52.000]  他們提到現在在中國面對很嚴峻的考驗,各種不同的管控壓力,我們說上有政策下有對策。
[00:00:52.000 --> 00:01:03.000]  現在聚會他們要在早上六點鐘起床,其他人還在沉睡的時候,他們星期天六點鐘起床來敬拜。
[00:01:03.000 --> 00:01:16.000]  我們說到在海外的信徒,我們面對另外一些的挑戰,這些挑戰都是有些在外面壓下來,有些在裡面所產生出來的。
[00:01:16.000 --> 00:01:28.000]  我們雖然不是在這種高度管制的環境裡面,但是我們受到這種世俗主義的侵蝕。
[00:01:28.000 --> 00:01:42.000]  世俗主義是什麼呢?就是說不需要理會來生是怎麼樣的,天上的事情不要理會的,說實際的,說現實的,我們現在只顧著我們今生,這個叫世俗主義。
[00:01:42.000 --> 00:02:02.000]  使得我們在海外的信徒很多,結果不冷不熱,結果我們只是為了自己的事業,自己的一切來勞碌,至於福音天國的事情,我們就放在一邊,求主幫助我們。
[00:02:02.000 --> 00:02:19.000]  今天我們思想到以西傑書,我們這個月都是一起來思想以西傑書,我們進入它後半部,來思想37章,剛才大兄跟我們讀出來的經文。
[00:02:19.000 --> 00:02:39.000]  第37章的第一節一開始的時候,就給我們一個景象,當時耶和華的手,降在這位祭司,後來蒙召成為先知法御賢的這位以西傑的身上,
[00:02:39.000 --> 00:03:01.000]  將他帶到一個平原,在高處看下去,這個平原,骸骨一片,毛骨悚然,這種景象,這個景象是非常難受的,這個景象是很恐怖的。
[00:03:01.000 --> 00:03:23.000]  在這個平原四處都是骸骨悚然,骸骨一片,毛骨悚然,我們加拿大環球學院在柬埔寨有一個使命學院,訓練宣教士,
[00:03:23.000 --> 00:03:41.000]  特別是在中港那批宣教士,在宣教工場訓練,現在柬埔寨在新聞裡面成為一個熱點,很多關於人口的事情都出現在新聞裡面。
[00:03:41.000 --> 00:04:01.000]  好幾年前我和我的師母就去到柬埔寨,在現在柬埔寨學院的金邊的恩典堂,當時我們講完道,侍奉完之後,同工就帶我們去到一個叫做殺人場,
[00:04:01.000 --> 00:04:26.000]  這個叫S21的集中營,所改變的一個屠斯林屠殺博物館,這個是1975年所謂紅色高棉赤柬,當時只是執政三年八個月,所實行的恐怖的管治。
[00:04:26.000 --> 00:04:52.000]  全國在這三年八個月中間,有四分之一的人就是這樣被這個紅色高棉的大屠殺所消失,差不多有三百萬的人所謂非正常的死亡,我們進去那個地方,在那個殺人場經過,毛骨悚然。
[00:04:52.000 --> 00:05:10.000]  而且它有個紀念館,展示當時那些骷髏骨頭的景象,我們心裡真的很難過,看見人類的歷史裡面,因著人的罪性所產生出來的這些結果。
[00:05:10.000 --> 00:05:33.000]  這種的景象,使我們聯想到今天你和我,究竟我們自己的屬靈的光景是怎樣呢?究竟這個骷髏骨頭的異象和你和我有什麼關係呢?我們要問一下自己,我們和神的關係是怎樣?我們今天的屬靈的情況是怎樣?
