
[00:00:00.000 --> 00:00:07.360]  感謝主的恩典 今天有歸家的感覺
[00:00:07.360 --> 00:00:09.800]  這個都是我的娘家
[00:00:09.800 --> 00:00:14.200]  今天是中樹節 預備我們主耶穌基督
[00:00:14.200 --> 00:00:18.480]  進入耶路撒冷 接著釘十字架
[00:00:18.480 --> 00:00:22.320]  接著復活這一段叫做中樹節
[00:00:22.320 --> 00:00:24.700]  我記得當時陳耀基牧師
[00:00:24.700 --> 00:00:29.360]  我是在多倫多環宣道會成長的 在那邊受洗
[00:00:29.360 --> 00:00:34.160]  陳牧師很喜歡唱一首歌
[00:00:34.160 --> 00:00:37.480]  這首歌當時是唐紹明牧師
[00:00:37.480 --> 00:00:41.080]  有一次來領會的時候他作的
[00:00:41.080 --> 00:00:43.860]  他叫做《我願做個驢驅子》
[00:00:43.860 --> 00:00:46.020]  大家有些人都記得的
[00:00:46.020 --> 00:00:49.000]  我願做一個驢驅子
[00:00:49.000 --> 00:00:52.080]  真正來將耶穌基督承載起來
[00:00:52.080 --> 00:00:55.320]  然後讓他在群眾那裡
[00:00:55.320 --> 00:00:59.480]  寬容唱著和珊娜進入耶路撒冷城
[00:00:59.480 --> 00:01:02.120]  得著他一切的當德的榮耀
[00:01:02.120 --> 00:01:05.320]  我們都是一個驢子
[00:01:05.320 --> 00:01:10.040]  一隻驢子大都可以給主使用的
[00:01:10.040 --> 00:01:14.640]  我們今天來思想主怎麼使用
[00:01:14.640 --> 00:01:18.400]  使用城北的環宣道會
[00:01:18.400 --> 00:01:20.400]  使用我們每個人
[00:01:20.400 --> 00:01:22.640]  每個人都有不同的恩賜
[00:01:22.640 --> 00:01:26.120]  如果我們看回前人的話
[00:01:26.120 --> 00:01:28.120]  比如陳耀基牧師
[00:01:28.120 --> 00:01:32.640]  他的恩賜就是很有愛心
[00:01:32.640 --> 00:01:35.140]  來牧養當時一幫學生
[00:01:35.140 --> 00:01:38.840]  而他其它方面不一定說是他強項
[00:01:38.840 --> 00:01:43.720]  但是他牧養的心、愛心、付出
[00:01:43.720 --> 00:01:48.720]  這個恩賜就是將一個教會建立起來
[00:01:48.720 --> 00:01:52.920]  今天你和我都是有不同的性格
[00:01:52.920 --> 00:01:54.280]  不同的恩賜
[00:01:54.280 --> 00:01:58.120]  一隻驢子也好、一隻駿馬也好
[00:01:58.120 --> 00:02:00.520]  一隻烏龜也好
[00:02:00.520 --> 00:02:03.880]  當然我們不同的人有不同的個性
[00:02:03.880 --> 00:02:05.880]  不同的恩賜 有些快有些慢
[00:02:05.880 --> 00:02:08.240]  但是我們都是在主的手中
[00:02:08.240 --> 00:02:13.680]  可以給他使用來建造他的教會
[00:02:13.680 --> 00:02:18.160]  宣道會真正的意思
[00:02:18.160 --> 00:02:21.440]  我們古文詩是宣道、宣教
[00:02:21.440 --> 00:02:23.440]  宣就是宣教
[00:02:23.440 --> 00:02:26.960]  就是完成耶穌基督給我們的大使命
[00:02:26.960 --> 00:02:29.200]  將祂的福音遍傳天下
[00:02:29.200 --> 00:02:31.200]  去宣講祂的福音
[00:02:31.200 --> 00:02:33.200]  道當然是報道
[00:02:33.200 --> 00:02:35.200]  將神的道傳開
[00:02:35.200 --> 00:02:40.640]  剛才Francis弟兄提到
[00:02:40.640 --> 00:02:42.640]  神的道在我們中間
[00:02:42.640 --> 00:02:44.640]  活在我們的生活裡面
[00:02:44.640 --> 00:02:46.640]  透過我們來傳開
[00:02:46.640 --> 00:02:48.640]  同樣建立教會
[00:02:48.640 --> 00:02:51.520]  宣道會的會就是建立教會
[00:02:51.520 --> 00:02:55.040]  就是要我們進行門徒訓練
[00:02:55.040 --> 00:02:57.040]  進行領袖的培訓
[00:02:57.040 --> 00:03:01.560]  比如你們看你們這幾個標語寫得非常好
[00:03:01.560 --> 00:03:03.560]  或者我們一起讀一讀
[00:03:03.560 --> 00:03:05.920]  我不知道你有沒有機會讀一下
[00:03:05.920 --> 00:03:08.760]  我們先讀中文 繼續讀英文
[00:03:08.760 --> 00:03:10.040]  一起讀一下
[00:03:10.040 --> 00:03:12.640]  高校教會治理
[00:03:12.640 --> 00:03:15.520]  Effective Church Governance
[00:03:15.520 --> 00:03:18.360]  聲任教務團隊
[00:03:18.360 --> 00:03:21.360]  Competent Pastoral Team
[00:03:21.360 --> 00:03:24.200]  銳意門徒訓練
[00:03:24.200 --> 00:03:27.360]  Intentional Disciple Making
[00:03:27.360 --> 00:03:30.880]  識切先經講道
[00:03:30.880 --> 00:03:33.760]  Relevant Expository Preaching
[00:03:33.760 --> 00:03:36.760]  盡屬靈生命
[00:03:36.760 --> 00:03:39.480]  Deeper Spiritual Life
[00:03:39.480 --> 00:03:42.680]  興起領袖傳承
[00:03:42.680 --> 00:03:45.880]  Emergent Leadership Succession
[00:03:45.880 --> 00:03:48.600]  持續家庭更新
[00:03:48.600 --> 00:03:51.480]  Continuing Family Renewal
[00:03:51.480 --> 00:03:54.280]  社區關係建立
[00:03:54.280 --> 00:03:57.720]  Community Relationship Building
[00:03:57.720 --> 00:04:00.440]  勇敢普世宣教
[00:04:00.440 --> 00:04:03.080]  Courageous Global Mission
[00:04:03.080 --> 00:04:05.080]  這班長老教會同工
[00:04:05.080 --> 00:04:08.840]  他們在神的帶領 聖靈的啟迪底下
[00:04:08.840 --> 00:04:12.560]  將那些二、四、六、八、九樣東西
[00:04:12.560 --> 00:04:16.720]  九個聖靈的果子放在我們前面
[00:04:16.720 --> 00:04:21.080]  我們成為整個教會建造的目標
[00:04:21.080 --> 00:04:24.800]  所以我們特別提到銳意門徒訓練
[00:04:24.800 --> 00:04:28.160]  又提到興起領袖傳承
[00:04:28.160 --> 00:04:30.240]  這些都是一個好的目標
[00:04:30.240 --> 00:04:32.720]  希望我們教會能夠是
[00:04:32.720 --> 00:04:35.880]  我們做主的信徒也是門徒
[00:04:35.880 --> 00:04:40.840]  也是同工來侍奉 甚至興起更多的領袖
[00:04:40.840 --> 00:04:44.240]  所以我們今天先在大使命那裡
[00:04:44.240 --> 00:04:46.880]  我們來思想一下
[00:04:46.880 --> 00:04:50.560]  思想一下主耶穌給我們的大使命
[00:04:50.560 --> 00:04:54.800]  和教會的建立 教會的增長兩方面
[00:04:54.800 --> 00:04:57.840]  我們一起來思想這個題目
[00:04:57.840 --> 00:05:00.800]  就是說我們讀出來這一段經文
