
[00:00:00.000 --> 00:00:05.400]  各位大影姐妹各位朋友你們好
[00:00:05.400 --> 00:00:08.200]  歡迎大家參加我們三藩市播道會
[00:00:08.200 --> 00:00:10.200]  網上的五堂崇拜
[00:00:10.200 --> 00:00:14.200]  我們今天繼續思想大衛生平的訊息
[00:00:14.200 --> 00:00:16.200]  我們去到第五講
[00:00:16.200 --> 00:00:18.200]  神啊你想怎樣
[00:00:18.200 --> 00:00:23.000]  經文是撒姆爾記上19章11至18節
[00:00:23.000 --> 00:00:26.400]  20章3節和42節
[00:00:26.400 --> 00:00:29.400]  21章10節至15節
[00:00:29.400 --> 00:00:33.400]  在開始思想這幾段聖經之前
[00:00:33.400 --> 00:00:35.400]  請你同心低頭 或者同禱告
[00:00:35.400 --> 00:00:38.400]  天父我們感謝你
[00:00:38.400 --> 00:00:41.400]  很多時候在人生當中
[00:00:41.400 --> 00:00:43.400]  有很多苦難
[00:00:43.400 --> 00:00:47.400]  有很多自己都不明白的
[00:00:47.400 --> 00:00:49.400]  很不如意的事情
[00:00:49.400 --> 00:00:51.400]  臨到我們當中
[00:00:51.400 --> 00:00:54.400]  我們會問神啊你去了哪裡
[00:00:54.400 --> 00:00:57.400]  求你堅固我們的信心
[00:00:57.400 --> 00:01:01.400]  知道神造萬物 各按其時成為美好
[00:01:01.400 --> 00:01:05.400]  在你的時間表裏面都是最好的
[00:01:05.400 --> 00:01:08.400]  讓我們有信心去依賴你
[00:01:08.400 --> 00:01:12.400]  我們這樣祈禱那是奉耶穌基督的名堂
[00:01:12.400 --> 00:01:14.400]  阿們
[00:01:14.400 --> 00:01:16.400]  在1973年
[00:01:16.400 --> 00:01:19.400]  當時颶風襲港
[00:01:19.400 --> 00:01:21.400]  帶來傾盆大雨
[00:01:21.400 --> 00:01:23.400]  導致山泥傾瀉
[00:01:23.400 --> 00:01:25.400]  在報紙裏面
[00:01:25.400 --> 00:01:28.400]  我看到一個非常辛酸的故事
[00:01:28.400 --> 00:01:32.400]  有一個在美國留學的香港學生
[00:01:32.400 --> 00:01:34.400]  暑假的時候
[00:01:34.400 --> 00:01:37.400]  從美國回到香港度假
