
[00:00:00.000 --> 00:00:02.000]  各位會員好 早安
[00:00:02.000 --> 00:00:04.000]  後面聽到嗎?聽到嗎?好
[00:00:04.000 --> 00:00:08.000]  我想我第一次來講的時候已經是好像25年前
[00:00:08.000 --> 00:00:14.000]  梁牧師時常說冥恩堂25週年經常想起我
[00:00:14.000 --> 00:00:16.000]  不知不覺都很多日子
[00:00:16.000 --> 00:00:20.000]  我想那時候聽的人很年輕的樣子
[00:00:20.000 --> 00:00:22.000]  現在你們都很年輕
[00:00:22.000 --> 00:00:24.000]  今天我想了很久
[00:00:24.000 --> 00:00:26.000]  我現在想了很久
[00:00:26.000 --> 00:00:30.000]  今天我想了很久題目的名字
[00:00:30.000 --> 00:00:36.000]  終於我有個好朋友幫我成功想到這個題目的名字
[00:00:36.000 --> 00:00:38.000]  為什麼呢?
[00:00:38.000 --> 00:00:40.000]  因為我交題目給冥恩堂的時候
[00:00:40.000 --> 00:00:42.000]  就是我這個好朋友
[00:00:42.000 --> 00:00:46.000]  他剛剛知道自己患了癌症
[00:00:46.000 --> 00:00:50.000]  他要盡快做手術
[00:00:50.000 --> 00:00:54.000]  我想起他渴望什麼呢?
[00:00:54.000 --> 00:00:57.000]  想起今天來 明天就年初一
[00:00:57.000 --> 00:00:59.000]  不如想個題目名字
[00:00:59.000 --> 00:01:02.000]  叫做給我好日子
[00:01:02.000 --> 00:01:04.000]  其實我漏了一個字
[00:01:04.000 --> 00:01:06.000]  不交出來的
[00:01:06.000 --> 00:01:09.000]  就是漏了前面第一個字
[00:01:09.000 --> 00:01:11.000]  是誰呢?
[00:01:11.000 --> 00:01:13.000]  是誰給你好日子呢?
[00:01:13.000 --> 00:01:16.000]  我這個好朋友是一個基督徒
[00:01:16.000 --> 00:01:21.000]  他知道自己要做很大的手術
[00:01:21.000 --> 00:01:24.000]  在前個五天
[00:01:24.000 --> 00:01:26.000]  就是這個星期一
[00:01:26.000 --> 00:01:29.000]  他就叫我幫他一個忙
[00:01:29.000 --> 00:01:31.000]  幫他祈禱
[00:01:31.000 --> 00:01:34.000]  他想找一個病床
[00:01:34.000 --> 00:01:37.000]  但是那個醫院是滿了
[00:01:37.000 --> 00:01:39.000]  沒有病床
[00:01:39.000 --> 00:01:41.000]  後來呢
[00:01:41.000 --> 00:01:43.000]  醫生就說還有可能的
[00:01:43.000 --> 00:01:47.000]  就是大房
[00:01:47.000 --> 00:01:51.000]  但是他的癌症似乎不太適合
[00:01:51.000 --> 00:01:53.000]  做完手術
[00:01:53.000 --> 00:01:56.000]  是很容易感染
[00:01:56.000 --> 00:01:58.000]  所以他就求我
[00:01:58.000 --> 00:02:01.000]  你有沒有辦法找到人
[00:02:01.000 --> 00:02:03.000]  幫我找到一個
[00:02:03.000 --> 00:02:05.000]  起碼是雙人房 私家房
[00:02:05.000 --> 00:02:08.000]  因為他很怕洗手間
[00:02:08.000 --> 00:02:10.000]  多人的病房
[00:02:10.000 --> 00:02:13.000]  隨時很多不同的人都用
[00:02:13.000 --> 00:02:15.000]  他很擔心
[00:02:15.000 --> 00:02:19.000]  我就將剛才這段聖經
[00:02:19.000 --> 00:02:22.000]  就電郵給他
[00:02:22.000 --> 00:02:24.000]  第三節說
[00:02:24.000 --> 00:02:28.000]  他們不知道是我醫治他
[00:02:28.000 --> 00:02:31.000]  我說如果是基督徒
[00:02:31.000 --> 00:02:34.000]  你應該知道醫你的那個是誰
[00:02:34.000 --> 00:02:37.000]  醫你的那個不是真的
[00:02:37.000 --> 00:02:39.000]  做手術的那個醫生
[00:02:39.000 --> 00:02:41.000]  醫你的那個
[00:02:41.000 --> 00:02:43.000]  醫你好的那個
[00:02:43.000 --> 00:02:45.000]  是上帝
[00:02:45.000 --> 00:02:47.000]  他看完之後
[00:02:47.000 --> 00:02:50.000]  睡了一晚 打電話給我
[00:02:50.000 --> 00:02:52.000]  不要緊了
[00:02:52.000 --> 00:02:54.000]  大房都睡
[00:02:54.000 --> 00:02:58.000]  因為如果醫好我的那個是上帝
[00:02:58.000 --> 00:03:00.000]  我就不怕我
[00:03:00.000 --> 00:03:03.000]  洗手間怎麼髒
[00:03:03.000 --> 00:03:07.000]  怎麼感染都感染不到我的
[00:03:07.000 --> 00:03:10.000]  後來跟著他講完之後
[00:03:10.000 --> 00:03:12.000]  我有個朋友打電話給我
[00:03:12.000 --> 00:03:15.000]  我已經幫他找了一個單人房
[00:03:15.000 --> 00:03:16.000]  他很開心
[00:03:16.000 --> 00:03:19.000]  但他這個開心不是說
[00:03:19.000 --> 00:03:22.000]  單人房比大房好
[00:03:22.000 --> 00:03:24.000]  而是他開心的是
[00:03:24.000 --> 00:03:27.000]  他做了一晚睡得很熟
[00:03:27.000 --> 00:03:29.000]  他不會睡不著
[00:03:29.000 --> 00:03:32.000]  什麼房 甚至沒有房
[00:03:32.000 --> 00:03:35.000]  都不影響他睡不著
[00:03:35.000 --> 00:03:38.000]  因為他知道誰醫好他
[00:03:38.000 --> 00:03:41.000]  今天是一個很大的挑戰
[00:03:41.000 --> 00:03:43.000]  這三節聖經
[00:03:43.000 --> 00:03:45.000]  如果看荷西亞書的背景
[00:03:45.000 --> 00:03:48.000]  你越看越擔心
[00:03:48.000 --> 00:03:50.000]  推前一節第二節
[00:03:50.000 --> 00:03:55.000]  是講那些人做偶像
[00:03:55.000 --> 00:03:57.000]  那些人做什麼偶像
[00:03:57.000 --> 00:04:01.000]  是做一些金銀
[00:04:01.000 --> 00:04:04.000]  用來鑄一些金牛
[00:04:04.000 --> 00:04:06.000]  或者拜得到
[00:04:06.000 --> 00:04:10.000]  他認為是很矜貴的偶像
[00:04:10.000 --> 00:04:12.000]  那是什麼呢
[00:04:12.000 --> 00:04:14.000]  就是有錢的
[00:04:14.000 --> 00:04:16.000]  有錢才有金來做
[00:04:16.000 --> 00:04:19.000]  賺到錢的
[00:04:19.000 --> 00:04:21.000]  他不是窮
[00:04:21.000 --> 00:04:24.000]  他賺到錢之後
[00:04:24.000 --> 00:04:27.000]  他就找另一個神
[00:04:27.000 --> 00:04:29.000]  再做另一個神
[00:04:29.000 --> 00:04:31.000]  他自己去拜
