
[00:00:00.000 --> 00:00:08.000]  今天和大家一起在崇拜的經文,是承接上一個主日
[00:00:08.000 --> 00:00:13.960]  我們一起看到有關於耶穌基督受試探的經文
[00:00:13.960 --> 00:00:20.040]  是出自於馬太福音第四章第一至第十一節
[00:00:20.040 --> 00:00:25.800]  我給了一個題目叫信實的主話,今天是第二講
[00:00:25.800 --> 00:00:33.040]  很多時候有些大英似會談論到如果是做工作的當然要找一間大公司去做
[00:00:33.040 --> 00:00:39.600]  因為樹大可以遮風,比較穩固而且大公司福利也好
[00:00:39.600 --> 00:00:47.640]  這種思維有時候引致到我們的屬靈生命上同樣受到這個影響
[00:00:47.640 --> 00:00:53.720]  所以很多人通常信徒都很喜歡去一些很大型的教會裡面
[00:00:53.720 --> 00:00:59.720]  為什麼呢?因為他們覺得大教會當然好一點,資源多一點
[00:00:59.720 --> 00:01:04.800]  可以有好一點的靈性成長,他們是這樣去想的
[00:01:04.800 --> 00:01:12.560]  但是更加有一樣東西很吸引很多的信徒或者教徒去大教會的原因
[00:01:12.560 --> 00:01:20.080]  就是因為這些大的群體裡面往往會有一種很興奮
[00:01:20.080 --> 00:01:28.360]  很熱鬧,很能夠真的覺得自己有一種光榮的感覺的心態
[00:01:28.360 --> 00:01:34.240]  尤其是去到這些群體或者大型的教會裡面
[00:01:34.240 --> 00:01:42.520]  他們往往崇拜的時候用一大堆樂隊去做唱詩歌的伴奏
[00:01:42.520 --> 00:01:48.480]  或者他們的師班每次往往都上幾百人一起去歌頌
[00:01:48.480 --> 00:01:53.880]  這種思維其實廣泛流行在很多的國家裡面
[00:01:53.880 --> 00:02:01.480]  特別我們所看見的美國、加拿大或者甚至我們所認識的香港
[00:02:01.480 --> 00:02:08.720]  很多時候信徒都很喜歡在這種受到大眾、群眾的氣氛之下
[00:02:08.720 --> 00:02:14.480]  他們會覺得自己的靈性是特別的被到超旺
[00:02:14.480 --> 00:02:23.240]  甚至能夠有機會參與到這些大型的教會的其中一份侍奉的機會
[00:02:23.240 --> 00:02:26.040]  他們覺得是一份很大的光榮
[00:02:26.040 --> 00:02:31.560]  因為他們覺得能夠在這麼多人的面前去歌頌的時候
[00:02:31.560 --> 00:02:37.680]  就好像對上帝有更多的光榮、贊頌能夠送到上帝的面前
[00:02:37.680 --> 00:02:40.240]  不過是不是真的這樣呢
[00:02:40.240 --> 00:02:49.080]  今天我們會繼續看耶穌基督被試探或者聖靈帶耶穌基督進入試探的裡面
[00:02:49.080 --> 00:02:58.880]  要讓耶穌基督經歷一連串的測驗能夠顯明出耶穌基督本身原本神兒子的屬性
[00:02:58.880 --> 00:03:01.400]  這個是我們今天所去看的
[00:03:01.400 --> 00:03:04.560]  之前我們已經看了第一個回合
[00:03:04.560 --> 00:03:15.320]  說到耶穌基督被魔鬼或者那試探人的給他一個慫恿意見
[00:03:15.320 --> 00:03:17.520]  當耶穌餓到半死的時候
[00:03:17.520 --> 00:03:19.800]  經過四十週夜
[00:03:19.800 --> 00:03:22.200]  然後又餓的時候
[00:03:22.200 --> 00:03:25.520]  這位的試探人的就走來說
[00:03:25.520 --> 00:03:27.840]  如果你是神的兒子
[00:03:27.840 --> 00:03:32.880]  那你就可以吩咐將這些石頭變成食物了
[00:03:32.880 --> 00:03:37.960]  這個是從一個人的感受或者肉體上的需要
[00:03:37.960 --> 00:03:40.360]  來進行這個測試
[00:03:40.360 --> 00:03:41.880]  我們上文已經說過了
[00:03:41.880 --> 00:03:44.000]  耶穌基督在這個時候
[00:03:44.000 --> 00:03:48.000]  不因此自己肚餓而妥協
[00:03:48.000 --> 00:03:53.880]  反而他更加懂得去仍然把持著上帝的說話
[00:03:53.880 --> 00:03:55.080]  哪一段說話
[00:03:55.080 --> 00:04:00.360]  就是在這個《生命記》的第八章第三節裡面已經看過了
[00:04:00.360 --> 00:04:03.680]  耶穌基督說給他們表示出
[00:04:03.680 --> 00:04:08.800]  其實他絕對不會因自己在艱難的裡面而妥協
[00:04:08.800 --> 00:04:14.560]  因為這個艱難是上帝透過聖靈帶他們進入的
[00:04:14.560 --> 00:04:20.320]  他願意甘心在上帝為他所安排的艱難當中
[00:04:20.320 --> 00:04:23.440]  在上個主題我們也說過三個重點
[00:04:23.440 --> 00:04:25.280]  在這個試探裡面
[00:04:25.280 --> 00:04:27.000]  總共有三個特色
[00:04:27.000 --> 00:04:29.640]  第一個特色我們所看見的就是
[00:04:29.640 --> 00:04:33.360]  原來這段經文是直接的
[00:04:33.360 --> 00:04:38.840]  和這個創世紀是有直接的關聯
[00:04:38.840 --> 00:04:42.520]  特別是創世紀的第三章的經文當中
[00:04:42.520 --> 00:04:45.000]  我們可以清楚看見這段經文
[00:04:45.000 --> 00:04:48.080]  原來是直接與識物
[00:04:48.080 --> 00:04:53.920]  與試探人去挑戰上帝的說話的可靠性
