
[00:00:00.000 --> 00:00:08.000]  今天我會和大家一起看的經文是路德記的第四章
[00:00:08.000 --> 00:00:12.000]  也可以說是進入到路德記的戲肉的部分
[00:00:12.000 --> 00:00:15.000]  路德記的第四章第一至第四節
[00:00:15.000 --> 00:00:18.000]  如果大家有興趣的話可以一起打開這段經文
[00:00:18.000 --> 00:00:21.000]  我會先為大家讀出和合本的版本
[00:00:21.000 --> 00:00:27.000]  然後會再以NET New English Translation的版本和大家讀一次
[00:00:27.000 --> 00:00:32.000]  路德記的第四章第一至第四節
[00:00:32.000 --> 00:00:35.000]  波亞斯到了城門坐在那裡
[00:00:35.000 --> 00:00:40.000]  瞎考波亞斯所說的那至近的親屬經過
[00:00:40.000 --> 00:00:45.000]  波亞斯說:某人啊,你來坐在這裡,他就來坐下
[00:00:45.000 --> 00:00:49.000]  波亞斯又從本城的長老中間選了十人
[00:00:49.000 --> 00:00:54.000]  對他們說:請你們坐在這裡,他們就都坐下
[00:00:54.000 --> 00:00:57.000]  波亞斯對那至近的親屬說:
[00:00:57.000 --> 00:01:05.000]  從摩亞地回來的那俄米現在要買我們族兄伊利米勒的那塊地
[00:01:05.000 --> 00:01:12.000]  我想當屬那塊地的是你,其次是我,以外再沒有別的人了
[00:01:12.000 --> 00:01:17.000]  你可以在這裡的人面前和我本國的長老面前說明
[00:01:17.000 --> 00:01:21.000]  你若肯屬就屬,若不肯屬就告訴我
[00:01:21.000 --> 00:01:24.000]  那人回答說:我肯屬
[00:01:24.000 --> 00:01:31.000]  今天和大家一起思想的題目是:事與願違,如何算好呢?
[00:01:31.000 --> 00:01:35.000]  其實今天我們所看的經文是路德記的第四章
[00:01:35.000 --> 00:01:41.000]  只是看第一至第四節,其實第四章的第一至第十二節是一個整體
[00:01:41.000 --> 00:01:49.000]  我們會分為三個部分,也按照波亞斯的三輪申述去和大家逐部分去看
[00:01:49.000 --> 00:01:52.000]  不過在開始講到之前,我想問大家一條題目
[00:01:52.000 --> 00:01:57.000]  不知道你們有沒有經歷過曾經有一些事是事與願違的呢?
