
[00:00:00.000 --> 00:00:04.400]  各位靈性主的早安
[00:00:04.400 --> 00:00:08.000]  讓我們在靈性主的說話
[00:00:08.000 --> 00:00:10.400]  讓我們再次低頭
[00:00:10.400 --> 00:00:12.000]  求上帝的領悟
[00:00:12.000 --> 00:00:14.400]  讓我們明白祂的啟示
[00:00:14.400 --> 00:00:17.200]  親愛的父神多謝你
[00:00:17.200 --> 00:00:19.200]  讓我們眾弟兄姊妹
[00:00:19.200 --> 00:00:21.600]  再次來到你的庚前
[00:00:21.600 --> 00:00:27.200]  一同打開你先知僕人的禱告
[00:00:27.200 --> 00:00:37.200]  來探索我們在屬靈生命上應有的造就過程
[00:00:37.200 --> 00:00:43.200]  以及如何讓上帝直接介入到我們生命當中
[00:00:43.200 --> 00:00:51.200]  監察我們每一個人能夠在你裡面認罪悔改
[00:00:51.200 --> 00:00:53.200]  求你的幫助
[00:00:53.200 --> 00:00:59.200]  讓這段禱告與合今天的講道
[00:00:59.200 --> 00:01:07.200]  都能夠識明我們自己在上帝裡面的靈性光景
[00:01:07.200 --> 00:01:10.200]  從而讓我們能夠有力量
[00:01:10.200 --> 00:01:15.200]  有方向有基礎地活在這個地上
[00:01:15.200 --> 00:01:19.200]  成為一個不折不扣屬神的子民
[00:01:19.200 --> 00:01:21.200]  直奔到永恆的當中
[00:01:21.200 --> 00:01:25.200]  禱告奉靠主耶穌基督得勝名自求
[00:01:25.200 --> 00:01:27.200]  阿們
[00:01:27.200 --> 00:01:29.200]  在這裡有點簡介
[00:01:29.200 --> 00:01:33.200]  接下來有兩個主人會在大家當中
[00:01:33.200 --> 00:01:35.200]  希望大家弟兄姊妹留意
[00:01:35.200 --> 00:01:37.200]  下星期也是聖餐主日
[00:01:37.200 --> 00:01:43.200]  我們會請到史牧師來當中去正道
[00:01:43.200 --> 00:01:45.200]  請大家弟兄姊妹留意
[00:01:45.200 --> 00:01:47.200]  也要預備好我們的身心
[00:01:47.200 --> 00:01:49.200]  一起牽手主餐
[00:01:49.200 --> 00:01:52.200]  今天我們一起來看的經文是
[00:01:52.200 --> 00:01:58.200]  但以理書第九章第一至第十四節
[00:01:58.200 --> 00:02:05.200]  如果大家熟悉但以理書的經文內容的時候
[00:02:05.200 --> 00:02:07.200]  會發覺來到第九章
[00:02:07.200 --> 00:02:11.200]  好像突然之間有一個很大的改變
[00:02:11.200 --> 00:02:18.200]  從我們之前所看的第七章第八章的意象
[00:02:18.200 --> 00:02:22.200]  讓我們覺得很模糊
[00:02:22.200 --> 00:02:26.200]  也不知道發生什麼事的時候
[00:02:26.200 --> 00:02:29.200]  突然之間進入了一段土文
[00:02:29.200 --> 00:02:33.200]  在這段土文裡究竟想說什麼呢
[00:02:33.200 --> 00:02:37.200]  我相信其中一個最主要的原因就是
[00:02:37.200 --> 00:02:41.200]  透過先前一連串的意象
[00:02:41.200 --> 00:02:43.200]  已經告訴我們
[00:02:43.200 --> 00:02:49.200]  但以理會要面對的世界是一個混亂不堪的世界
[00:02:49.200 --> 00:02:56.200]  和今天我們所處的光景是不無兩樣的
[00:02:56.200 --> 00:02:58.200]  我經常都這樣說
[00:02:58.200 --> 00:03:00.200]  在我們加拿大
[00:03:00.200 --> 00:03:03.200]  我們這些國家領袖人士
[00:03:03.200 --> 00:03:06.200]  其實真的沒有智慧
[00:03:06.200 --> 00:03:09.200]  專門找事情來做
[00:03:09.200 --> 00:03:14.200]  現在加拿大經濟越來越差
[00:03:14.200 --> 00:03:16.200]  是一手造成的
[00:03:16.200 --> 00:03:20.200]  但大家不要以為經濟差
[00:03:20.200 --> 00:03:24.200]  但好像很多建設繼續在做
[00:03:24.200 --> 00:03:27.200]  其實這些建設所花的費用
[00:03:27.200 --> 00:03:29.200]  全部都是未來錢
[00:03:29.200 --> 00:03:32.200]  我們將來這個國家究竟會怎樣呢
[00:03:32.200 --> 00:03:35.200]  亂到什麼地步呢
[00:03:35.200 --> 00:03:40.200]  借多少錢在這個壁壘裡繼續打滾呢
[00:03:40.200 --> 00:03:43.200]  我就不知道我有多耐命去看
[00:03:43.200 --> 00:03:48.200]  但是在這樣的世界時局當中
[00:03:48.200 --> 00:03:51.200]  尤其我們作為基督徒
[00:03:51.200 --> 00:03:55.200]  我們究竟的焦點是怎樣去安放
[00:03:55.200 --> 00:03:58.200]  是一個很重要的課題
[00:03:58.200 --> 00:04:02.200]  是不是我們因此活在這個世界
[00:04:02.200 --> 00:04:06.200]  就好像很多基督徒所說的
[00:04:06.200 --> 00:04:10.200]  我們要去參與在這個世界裡
[00:04:10.200 --> 00:04:13.200]  希望將這個世界改變過來
[00:04:13.200 --> 00:04:17.200]  從聖經的啟示裡
[00:04:17.200 --> 00:04:20.200]  讓我們知道這個世界的混亂和墮落
[00:04:20.200 --> 00:04:23.200]  只會日益嚴重
[00:04:23.200 --> 00:04:26.200]  信徒是沒有辦法扭轉這個
[00:04:26.200 --> 00:04:29.200]  我們管都管不到的世界
[00:04:29.200 --> 00:04:32.200]  總之上帝是容許這個世界走向
[00:04:32.200 --> 00:04:36.200]  一個這麼腐爛而且還沒爛到底的情況
[00:04:36.200 --> 00:04:38.200]  而從聖經啟示當中
[00:04:38.200 --> 00:04:40.200]  我們知道上帝是容許這個世界
[00:04:40.200 --> 00:04:44.200]  一路走到最完全彰顯之後
[00:04:44.200 --> 00:04:47.200]  上帝就會將這個世界結束
[00:04:47.200 --> 00:04:53.200]  所以當我們去看回整個聖經的神學裡
[00:04:55.200 --> 00:04:59.200]  基督徒有一件事在這個世界
[00:04:59.200 --> 00:05:02.200]  雖然很多事物不到我們管
[00:05:02.200 --> 00:05:04.200]  也管不到
[00:05:04.200 --> 00:05:06.200]  但有一件事是我們可以做得到
[00:05:06.200 --> 00:05:10.200]  而應該將我們的焦點放在裡面
[00:05:10.200 --> 00:05:17.200]  就是怎樣在上帝的面前認清我們的角色
[00:05:17.200 --> 00:05:19.200]  和我們今天的光景
[00:05:19.200 --> 00:05:22.200]  而禱告就是我們今天基督徒
[00:05:22.200 --> 00:05:28.200]  經常需要去做的一個活動
[00:05:28.200 --> 00:05:31.200]  從當中與上帝交通
[00:05:31.200 --> 00:05:35.200]  使我們明白我們今天會在這個世界上
[00:05:35.200 --> 00:05:39.200]  所處的現況
[00:05:39.200 --> 00:05:42.200]  我們應該怎樣去面對
[00:05:42.200 --> 00:05:47.200]  所以今天我們看回這段經文第九章
[00:05:47.200 --> 00:05:50.200]  從第一節我們先看到第十四節
[00:05:50.200 --> 00:05:55.200]  但以你的禱告不是停在第十四節
[00:05:55.200 --> 00:05:58.200]  而是更長的
[00:05:58.200 --> 00:06:00.200]  不過我們先看第一部分
[00:06:00.200 --> 00:06:03.200]  在這個禱告裡
[00:06:03.200 --> 00:06:07.200]  他找出一個很重要的原因
[00:06:07.200 --> 00:06:10.200]  為何上帝放在這個年代裡
[00:06:10.200 --> 00:06:17.200]  就是找出當時神的子民出了什麼問題
[00:06:17.200 --> 00:06:20.200]  所以今天的講題我們將他定為
[00:06:20.200 --> 00:06:24.200]  到底我們出了什麼根本問題呢
[00:06:24.200 --> 00:06:29.200]  我們從這個作為我們的起點
[00:06:29.200 --> 00:06:31.200]  去看作為一個神的子民
[00:06:31.200 --> 00:06:34.200]  在這個世界上應該怎樣去面對
[00:06:34.200 --> 00:06:38.200]  讓我們再次回到這段經文當中
[00:06:38.200 --> 00:06:42.200]  我們打開但以你的禱告第九章一至十四節
[00:06:42.200 --> 00:06:44.200]  我們先讀一次
[00:06:44.200 --> 00:06:47.200]  因為裡面的內容
[00:06:47.200 --> 00:06:50.200]  你會覺得我也知道他講什麼
[00:06:50.200 --> 00:06:53.200]  但其實當你轉頭放下聖經
[00:06:53.200 --> 00:06:56.200]  我其實也不記得他想講什麼
[00:06:56.200 --> 00:06:58.200]  我們又看看他講什麼
[00:06:58.200 --> 00:07:02.200]  讀一下 經過自己的口和眼
[00:07:02.200 --> 00:07:08.200]  讀出來給自己的耳朵聽了三管齊下
[00:07:08.200 --> 00:07:10.200]  了解一下這段經文所講的內容
[00:07:10.200 --> 00:07:16.200]  我們一起打開但以你的禱告第九章一至十四節
[00:07:17.200 --> 00:07:22.200]  米底亞族阿哈徐魯的兒子大劉氏
[00:07:22.200 --> 00:07:26.200]  納為迦勒底國的王元年
[00:07:26.200 --> 00:07:30.200]  就是他在位第一年
[00:07:30.200 --> 00:07:35.200]  我但以你從書上得知耶和華的話
[00:07:35.200 --> 00:07:38.200]  臨到先知耶利米
[00:07:38.200 --> 00:07:42.200]  論耶路撒冷荒涼的年數
[00:07:42.200 --> 00:07:44.200]  七十年為滿
[00:07:44.200 --> 00:07:48.200]  我便今食希瑪蒙灰
[00:07:48.200 --> 00:07:52.200]  定以向主神祈禱懇求
[00:07:52.200 --> 00:07:58.200]  我向耶和華我的神祈禱認罪說
[00:07:58.200 --> 00:08:01.200]  主啊大而可畏的神
[00:08:01.200 --> 00:08:05.200]  向愛主守主誡命的人
[00:08:05.200 --> 00:08:08.200]  守約斯慈愛
[00:08:08.200 --> 00:08:11.200]  我們犯罪作孽
[00:08:11.200 --> 00:08:14.200]  行惡叛逆
[00:08:14.200 --> 00:08:17.200]  牽離你的誡命典章
[00:08:17.200 --> 00:08:21.200]  沒有聽從你僕人先知奉你名
[00:08:21.200 --> 00:08:30.200]  向我們君王首領列祖和國中一切百姓所說的話
[00:08:30.200 --> 00:08:33.200]  主啊你是公義的
[00:08:33.200 --> 00:08:36.200]  我們是念上蒙羞的
[00:08:36.200 --> 00:08:41.200]  因我們猶大人和耶路撒冷的居民
[00:08:41.200 --> 00:08:43.200]  並以色列眾人
[00:08:43.200 --> 00:08:47.200]  或在近處或在遠處
[00:08:47.200 --> 00:08:50.200]  被你趕到各國的人
[00:08:50.200 --> 00:08:52.200]  都得罪了你
[00:08:52.200 --> 00:08:54.200]  正如今天一樣
[00:08:54.200 --> 00:09:00.200]  主啊我們和我們的君王首領列祖
[00:09:00.200 --> 00:09:02.200]  因得罪了你
[00:09:02.200 --> 00:09:05.200]  都就都念上蒙羞
[00:09:05.200 --> 00:09:10.200]  主啊我們的神是憐憫饒恕人的
[00:09:10.200 --> 00:09:13.200]  我們卻違背了他
[00:09:13.200 --> 00:09:18.200]  也沒有聽從耶和華我們的神的話
[00:09:18.200 --> 00:09:22.200]  沒有遵行他藉僕人眾先知
[00:09:22.200 --> 00:09:25.200]  向我們所陳明的律法
[00:09:25.200 --> 00:09:29.200]  以色列眾人都犯了你的律法
[00:09:29.200 --> 00:09:32.200]  偏行不聽從你的話
[00:09:32.200 --> 00:09:39.200]  因此在你僕人摩西律法上所寫的咒詛和誓言
[00:09:39.200 --> 00:09:41.200]  都傾在我們身上
[00:09:41.200 --> 00:09:44.200]  因我們得罪了神
[00:09:44.200 --> 00:09:47.200]  他使大災禍臨到我們
[00:09:47.200 --> 00:09:53.200]  成就了警戒我們和審判我們官長的話
[00:09:53.200 --> 00:09:55.200]  原來在普天之下
[00:09:55.200 --> 00:10:00.200]  未曾行過像在耶路撒冷所行的
[00:10:00.200 --> 00:10:03.200]  這一切災禍臨到我們身上
[00:10:03.200 --> 00:10:07.200]  是照摩西律法上所寫的
[00:10:07.200 --> 00:10:10.200]  我們卻沒有求耶和華
[00:10:10.200 --> 00:10:12.200]  我們神的恩典
[00:10:12.200 --> 00:10:15.200]  使我們回頭離開罪孽
[00:10:15.200 --> 00:10:17.200]  明白你的真理
[00:10:17.200 --> 00:10:24.200]  所以耶和華留意使這災禍臨到我們身上
[00:10:24.200 --> 00:10:31.200]  因為耶和華我們的神在他所行的事上都是公義
[00:10:31.200 --> 00:10:35.200]  我們並沒有聽從他的話
[00:10:35.200 --> 00:10:40.200]  在上文我們看過的就是
[00:10:40.200 --> 00:10:43.200]  但以你一連串的異象
[00:10:43.200 --> 00:10:47.200]  我們總結得到一個答案
[00:10:47.200 --> 00:10:54.200]  但以你很清楚自己不清楚這些異象是什麼
[00:10:54.200 --> 00:11:01.200]  但他只知道這些異象帶來的是連串的混亂
[00:11:01.200 --> 00:11:05.200]  在這麼混亂的世界的時候
[00:11:05.200 --> 00:11:10.200]  他仍然有什麼可以有所把握
[00:11:10.200 --> 00:11:12.200]  能夠走前面的路
