
[00:00:00.000 --> 00:00:05.800]  各位早晨 早晨 很夠響的
[00:00:05.800 --> 00:00:08.440]  很感謝你 我知道有些可能
[00:00:08.440 --> 00:00:11.760]  你是否預備好丈夫退休了 是吧
[00:00:11.760 --> 00:00:14.680]  你說退了休很多年了
[00:00:14.680 --> 00:00:18.120]  還沒有退休 真是很好了
[00:00:18.120 --> 00:00:19.920]  你退了休了沒有?
[00:00:19.920 --> 00:00:23.200]  你沒有退休的
[00:00:23.200 --> 00:00:25.780]  但是可能現在世界都變了很多
[00:00:25.780 --> 00:00:30.620]  我們去任何酒樓餐室 白天都滿了人
[00:00:30.620 --> 00:00:33.900]  其實很多人上班都沒有指定時間
[00:00:33.900 --> 00:00:37.420]  有沒有指定是全日還是半日還是大半日
[00:00:37.420 --> 00:00:39.780]  就是沒有的 所以退休這個字
[00:00:39.780 --> 00:00:42.260]  慢慢都被人忘記了
[00:00:42.260 --> 00:00:45.060]  是不是真的 不做事是不假的
[00:00:45.060 --> 00:00:47.500]  其實退休第一個問題就是說
[00:00:47.500 --> 00:00:51.940]  你想起什麼呢?你想起老了
[00:00:51.940 --> 00:00:53.940]  如果你不想起老了
[00:00:53.940 --> 00:00:58.820]  退休這個字就只不過是換了新的工作而已
[00:00:58.820 --> 00:01:01.320]  你換了新的工作而已
[00:01:01.320 --> 00:01:04.860]  如果你是老了就不是了 老了就什麼都不要做了
[00:01:04.860 --> 00:01:08.620]  那就叫做退休 所以這個新和舊的意思
[00:01:08.620 --> 00:01:12.380]  你覺得是換了工作性質 叫做退休
[00:01:12.380 --> 00:01:17.140]  就是說你跟以前那份很刻板的
[00:01:17.140 --> 00:01:21.580]  緊了時間的 緊了內容的 你不要了
[00:01:21.580 --> 00:01:25.780]  你換了一種新的 不是緊了時間的
[00:01:25.780 --> 00:01:28.540]  不是緊了內容的 如果基督徒來說
[00:01:28.540 --> 00:01:32.980]  就是說你以前是取悅人的
[00:01:32.980 --> 00:01:36.580]  因為那個人給了你一筆錢上班
[00:01:36.580 --> 00:01:40.300]  你要令他開心 你要做得特別好
[00:01:40.300 --> 00:01:43.780]  是他的意思的好 他特別開心
[00:01:43.780 --> 00:01:48.420]  所以他給你薪水 甚至給你獎金 花紅
[00:01:48.420 --> 00:01:52.220]  今天你想轉一轉 就換一個時頭
[00:01:52.220 --> 00:01:56.980]  就是自選的 就是說你根據神
[00:01:56.980 --> 00:02:00.500]  覺得你的人生還有什麼可以做
[00:02:00.500 --> 00:02:05.820]  你做了它 你自己去選擇神認為你做的事情
[00:02:05.820 --> 00:02:09.940]  你是哄誰開心呢?就不是哄人開心的
[00:02:09.940 --> 00:02:14.140]  是神開心的 很多次我在一些顏聯講座
[00:02:14.140 --> 00:02:18.220]  我都說那些牧師應該重新對小朋友說
[00:02:18.220 --> 00:02:21.860]  為什麼媽媽、爸爸死了呢?
[00:02:21.860 --> 00:02:26.980]  就是因為媽媽和爸爸交了功課
[00:02:26.980 --> 00:02:33.060]  所以他們就上學到放學 上了天堂 因為他們放學
[00:02:33.060 --> 00:02:37.220]  所以我們還沒死呢 就是因為還沒交功課
[00:02:37.220 --> 00:02:42.420]  還沒交功課就死不了 所以還沒放學
[00:02:42.420 --> 00:02:45.420]  所以繼續在這裡工作 做功課
[00:02:45.420 --> 00:02:49.260]  為什麼有些人做功課都還沒死呢?
[00:02:49.260 --> 00:02:52.060]  就是因為做得不好 做得不好
[00:02:52.060 --> 00:02:55.980]  做得不好 上帝說不能放工
[00:02:55.980 --> 00:02:59.540]  你交不完東西 怎麼可以讓你畢業
[00:02:59.540 --> 00:03:01.460]  於是你就多做點事情
[00:03:01.460 --> 00:03:05.180]  但是有些人做事做得很好的 但是又不死的
[00:03:05.180 --> 00:03:08.660]  原因就是他要幫隔壁的那個做功課
[00:03:08.660 --> 00:03:11.420]  就是他要幫人家補習
[00:03:11.420 --> 00:03:15.220]  將他做得厲害的方法教多點同學
[00:03:15.220 --> 00:03:17.300]  所以上帝說你先不要死
[00:03:17.300 --> 00:03:19.380]  因為你的功課交了
[00:03:19.380 --> 00:03:21.700]  你幫你的行為的人
[00:03:21.700 --> 00:03:24.300]  搞定功課就讓你死
[00:03:24.300 --> 00:03:25.740]  所以退休是為什麼呢?
[00:03:25.740 --> 00:03:27.740]  退休就是還沒做好功課
[00:03:27.740 --> 00:03:30.620]  還在找一些功課是還沒完成的
[00:03:30.620 --> 00:03:32.940]  做完之後才死的
[00:03:32.940 --> 00:03:36.060]  所以這些人對死這個東西不用哭
[00:03:36.060 --> 00:03:39.300]  是在乎恭喜他交功課而已
[00:03:39.300 --> 00:03:41.980]  所以你去安息禮拜 你就想一下
[00:03:41.980 --> 00:03:43.340]  為什麼你還沒死呢?
[00:03:43.340 --> 00:03:45.340]  因為你的功課還沒做得很好
[00:03:45.340 --> 00:03:48.060]  或者說有些人是靠你的
[00:03:48.060 --> 00:03:50.860]  你也應該拿些時間去幫他
[00:03:50.860 --> 00:03:53.380]  所以你說人生的丈夫
[00:03:53.380 --> 00:03:54.460]  你想起什麼呢?
[00:03:54.460 --> 00:03:58.140]  有時候夫妻很簡單 也很坦白說
[00:03:58.140 --> 00:04:00.140]  一個女人一定想
[00:04:00.140 --> 00:04:03.740]  她遲早死
[00:04:03.740 --> 00:04:08.060]  第二就想 我遲早死
[00:04:08.060 --> 00:04:09.980]  遲早一個死
[00:04:09.980 --> 00:04:11.700]  那你一定想什麼呢?
[00:04:11.700 --> 00:04:14.260]  想就是 最好我先死
[00:04:14.260 --> 00:04:19.300]  我先死就有人幫我撿骨頭
[00:04:19.300 --> 00:04:21.860]  扮你身後事
[00:04:21.860 --> 00:04:23.860]  所以真的是 我太太說
[00:04:23.860 --> 00:04:26.100]  死在夫前一枝花
[00:04:26.100 --> 00:04:29.100]  老婆說死了也很逍遙
[00:04:29.100 --> 00:04:34.980]  就是說女人最慘的就是老公死了
[00:04:34.980 --> 00:04:40.460]  自己經常都被人同情、可憐、慘了
[00:04:40.460 --> 00:04:42.820]  所以看了整本聖經都沒有說
[00:04:42.820 --> 00:04:44.580]  寡婦很慘的
[00:04:44.580 --> 00:04:47.860]  全部都說 孤子孤兒和寡婦
[00:04:47.860 --> 00:04:49.260]  所以看來看去
[00:04:49.260 --> 00:04:51.820]  我都覺得為什麼上帝不弄一句話
[00:04:51.820 --> 00:04:55.060]  幫寡婦說一句話呢?沒有說過的
[00:04:55.060 --> 00:05:00.820]  那你就想一下 原來一個男人
[00:05:00.820 --> 00:05:04.740]  他真的要面對一件事 就是要照顧自己
[00:05:04.740 --> 00:05:07.020]  是真的 我不是說你一定死
[00:05:07.020 --> 00:05:09.020]  也不是說你一定早死過他
[00:05:09.020 --> 00:05:11.020]  不過你一定要教他照顧自己
[00:05:11.020 --> 00:05:13.020]  一定要教他
[00:05:13.020 --> 00:05:15.540]  我經驗過七年 我老婆死了
[00:05:15.540 --> 00:05:19.140]  我才完全知道為什麼老婆說我不懂照顧自己
[00:05:19.140 --> 00:05:21.740]  就像我來這裡 我不懂推、不懂捐
[00:05:21.740 --> 00:05:26.100]  我就來了 以前我老婆在這裡肯定不給的
[00:05:26.100 --> 00:05:27.300]  她說這上下夜
[00:05:27.300 --> 00:05:29.300]  今晚我又要去竹園廣播道會
[00:05:29.300 --> 00:05:32.220]  你每天都做這麼多事 你自己顧著吧
[00:05:32.220 --> 00:05:34.620]  但問題是男人是不懂的
[00:05:34.620 --> 00:05:37.020]  男人有多少做多少的
[00:05:37.020 --> 00:05:42.260]  特別是什麼呢?特別就是男人對一個時間觀念
[00:05:42.260 --> 00:05:45.100]  是少了準備這個想法的
[00:05:45.100 --> 00:05:47.860]  女人就不是 女人一個小時約了人家
[00:05:47.860 --> 00:05:49.620]  說整天都沒空的
[00:05:49.620 --> 00:05:53.900]  這個真是嚇死你的 真還是假?
[00:05:53.900 --> 00:05:57.660]  所以女人是很會準備的
[00:05:57.660 --> 00:06:00.740]  有時候覺得 當然不是每個人都是
[00:06:00.740 --> 00:06:02.740]  有些女人都是不準備的
[00:06:02.740 --> 00:06:05.820]  但是女人說少許準備 已經準備了很多
[00:06:05.820 --> 00:06:07.980]  沒什麼的 只要兩碟東西就給你
[00:06:07.980 --> 00:06:09.540]  整桌都是東西
[00:06:09.540 --> 00:06:13.220]  你就明白男人說兩碟 隨時是沒有兩碟的
[00:06:13.220 --> 00:06:16.820]  就是那些叉燒疊在一起 不得兩碟放在一起
[00:06:16.820 --> 00:06:19.340]  你就明白男人很不懂的
[00:06:19.340 --> 00:06:21.860]  所以你一定要想一下怎麼跟他相處
[00:06:21.860 --> 00:06:26.260]  其實你循循前有 你要教他退休
[00:06:26.260 --> 00:06:29.060]  你現在要學 照顧自己
[00:06:29.060 --> 00:06:33.300]  當然今天整個過程我是說你怎麼對付他
[00:06:33.300 --> 00:06:36.220]  我整天在想 為什麼你不讓你老公來聽一次
[00:06:36.220 --> 00:06:37.660]  怎麼對付你呢?
[00:06:37.660 --> 00:06:40.860]  當然應該讓你的子女來聽一下
[00:06:40.860 --> 00:06:43.260]  怎麼對爸爸更加重要
[00:06:43.260 --> 00:06:46.180]  因為男人整天都是一個落空的人
[00:06:46.180 --> 00:06:49.220]  我想我從一個角度來看
[00:06:49.220 --> 00:06:51.020]  其實什麼叫生命呢?
[00:06:51.020 --> 00:06:54.500]  就算你信不信教都這麼說 生命都是三部分的
[00:06:54.500 --> 00:06:57.780]  第一部分就是你的自處
[00:06:57.780 --> 00:07:00.500]  你一定要懂得一個人相處
[00:07:01.500 --> 00:07:04.540]  不懂得一個人相處的人一定會說悶的
[00:07:04.540 --> 00:07:08.060]  懂得跟自己相處的人是永遠不說這個悶字的
[00:07:08.060 --> 00:07:11.900]  因為一個人都有很多節目
[00:07:11.900 --> 00:07:15.340]  我退了休20年
[00:07:15.340 --> 00:07:17.100]  我45歲離開理工大學
[00:07:17.100 --> 00:07:20.940]  我已經沒有拿身份稅的東西了
[00:07:20.940 --> 00:07:23.900]  但是我到處去做事 我開公司去做事
[00:07:23.900 --> 00:07:27.340]  我太太永遠都說 你自己搞定
[00:07:27.340 --> 00:07:29.740]  我太太是一個很厲害自己搞定的人
[00:07:29.740 --> 00:07:37.140]  我太太差不多是整本工聯會的課程都讀完
[00:07:37.140 --> 00:07:40.140]  嚇得工聯會的人就一直求我
[00:07:40.140 --> 00:07:44.860]  求她 說什麼水喉 什麼鎖 開鎖那些
[00:07:44.860 --> 00:07:48.020]  沒有人讀的 大哥 你又弄張支票來
[00:07:48.020 --> 00:07:49.980]  經常開不成 我太太求她
[00:07:49.980 --> 00:07:52.700]  我多給點學費 你教我一個
[00:07:52.700 --> 00:07:55.020]  但是她都死都不開給她
[00:07:55.020 --> 00:07:57.700]  你想一下 懂得自處的人很幸福
[00:07:57.700 --> 00:08:00.740]  我是很幸福的 我太太從來都沒有冤枉我
[00:08:00.740 --> 00:08:04.260]  因為她懂得自處 她很喜歡學東西
[00:08:04.260 --> 00:08:06.500]  如果你不喜歡學東西 你就有問題
[00:08:06.500 --> 00:08:10.660]  但是記住學東西是要五年才能夠栽培興趣的
[00:08:10.660 --> 00:08:13.620]  五年 如果你沒有五年
[00:08:13.620 --> 00:08:16.420]  你說突然間去學這些東西 你會走出來的
[00:08:16.420 --> 00:08:19.220]  不懂的 還有那幫人這麼厲害 追不到
[00:08:19.220 --> 00:08:21.300]  然後我經常說得很深
[00:08:21.300 --> 00:08:27.020]  其實被抓的全部都是因為你沒有起過步的那種內容
[00:08:27.020 --> 00:08:29.700]  起過步的人是會慢慢上癮的
[00:08:29.700 --> 00:08:32.060]  你看你兒子打遊戲機 最初他不懂打的
[00:08:32.060 --> 00:08:36.380]  你就知道當你起了步 你就行的了
[00:08:36.380 --> 00:08:38.540]  所以最難過是第一年
[00:08:38.540 --> 00:08:40.540]  你任何學東西過了第一年
[00:08:40.540 --> 00:08:42.660]  我不用叫你都會繼續學下去
[00:08:42.660 --> 00:08:43.820]  但是過不了第一年
[00:08:43.820 --> 00:08:45.660]  九成九的人都過不了第一年
[00:08:45.660 --> 00:08:47.660]  這個就是分別了
[00:08:47.660 --> 00:08:53.980]  第二就是對人千萬不要學的東西是一個因的
[00:08:53.980 --> 00:08:57.300]  有時候你讓女兒學琴就搞錯了
[00:08:57.300 --> 00:08:59.900]  學芭蕾舞都比學琴好
[00:08:59.900 --> 00:09:02.820]  因為芭蕾舞是跟人一起跳的
[00:09:02.820 --> 00:09:04.540]  不要學一些一個因的東西
[00:09:04.540 --> 00:09:07.140]  國畫、書法那些
[00:09:07.140 --> 00:09:11.900]  如果勉強學 你一定要學多一樣東西是一起做的
[00:09:11.900 --> 00:09:13.900]  你衝淡它
[00:09:13.900 --> 00:09:16.100]  如果不是 你是一個很自我的人
[00:09:16.100 --> 00:09:17.980]  你只喜歡一個因的
[00:09:17.980 --> 00:09:19.900]  所以你女兒不嫁的
[00:09:19.900 --> 00:09:23.660]  也不喜歡生孩子 也不喜歡理會 包括
[00:09:23.660 --> 00:09:27.020]  因為她全部有的都是滿足自己的東西
[00:09:27.020 --> 00:09:29.740]  所以一個因對一個因的那些東西
[00:09:29.740 --> 00:09:31.420]  不是不學 學一樣就夠了
[00:09:31.420 --> 00:09:34.980]  其它一定要學一些跟別人一起學的東西
[00:09:34.980 --> 00:09:37.980]  比如說話劇很好 話劇沒有你一個人做的
[00:09:37.980 --> 00:09:39.340]  話劇很好
[00:09:39.340 --> 00:09:41.580]  你要想一下 如果退休後
[00:09:41.580 --> 00:09:44.020]  就算你讀一些一個因學的東西也好
[00:09:44.020 --> 00:09:45.420]  你都要多讀一樣
[00:09:45.420 --> 00:09:49.780]  是跟一群人一起要做的 跟實踐一起用的
[00:09:49.780 --> 00:09:51.780]  比如義工團這樣就很好了
[00:09:51.780 --> 00:09:55.380]  這樣一起去 去醫院探訪一群人就很好了
[00:09:55.380 --> 00:09:58.100]  如果你沒有這些東西 你是一個自我的人
[00:09:58.100 --> 00:10:01.580]  因為你的興趣已經是一個自我的興趣
[00:10:01.580 --> 00:10:03.980]  所以興趣決定了你的命運
[00:10:03.980 --> 00:10:06.140]  但是第三就是神
[00:10:06.140 --> 00:10:07.900]  你有心靈的
[00:10:07.900 --> 00:10:09.140]  為什麼什麼叫心靈呢?
[00:10:09.140 --> 00:10:11.140]  突然間你睡不著
[00:10:11.140 --> 00:10:13.980]  突然間你不安心 突然間你想著
[00:10:13.980 --> 00:10:16.540]  爸爸去世了
[00:10:16.540 --> 00:10:19.340]  以前我對他不好 這是心靈
[00:10:19.340 --> 00:10:20.900]  一去到心靈的東西
[00:10:20.900 --> 00:10:24.300]  如果你沒有一樣東西是解答你的話
[00:10:24.300 --> 00:10:27.700]  你一輩子都會覺得患得患失的
