
[00:00:00.000 --> 00:00:05.000]  各位大型姐妹平安
[00:00:05.000 --> 00:00:07.000]  上一次我在香港
[00:00:07.000 --> 00:00:09.000]  在我旁邊的房間
[00:00:09.000 --> 00:00:11.000]  用幾個行李箱
[00:00:11.000 --> 00:00:13.000]  砌了一個台
[00:00:13.000 --> 00:00:15.000]  今天我在教會某間房間
[00:00:15.000 --> 00:00:17.000]  也砌了一個台
[00:00:17.000 --> 00:00:19.000]  因為沒有港台的房間
[00:00:19.000 --> 00:00:21.000]  跟大家分享神的話語
[00:00:21.000 --> 00:00:23.000]  完了之後
[00:00:23.000 --> 00:00:25.000]  我們要上去
[00:00:25.000 --> 00:00:27.000]  我發現
[00:00:27.000 --> 00:00:32.000]  有人說我沒有叫你們開鏡頭
[00:00:32.000 --> 00:00:34.000]  很多人開了鏡頭
[00:00:34.000 --> 00:00:36.000]  你們很乖
[00:00:36.000 --> 00:00:38.000]  人生無不散的筵席
[00:00:38.000 --> 00:00:42.000]  傳道書終於說到最後一課
[00:00:42.000 --> 00:00:44.000]  是第十四課
[00:00:44.000 --> 00:00:46.000]  今天的題目是
[00:00:46.000 --> 00:00:50.000]  人生的結局和總言
[00:00:50.000 --> 00:00:53.000]  很多人一想到傳道書
[00:00:53.000 --> 00:00:55.000]  就想到虛空兩個字
[00:00:55.000 --> 00:00:59.000]  傳道書不是想說虛空
[00:00:59.000 --> 00:01:01.000]  而是提醒人
[00:01:01.000 --> 00:01:03.000]  人生的虛空
[00:01:03.000 --> 00:01:05.000]  虛空的意思不是沒有意義
[00:01:05.000 --> 00:01:07.000]  沒有內容
[00:01:07.000 --> 00:01:10.000]  虛空是泡沫的意思
[00:01:10.000 --> 00:01:13.000]  意思是有限的人生
[00:01:13.000 --> 00:01:15.000]  現今的人生
[00:01:15.000 --> 00:01:17.000]  世上的人生不是長久的
[00:01:17.000 --> 00:01:19.000]  不是永存的
[00:01:19.000 --> 00:01:21.000]  而且過得很快
[00:01:21.000 --> 00:01:23.000]  我常常最近
[00:01:23.000 --> 00:01:25.000]  年紀大了
[00:01:25.000 --> 00:01:27.000]  跟老婆說一年又過去了
[00:01:27.000 --> 00:01:29.000]  不知道大家還記不記得
[00:01:29.000 --> 00:01:31.000]  2022年的開始
[00:01:31.000 --> 00:01:33.000]  好像昨天
[00:01:33.000 --> 00:01:35.000]  想不到現在是12月
[00:01:35.000 --> 00:01:37.000]  2023年又來了
[00:01:37.000 --> 00:01:39.000]  公元2000年
[00:01:39.000 --> 00:01:41.000]  舍生千禧年
[00:01:41.000 --> 00:01:43.000]  好像是不久之前
[00:01:43.000 --> 00:01:45.000]  所以傳道書提醒我們
[00:01:45.000 --> 00:01:47.000]  人生過得快
[00:01:47.000 --> 00:01:49.000]  人生很有限
[00:01:49.000 --> 00:01:51.000]  人生過得快人生很有限
[00:01:51.000 --> 00:01:53.000]  不是要你放縱
[00:01:53.000 --> 00:01:55.000]  及時行樂
[00:01:55.000 --> 00:01:57.000]  而是要你體重
[00:01:57.000 --> 00:01:59.000]  及時行事
[00:01:59.000 --> 00:02:01.000]  做應該做的事
[00:02:01.000 --> 00:02:03.000]  雖然人生會過
[00:02:03.000 --> 00:02:05.000]  而且過得快
[00:02:05.000 --> 00:02:07.000]  不表示我們要悲哀過人生
[00:02:07.000 --> 00:02:09.000]  我記得有時和家人去旅遊
[00:02:09.000 --> 00:02:11.000]  去旅遊的時候很開心
[00:02:11.000 --> 00:02:13.000]  回家的時候有點不開心
[00:02:13.000 --> 00:02:15.000]  但當我和老婆說
[00:02:15.000 --> 00:02:17.000]  很快又要走了
[00:02:17.000 --> 00:02:19.000]  她說你不要常常說很快就要走了
[00:02:19.000 --> 00:02:21.000]  你玩得很不開心
[00:02:21.000 --> 00:02:23.000]  常常說還有兩天
[00:02:23.000 --> 00:02:25.000]  還有一天還有十個小時
[00:02:25.000 --> 00:02:27.000]  令人很混亂
[00:02:27.000 --> 00:02:29.000]  雖然要回家
[00:02:29.000 --> 00:02:31.000]  雖然我們玩得很開心
[00:02:31.000 --> 00:02:33.000]  但回家不要不開心
[00:02:33.000 --> 00:02:35.000]  回家應該很開心
[00:02:35.000 --> 00:02:37.000]  無論我們在外在內
[00:02:37.000 --> 00:02:39.000]  只要我們人做得對
[00:02:39.000 --> 00:02:41.000]  人過得好
[00:02:41.000 --> 00:02:43.000]  我們都應該開心
[00:02:43.000 --> 00:02:45.000]  無論在今生
[00:02:45.000 --> 00:02:47.000]  無論在將來
[00:02:47.000 --> 00:02:49.000]  不要遺憾
[00:02:49.000 --> 00:02:51.000]  要感恩
[00:02:51.000 --> 00:02:53.000]  人生是會過的
[00:02:53.000 --> 00:02:55.000]  但不要因為過
[00:02:55.000 --> 00:02:57.000]  我們隨便
[00:02:57.000 --> 00:02:59.000]  而要珍惜
[00:02:59.000 --> 00:03:01.000]  人生是要過
[00:03:01.000 --> 00:03:03.000]  但不要難過
[00:03:03.000 --> 00:03:05.000]  要好好過
[00:03:05.000 --> 00:03:07.000]  不要錯過
[00:03:07.000 --> 00:03:09.000]  也不要過錯人生
[00:03:09.000 --> 00:03:11.000]  全部書說的十三童
[00:03:11.000 --> 00:03:13.000]  就是要好好過人生
[00:03:13.000 --> 00:03:15.000]  基督徒是有永生的
[00:03:15.000 --> 00:03:17.000]  但也要說今生
[00:03:17.000 --> 00:03:19.000]  為甚麼呢?
[00:03:19.000 --> 00:03:21.000]  第一人生是神給的
[00:03:21.000 --> 00:03:23.000]  你的命和我的命
[00:03:23.000 --> 00:03:25.000]  無論有多長或多短
[00:03:25.000 --> 00:03:27.000]  都是神給的
[00:03:27.000 --> 00:03:29.000]  世界是神做的
[00:03:29.000 --> 00:03:31.000]  是神的恩典
[00:03:31.000 --> 00:03:33.000]  人要感恩享受
[00:03:33.000 --> 00:03:35.000]  好好過我們每一天
[00:03:35.000 --> 00:03:37.000]  第二在有限人生當中
[00:03:37.000 --> 00:03:39.000]  人是有使命的
[00:03:39.000 --> 00:03:41.000]  要為此做見證
[00:03:41.000 --> 00:03:43.000]  這是神對我們的吩咐
[00:03:43.000 --> 00:03:45.000]  所以人要謹慎而活
[00:03:45.000 --> 00:03:47.000]  第三人是有責任的
[00:03:47.000 --> 00:03:49.000]  神要人管理萬物
[00:03:49.000 --> 00:03:51.000]  基督徒有福音的使命
[00:03:51.000 --> 00:03:53.000]  也有文化的使命
[00:03:53.000 --> 00:03:55.000]  人要盡人的本分
[00:03:55.000 --> 00:03:57.000]  所以我們是天上的國民
[00:03:57.000 --> 00:03:59.000]  有永恆的盼望
[00:03:59.000 --> 00:04:01.000]  有福音的使命
[00:04:01.000 --> 00:04:03.000]  但同時我們是地上的國民
[00:04:03.000 --> 00:04:05.000]  有今生的生活
[00:04:05.000 --> 00:04:07.000]  有文化的使命
[00:04:07.000 --> 00:04:09.000]  在有限人生當中
[00:04:09.000 --> 00:04:11.000]  來到全部書最後一課
[00:04:11.000 --> 00:04:13.000]  我們要享受神給我們的人生
[00:04:13.000 --> 00:04:15.000]  我們要謹慎而過
[00:04:15.000 --> 00:04:17.000]  我們每一天的生活
[00:04:17.000 --> 00:04:19.000]  我們要盡人的本分
[00:04:19.000 --> 00:04:21.000]  做我們應做的事
[00:04:21.000 --> 00:04:23.000]  有限和永恆是分不開的
[00:04:23.000 --> 00:04:25.000]  因為有限在永恆之中
[00:04:25.000 --> 00:04:27.000]  有限是為永恆而活
[00:04:27.000 --> 00:04:29.000]  因為我們要為主做見證
[00:04:29.000 --> 00:04:31.000]  要完成神的使命
[00:04:31.000 --> 00:04:33.000]  將有限的人帶進永恆當中
[00:04:33.000 --> 00:04:35.000]  人總有走完的一天
[00:04:35.000 --> 00:04:37.000]  講到總有講完的時候
[00:04:37.000 --> 00:04:39.000]  我有時發覺
[00:04:39.000 --> 00:04:41.000]  在中國講道
[00:04:41.000 --> 00:04:43.000]  普通話講
[00:04:43.000 --> 00:04:45.000]  沒玩沒理由的
[00:04:45.000 --> 00:04:47.000]  我記得初初去中國講道
[00:04:47.000 --> 00:04:49.000]  他們不停叫你講
[00:04:49.000 --> 00:04:51.000]  不停叫你講
[00:04:51.000 --> 00:04:53.000]  不停的
[00:04:53.000 --> 00:04:55.000]  我試過有一晚
[00:04:55.000 --> 00:04:57.000]  晚上十點講到早上六點
[00:04:57.000 --> 00:04:59.000]  一直這樣講
