
[00:00:00.000 --> 00:00:02.000]  (字幕:梁家傑)
[00:00:03.000 --> 00:00:04.000]  各位節目早晨
[00:00:04.000 --> 00:00:07.520]  今天和大家一起讀的經文
[00:00:07.520 --> 00:00:13.000]  是在《貼薩羅利加前書》第四章十三至十八節
[00:00:13.000 --> 00:00:16.120]  貼前第四章十三至十八節
[00:00:16.120 --> 00:00:18.440]  如果有聖經的可以打開
[00:00:18.440 --> 00:00:20.440]  聽我讀出來便可以了
[00:00:20.440 --> 00:00:21.440]  四章十三節
[00:00:21.440 --> 00:00:22.680]  論到睡了的人
[00:00:22.680 --> 00:00:25.360]  我們不願意弟兄們不知道
[00:00:25.360 --> 00:00:27.280]  恐怕你們憂傷
[00:00:27.280 --> 00:00:30.000]  像那些沒有子望的人一樣
[00:00:30.000 --> 00:00:33.000]  我們若信耶穌死而復活了
[00:00:33.000 --> 00:00:35.680]  那已經在耶穌裡睡了的人
[00:00:35.680 --> 00:00:39.600]  上帝也必將他與耶穌一同帶來
[00:00:39.600 --> 00:00:42.880]  我們現在照主的話告訴你們一件事
[00:00:42.880 --> 00:00:46.480]  我們這活著還傳流到主降臨的人
[00:00:46.480 --> 00:00:50.000]  斷不能在那已經睡了的人之先
[00:00:50.000 --> 00:00:53.280]  因為主必親自從天降臨
[00:00:53.280 --> 00:00:56.800]  有呼叫的聲音和天使掌的聲音
[00:00:56.800 --> 00:00:59.200]  又有上帝的號吹響
[00:00:59.200 --> 00:01:02.920]  那在基督裡死了的人必先復活
[00:01:02.920 --> 00:01:05.920]  而後我們這活著還傳流的人
[00:01:05.920 --> 00:01:09.360]  必和他們一同被提到雲裡
[00:01:09.360 --> 00:01:11.720]  在空中預祝相遇
[00:01:11.720 --> 00:01:15.720]  這樣我們就要和主永遠同在
[00:01:15.720 --> 00:01:19.880]  所以你們當用這些話彼此勸諱
[00:01:19.880 --> 00:01:21.200]  一起低頭祈禱
[00:01:21.200 --> 00:01:26.440]  這份你自己的話語是我們人生命裡的良藥
[00:01:26.440 --> 00:01:31.720]  當我們在我們人生不同的氣候變化裡
[00:01:31.720 --> 00:01:34.240]  我們是適應不了
[00:01:34.240 --> 00:01:35.480]  我們是處理不了
[00:01:35.480 --> 00:01:37.400]  我們是面對不了
[00:01:37.400 --> 00:01:40.040]  又或者我們是順境的時候
[00:01:40.040 --> 00:01:44.920]  我們以為是什麼事情都是在我們的掌控
[00:01:44.920 --> 00:01:46.720]  掌握當中的時候
[00:01:46.720 --> 00:01:49.680]  你的話語仍然是向我們說話
[00:01:49.680 --> 00:01:55.200]  知道我們何時都需要依賴你自己
[00:01:55.200 --> 00:01:57.040]  向我們所說的話
[00:01:57.040 --> 00:01:59.280]  因為不單止是力量
[00:01:59.280 --> 00:02:00.240]  也是良藥
[00:02:00.240 --> 00:02:02.080]  要醫治我們的心靈
[00:02:02.080 --> 00:02:04.480]  也是為我們指著
[00:02:04.480 --> 00:02:07.040]  指向我們前面當走的道路
[00:02:07.040 --> 00:02:10.440]  願你今天藉著保羅所寫的話
[00:02:10.440 --> 00:02:13.480]  再一次向我們說話
[00:02:13.480 --> 00:02:15.040]  聖靈感動我們的心
[00:02:15.040 --> 00:02:16.640]  讓我們有啟迪
[00:02:16.640 --> 00:02:17.920]  有悟性
[00:02:17.920 --> 00:02:20.040]  奉救主耶穌基督的名禱
[00:02:20.040 --> 00:02:20.960]  阿們
