
[00:00:00.000 --> 00:00:08.000]  今天跟大家一起思想的經文是出自於《街泰書》的第二章
[00:00:08.000 --> 00:00:10.000]  第11節至14節
[00:00:10.000 --> 00:00:15.000]  今天的講題是與福音貫徹的順行合一
[00:00:15.000 --> 00:00:19.000]  今天我們所講的經文是《街泰書》的二章
[00:00:19.000 --> 00:00:21.000]  第11節到14節
[00:00:21.000 --> 00:00:27.000]  今天要講的是與福音貫徹的線形合一
[00:00:27.000 --> 00:00:33.000]  今天講的是《Galatians 2:11-14》
[00:00:33.000 --> 00:00:37.000]  我們在信仰中的順滑性
[00:00:37.000 --> 00:00:41.000]  好,讓我們在開始之前再次讀一下這段經文
[00:00:41.000 --> 00:00:44.000]  看看這段經文裡面所講的內容是甚麼
[00:00:44.000 --> 00:00:47.000]  如果你有聖經的話,可以跟我一起打開
[00:00:47.000 --> 00:00:50.000]  我會先為大家讀出和合版的版本
[00:00:50.000 --> 00:00:54.000]  然後會和大家一起看NDT的版本
[00:00:54.000 --> 00:00:55.000]  《街泰書》
[00:00:55.000 --> 00:00:59.000]  第二章第11節至14節
[00:00:59.000 --> 00:01:05.000]  後來機發到了安提安因他有可責之處
[00:01:05.000 --> 00:01:08.000]  我就當面抵擋他
[00:01:08.000 --> 00:01:11.000]  從雅各那裡來的人未到爾先
[00:01:11.000 --> 00:01:13.000]  他和外邦人一同吃飯
[00:01:13.000 --> 00:01:15.000]  及至他們來到
[00:01:15.000 --> 00:01:21.000]  他因怕奉國禮的人就退去與外邦人隔開了
[00:01:21.000 --> 00:01:25.000]  其餘的猶太人也都隨著他裝假
[00:01:25.000 --> 00:01:28.000]  甚至連巴拿巴也隨火裝假
[00:01:28.000 --> 00:01:32.000]  但我一看見他們行的不正
[00:01:32.000 --> 00:01:34.000]  與福音的真理不合
[00:01:34.000 --> 00:01:36.000]  就在眾人面前對機發說
[00:01:36.000 --> 00:01:40.000]  你何時猶太人若隨外邦人行事
[00:01:40.000 --> 00:01:42.000]  不隨猶太人行事
[00:01:42.000 --> 00:01:46.000]  怎麽還勉強外邦人隨猶太人呢?
[00:01:46.000 --> 00:01:50.000]  有一句俗語叫做「黑狗偷食,白狗當災」
[00:01:50.000 --> 00:01:53.000]  其實是用來形容一些人犯了錯
[00:01:53.000 --> 00:01:57.000]  結果是由他的同伴承擔結果
[00:01:57.000 --> 00:02:04.000]  我自小在家裡有一座雪櫃或冰箱
[00:02:04.000 --> 00:02:09.000]  原初的作用是為了儲存一些未出售的貨品
[00:02:09.000 --> 00:02:13.000]  但後來因為久而久之家裏有很多需要
[00:02:13.000 --> 00:02:20.000]  家庭用品、飲料都用在雪櫃裏
[00:02:20.000 --> 00:02:26.000]  所以雪櫃通常都塞滿了很多各式各樣的東西
[00:02:26.000 --> 00:02:30.000]  特別果汁或是一些很甜的飲品
[00:02:30.000 --> 00:02:32.000]  作為當時我的小朋友
[00:02:32.000 --> 00:02:35.000]  在大熱天時其實香港都很熱
[00:02:35.000 --> 00:02:41.000]  經常會去到雪櫃裏面拿一些飲料出來喝
[00:02:41.000 --> 00:02:46.000]  但小朋友很容易手疼腳震
[00:02:46.000 --> 00:02:52.000]  加上以前很多飲品的包裝不像現在這樣
[00:02:52.000 --> 00:02:54.000]  能夠風存得那麼好
[00:02:54.000 --> 00:03:01.000]  一不小心就很容易倒寫了很多果汁、奶、甜的
[00:03:01.000 --> 00:03:06.000]  甚至是煉奶等等的東西在雪櫃冰箱裏面
[00:03:06.000 --> 00:03:12.000]  我最不喜歡的是很多時候這些東西打寫了
[00:03:12.000 --> 00:03:15.000]  在雪櫃裏面不清理
[00:03:15.000 --> 00:03:17.000]  於是乎怎樣呢?
[00:03:17.000 --> 00:03:21.000]  令到周圍都黏黏的,是我很不喜歡的情況
[00:03:21.000 --> 00:03:26.000]  因為很容易招惹很多蛇蟲鼠蟻走出來
[00:03:26.000 --> 00:03:30.000]  我還記得有一次,同樣是很年輕的時候
[00:03:30.000 --> 00:03:33.000]  正當有一天我回到家裏
[00:03:33.000 --> 00:03:37.000]  準備在雪櫃裏面拿一瓶冷水出來喝的時候
[00:03:37.000 --> 00:03:39.000]  一打開,嘩!
[00:03:39.000 --> 00:03:45.000]  原來在雪櫃裏面,整個果汁流出,倒到周圍
[00:03:45.000 --> 00:03:47.000]  令到周圍都黏黏的
[00:03:47.000 --> 00:03:51.000]  剛好當我打開的時候
[00:03:51.000 --> 00:03:55.000]  我媽媽走過,看見,嘩!你搞什麼?
[00:03:55.000 --> 00:03:58.000]  你倒寫了一些橙汁
[00:03:58.000 --> 00:04:02.000]  在雪櫃裏面黏黏到走到周圍都是
[00:04:02.000 --> 00:04:04.000]  你快點搞定它
[00:04:04.000 --> 00:04:07.000]  但那一刻我真是百慈莫辯
[00:04:07.000 --> 00:04:10.000]  因為那些橙汁本身不是我自己倒寫的
[00:04:10.000 --> 00:04:12.000]  不知道是誰倒寫
[00:04:12.000 --> 00:04:14.000]  但倒寫了之後又不買回去
[00:04:14.000 --> 00:04:17.000]  令到雪櫃黏黏的,流到周圍都是
[00:04:17.000 --> 00:04:21.000]  真是在那一刻,可以說是百慈莫辯的時候
[00:04:21.000 --> 00:04:23.000]  我一直被我媽媽罵
[00:04:23.000 --> 00:04:26.000]  一直準備去清理雪櫃
[00:04:26.000 --> 00:04:29.000]  但是這個清理的過程當然不容易
[00:04:29.000 --> 00:04:33.000]  因為你倒寫果汁,要把整個雪櫃裏面的東西
[00:04:33.000 --> 00:04:36.000]  全部拿出來,進行一個大規模的清潔
[00:04:36.000 --> 00:04:39.000]  越清潔的時候,自己就越生氣
