
[00:00:00.000 --> 00:00:10.320]  我們繼續今年的主題 以愛為主題
[00:00:10.320 --> 00:00:16.520]  今天就講一個 或許有時少說 少集中說的題目
[00:00:16.520 --> 00:00:19.400]  就講愛仇敵 如何愛仇敵
[00:00:19.400 --> 00:00:25.120]  可能大家都很熟悉的 但我們都一起讀一次
[00:00:25.120 --> 00:00:29.840]  《南華太夫》一五章四十三到四十七節 預備起
[00:00:29.840 --> 00:00:36.520]  你們聽見有話說 當愛你的鄰舍 恨你的仇敵
[00:00:36.520 --> 00:00:44.400]  只是我告訴你們 要愛你們的仇敵 為那逼迫你們的土高
[00:00:44.400 --> 00:00:49.000]  這樣就可以作你們天父的兒子
[00:00:49.000 --> 00:00:57.760]  因為他叫日頭召好人也召歹人 降於給予人也給不予的人
[00:00:57.760 --> 00:01:03.520]  你們若單愛那愛你們的人 有什麼賞賜呢
[00:01:03.520 --> 00:01:10.600]  就是需理不也是這樣行嗎 你們若單請你弟兄的安
[00:01:10.600 --> 00:01:17.400]  給人有什麼長處呢 就是愛邦人不也是這樣行嗎
[00:01:17.400 --> 00:01:19.400]  我們日後再做禱告吧
[00:01:19.400 --> 00:01:24.160]  主耶穌求你幫助我們 真是有一個寬闊的愛心
[00:01:24.160 --> 00:01:28.200]  就像天父你的愛一樣 長闊高深
[00:01:28.200 --> 00:01:31.840]  讓我們有能力去愛鄰舍 也愛仇敵
[00:01:31.840 --> 00:01:34.680]  今天一段聽到的時間 求你祝福
[00:01:34.680 --> 00:01:37.560]  禱告奉耶穌基督名
[00:01:37.560 --> 00:01:42.120]  有時我們基督徒的價值觀和世人很不一樣
[00:01:42.120 --> 00:01:47.840]  例如星期日難得上班 睡晚一點
[00:01:47.840 --> 00:01:51.520]  再不是早上喝茶 價錢便宜一點
[00:01:51.520 --> 00:01:57.560]  結果你們就是基督徒 八點半早上就來教會了
[00:01:57.560 --> 00:02:02.200]  世人可能覺得很奇怪 為什麼要八點半崇拜早上
[00:02:02.200 --> 00:02:04.880]  另外有些價值觀與世人不同
[00:02:04.880 --> 00:02:12.160]  這節也是一樣 愛你的鄰舍恨你的仇敵
[00:02:12.160 --> 00:02:23.680]  這也是世人的想法 恩有仇報 但也要報仇
[00:02:23.680 --> 00:02:29.880]  這是正常的表現 有仇不報非君子
[00:02:29.880 --> 00:02:32.880]  君子報仇十年未晚
[00:02:32.880 --> 00:02:40.480]  做人要有原則 原則就是對你好對他好
[00:02:40.480 --> 00:02:42.880]  對你壞的對他壞
[00:02:42.880 --> 00:02:47.960]  耶穌叫我們去愛你們的仇敵
[00:02:47.960 --> 00:02:53.240]  聽起來有點奇怪 愛我們的仇敵
[00:02:53.240 --> 00:02:55.480]  我們愛不愛得下
[00:02:55.480 --> 00:02:59.120]  假如有人搞到你傾家蕩產
