
[00:00:00.000 --> 00:00:05.280]  各位兄弟姐妹 各位朋友 你們好
[00:00:05.280 --> 00:00:09.680]  歡迎大家參加我們三藩市報道會網上的演講崇拜
[00:00:09.680 --> 00:00:13.120]  我們今天繼續思想約翰福音的信息
[00:00:13.120 --> 00:00:17.600]  我們來到約翰福音第十章十九節 也就是三十節
[00:00:17.600 --> 00:00:20.480]  題目是「他到底是誰?」
[00:00:20.480 --> 00:00:25.120]  在思想這段聖經之前 請我們同心協力 同道告
[00:00:25.120 --> 00:00:28.080]  慈悲的羊鞍天父 我們滿心感謝你
[00:00:28.080 --> 00:00:35.760]  你來到世間 為我們被釘在十字架 拯救我們
[00:00:35.760 --> 00:00:42.560]  今天有很多人仍然在這個羊圈以外 未認識你的
[00:00:42.560 --> 00:00:46.160]  求你藉著你的福音打動他們的心
[00:00:46.160 --> 00:00:51.440]  教導我們信了你的人 努力將福音傳開
[00:00:51.440 --> 00:00:55.760]  叫他們都能夠認識耶穌 得著永生的盼望
[00:00:55.760 --> 00:01:00.240]  多謝你 求聖靈向我們每個人講所說的話
[00:01:00.240 --> 00:01:04.400]  無論是提醒的 怨勉的 教導的 安慰的 督責的
[00:01:04.400 --> 00:01:08.240]  求你向我們講說話 改變我們的生命
[00:01:08.240 --> 00:01:12.240]  我們今天禱告 奈何奉耶穌基督名求 阿們
[00:01:12.240 --> 00:01:19.440]  我想大家想一想 假如你擁有一些超然的能力
[00:01:19.440 --> 00:01:24.240]  能夠起死回生 生癌 你碰一碰就會完全康復
[00:01:24.240 --> 00:01:27.440]  一看就知道誰是好人 誰是壞人
[00:01:27.440 --> 00:01:33.040]  並且加以處罰那些壞人 賞一賞那些好人
[00:01:33.040 --> 00:01:38.000]  你可以大量製造食物 分派給飢餓的人士
[00:01:38.000 --> 00:01:44.240]  又可以隻手除去惡勢力 所有不公平的都全部除去
[00:01:44.240 --> 00:01:48.560]  叫得這個社會非常公平 窮人有衣有食
[00:01:48.560 --> 00:01:53.360]  無家可歸者有屋住 無教育的人有書讀
[00:01:53.360 --> 00:02:01.040]  戰爭停止 罪惡斷絕 空氣清新 天下太平 國泰民安
[00:02:01.040 --> 00:02:03.840]  今天如果你有這樣的能力
[00:02:03.840 --> 00:02:09.040]  來到三藩市這個城市 你猜你會做些什麼呢?
[00:02:09.040 --> 00:02:12.560]  我想想如果我有這樣的神力 毫無疑問
[00:02:12.560 --> 00:02:13.840]  我要做的是什麼呢?
[00:02:13.840 --> 00:02:17.920]  首先去醫院看看哪些病人 尤其是那些垂死的病人
[00:02:17.920 --> 00:02:22.800]  就叫他們立刻康復 然後就交回給他們的家人
[00:02:22.800 --> 00:02:26.640]  然後去殯儀館叫死人復活
[00:02:26.640 --> 00:02:32.560]  又去一些治安不好的地方 懲罰那些惡人
[00:02:32.560 --> 00:02:38.480]  惡人不得好報 又清理這個CKR 救濟窮人士
[00:02:38.480 --> 00:02:42.400]  懲罰那些作惡多端的人 那些不負責任的人
[00:02:42.400 --> 00:02:47.120]  我的目的是叫這個城市 這個國家成為一個公平
[00:02:47.120 --> 00:02:53.520]  沒有戰爭 紛爭 邪惡 痛苦 歧視的國家和世界
[00:02:53.520 --> 00:02:58.960]  你說你是不是天方夜譚啊?
[00:02:58.960 --> 00:03:02.480]  哪有這樣的人啊?哪有這樣的神力啊?
[00:03:02.480 --> 00:03:06.320]  事實上不是的 在二千多年前
[00:03:06.320 --> 00:03:09.200]  事實上的確出現了這樣一個人
[00:03:09.200 --> 00:03:13.600]  他擁有超然的能力 他能夠平定風浪
[00:03:13.600 --> 00:03:17.440]  又能夠起死回生 能醫百病
[00:03:17.440 --> 00:03:20.640]  他可以用五餅二魚吃飽五千個男人
[00:03:20.640 --> 00:03:24.480]  奇怪 他不是像我這樣想法
[00:03:24.480 --> 00:03:29.520]  這本聖經在耶穌在世三十多年
[00:03:29.520 --> 00:03:33.040]  記載他的神蹟不超過四十個
[00:03:33.040 --> 00:03:37.280]  這裡他治好那些瘸腿的 過度就趕鬼的
[00:03:37.280 --> 00:03:41.760]  偶然叫死人復活的 或者叫五餅二魚吃飽五千人的
[00:03:41.760 --> 00:03:45.600]  其餘好像沒什麼大的作為
[00:03:45.600 --> 00:03:50.080]  病人仍然會病 死的人仍然會死
[00:03:50.080 --> 00:03:52.640]  亡國被欺負的人仍然是亡國奴
[00:03:52.640 --> 00:03:58.400]  被人欺負 受欺壓 痛苦的仍然是痛苦
[00:03:58.400 --> 00:04:02.240]  國內仍然充滿著不平不安 不和不義
