
[00:00:00.000 --> 00:00:05.240]  我和大家每個月差不多有一次一齊來崇拜
[00:00:05.240 --> 00:00:08.960]  如果你一直有來傳福堂
[00:00:08.960 --> 00:00:11.340]  你就知道我過去兩個月
[00:00:11.340 --> 00:00:14.080]  1月、2月和大家講撒卡尼亞書
[00:00:14.080 --> 00:00:17.760]  講了兩個的議章
[00:00:17.760 --> 00:00:20.960]  我一直在思想究竟還有什麼訊息
[00:00:20.960 --> 00:00:24.280]  和大家一齊來分享呢
[00:00:24.280 --> 00:00:27.840]  我就想著3、4月又講另外一個主題
[00:00:27.840 --> 00:00:29.280]  一個月一次
[00:00:29.280 --> 00:00:34.680]  有兩次的機會我想和大家講聖靈
[00:00:34.680 --> 00:00:40.400]  所以你見到今天你拿出我們港道的大綱
[00:00:40.400 --> 00:00:44.800]  認識聖靈、經歷聖靈的一
[00:00:44.800 --> 00:00:47.520]  我們還有二的 當然有一就有二
[00:00:47.520 --> 00:00:49.840]  有二就4月才講
[00:00:49.840 --> 00:00:52.320]  我們下個月繼續講聖靈
[00:00:52.320 --> 00:00:54.840]  另外一個很重要的真理
[00:00:54.840 --> 00:01:00.880]  其實在聖經裏面關於聖靈很重要的教導
[00:01:00.880 --> 00:01:05.240]  最主要的經文也是集中在這兩段
[00:01:05.240 --> 00:01:08.360]  今天我們是約翰福音這一段
[00:01:08.360 --> 00:01:12.880]  下一次我們講到羅馬書第八章那一段
[00:01:12.880 --> 00:01:15.000]  我們下一次才講到羅馬書
[00:01:15.000 --> 00:01:17.280]  今天先集中在約翰福音
[00:01:17.280 --> 00:01:20.040]  剛才我們所讀的那些經文
[00:01:20.040 --> 00:01:21.440]  如果你有聖經的話
[00:01:21.440 --> 00:01:24.480]  你和我一起打開約翰福音
[00:01:24.480 --> 00:01:26.040]  十四章
[00:01:26.040 --> 00:01:28.600]  我們今天比較多在聖經裏面
[00:01:28.600 --> 00:01:31.680]  十四章、十六章
[00:01:31.680 --> 00:01:34.160]  十五章如果有時間也會講一點
[00:01:34.160 --> 00:01:36.560]  但是我基本都是講十四章
[00:01:36.560 --> 00:01:42.520]  和第十六章的一些教導
[00:01:42.520 --> 00:01:45.240]  為什麼要講聖靈?
[00:01:45.240 --> 00:01:48.880]  我覺得對於我們來說
[00:01:48.880 --> 00:01:54.960]  有時候我們有兩個極端的想法
[00:01:54.960 --> 00:01:57.480]  有些人說你講聖靈
[00:01:57.480 --> 00:01:59.920]  就是靈恩派、靈恩教會
[00:01:59.920 --> 00:02:01.720]  靈恩教會經常講聖靈
[00:02:01.720 --> 00:02:03.600]  我們不是靈恩教會
[00:02:03.600 --> 00:02:05.560]  但是我們告訴大家
[00:02:05.560 --> 00:02:09.480]  靈恩教會講聖靈是他的做法
[00:02:09.480 --> 00:02:12.720]  但是不等於我們不要講聖靈
[00:02:12.720 --> 00:02:18.120]  有時候靈恩教會講聖靈就過火一點
[00:02:18.120 --> 00:02:22.520]  但是有些教會連聖靈都不講就死火
[00:02:22.520 --> 00:02:25.000]  我們不想成為一個死火的教會
[00:02:25.000 --> 00:02:25.520]  為什麼?
[00:02:25.520 --> 00:02:28.000]  因為聖靈其實是很重要的
[00:02:28.000 --> 00:02:30.240]  聖經裏面有些很重要的真理
[00:02:30.240 --> 00:02:33.160]  因為聖靈就是三位一體的神自己
[00:02:33.160 --> 00:02:34.760]  但是一般來說
[00:02:34.760 --> 00:02:38.880]  如果我們說聖父、聖子、聖靈
[00:02:38.880 --> 00:02:40.040]  我不知道你對不對
[00:02:40.040 --> 00:02:44.040]  我估計我們講得出聖靈的
[00:02:44.040 --> 00:02:47.280]  有關方面的認識和真理是最少的
[00:02:47.280 --> 00:02:48.920]  因為聖父我們知道很多
[00:02:48.920 --> 00:02:50.200]  他創造了這個世界
[00:02:50.200 --> 00:02:52.400]  他安排了我們的人生
[00:02:52.400 --> 00:02:54.680]  他有個旨意帶領我們
[00:02:54.680 --> 00:02:55.960]  他有保護我們
[00:02:55.960 --> 00:02:57.040]  他看顧我們
[00:02:57.040 --> 00:02:59.520]  很多東西可以講得到
[00:02:59.520 --> 00:03:01.120]  聖子就更多了
[00:03:01.120 --> 00:03:02.480]  耶穌基督很多了
[00:03:02.480 --> 00:03:03.440]  四個福音書
[00:03:03.440 --> 00:03:05.120]  因為他所做的神蹟
[00:03:05.120 --> 00:03:06.160]  他所講的說話
[00:03:06.160 --> 00:03:07.800]  我們都很熟悉
[00:03:07.800 --> 00:03:11.800]  聖靈呢?
[00:03:11.800 --> 00:03:13.480]  可能講不到五句
[00:03:13.480 --> 00:03:14.440]  是不是?
[00:03:14.440 --> 00:03:17.200]  所以我們說其實都是神自己
[00:03:17.200 --> 00:03:19.120]  神自己不同的身份
[00:03:19.120 --> 00:03:23.560]  但是這個是我們最缺乏認識的
[00:03:23.560 --> 00:03:25.680]  但其實我一會兒會和大家說
[00:03:25.680 --> 00:03:28.880]  聖靈是和我們最貼身關係的
[00:03:28.880 --> 00:03:31.160]  那個所經歷神的部分
[00:03:31.160 --> 00:03:32.840]  那些的體會來的
[00:03:32.840 --> 00:03:34.640]  所以我很有心
[00:03:34.640 --> 00:03:36.400]  想和大家聖經的真理
