
[00:00:00.000 --> 00:00:06.520]  早晨 大家保重身體
[00:00:06.520 --> 00:00:10.000]  陳牧師昨天見到他 今早病了
[00:00:10.000 --> 00:00:14.160]  所以是時冷時熱 大家要留意身體
[00:00:14.160 --> 00:00:17.600]  今天就這個題目 上主的差遣
[00:00:17.600 --> 00:00:18.680]  為什麼這個題目
[00:00:18.680 --> 00:00:21.000]  因為今年的主題就是
[00:00:21.000 --> 00:00:23.240]  「作孫教的群體」
[00:00:23.240 --> 00:00:26.280]  所以就和大家思想一下
[00:00:26.280 --> 00:00:28.560]  這個所謂上主的差遣
[00:00:28.560 --> 00:00:30.720]  或者英文叫mission
[00:00:30.720 --> 00:00:33.320]  孫教的mission這個字
[00:00:33.320 --> 00:00:36.680]  來自希臘文的意思mission
[00:00:36.680 --> 00:00:38.720]  就是差遣的意思
[00:00:38.720 --> 00:00:41.680]  就是委派你一個任務
[00:00:41.680 --> 00:00:42.880]  就是一個mission
[00:00:42.880 --> 00:00:45.080]  本來的意思就是這樣
[00:00:45.080 --> 00:00:49.240]  這段經文就是講上主差遣他七十個門徒
[00:00:49.240 --> 00:00:53.720]  就和上主差遣他七十個門徒思想一下
[00:00:53.720 --> 00:00:56.120]  上主今天怎麼差遣我們
[00:00:56.120 --> 00:00:57.880]  我們先讀經文
[00:00:57.880 --> 00:00:59.000]  經文不多
[00:00:59.000 --> 00:01:03.120]  我們讀完十字或者九字十字的經文
[00:01:03.120 --> 00:01:05.240]  預備起
[00:01:05.240 --> 00:01:09.600]  「這時以後主又設立七十個人
[00:01:09.600 --> 00:01:12.360]  差遣他們兩個兩個地
[00:01:12.360 --> 00:01:18.800]  在他前面往自己所要到的各城各地方去
[00:01:18.800 --> 00:01:20.480]  就對他們說
[00:01:20.480 --> 00:01:24.640]  要收的莊家多 做工的人少
[00:01:24.640 --> 00:01:28.200]  所以你們當求莊家的主
[00:01:28.200 --> 00:01:33.000]  打發工人出去收他的莊家
[00:01:33.000 --> 00:01:34.760]  你們去吧
[00:01:34.760 --> 00:01:36.800]  我差你們出去
[00:01:36.800 --> 00:01:40.000]  如同羊羔進入狼群
[00:01:40.000 --> 00:01:41.720]  不要帶錢囊
[00:01:41.720 --> 00:01:43.680]  不要帶口袋
