
[00:00:00.000 --> 00:00:05.000]  各位姐妹主女平安
[00:00:05.000 --> 00:00:10.000]  今日我想跟大家一齊來到講解的是
[00:00:10.000 --> 00:00:15.000]  詩篇23篇
[00:00:15.000 --> 00:00:20.000]  不用powerpoint了吧 應該你會背吧
[00:00:20.000 --> 00:00:25.000]  會不會啊 可不可以一起背一次啊 不要看任何東西
[00:00:25.000 --> 00:00:30.000]  來 一齊來 耶和華是我的目者
[00:00:30.000 --> 00:00:35.000]  我便不自缺乏 祂使我躺在青草地上
[00:00:35.000 --> 00:00:40.000]  令我在海安協的水邊
[00:00:40.000 --> 00:00:45.000]  祂使我的靈魂甦醒 為自己的命引導我走而路
[00:00:45.000 --> 00:00:50.000]  我雖然行過死刃的幽谷
[00:00:50.000 --> 00:00:55.000]  也不怕造害 因為祢與我同在
[00:00:55.000 --> 00:01:00.000]  祢的醬 祢的肝 都安慰我
[00:01:00.000 --> 00:01:05.000]  在我的人面前 祢為我擺設筵席
[00:01:05.000 --> 00:01:10.000]  祢用油 高了我的頭 使我的福輩滿人
[00:01:10.000 --> 00:01:15.000]  我一生一世 必有恩惠慈愛隨著我
[00:01:15.000 --> 00:01:20.000]  我且要住在耶和華的殿中
[00:01:20.000 --> 00:01:25.000]  直到永遠 恭喜你合格
[00:01:25.000 --> 00:01:30.000]  怎麼可以拿高一點分啊 背希伯來文
[00:01:30.000 --> 00:01:35.000]  拍攝節目應該不會背也會讀
[00:01:35.000 --> 00:01:40.000]  Anyway 詩篇23篇是我們都很喜愛的詩篇
[00:01:40.000 --> 00:01:45.000]  不過背歸背 你要明白
[00:01:45.000 --> 00:01:50.000]  掌握到底在這篇聖經的說話
[00:01:50.000 --> 00:01:55.000]  跟我們說了些什麼呢
[00:01:55.000 --> 00:02:00.000]  一開始就說了一句很特別的應許
[00:02:00.000 --> 00:02:05.000]  耶和華是我的目者
[00:02:05.000 --> 00:02:10.000]  結果是什麼 我必不自缺乏
[00:02:10.000 --> 00:02:15.000]  希伯來文更短 卡道乃羅伊路
[00:02:15.000 --> 00:02:20.000]  好像是一個口號
[00:02:20.000 --> 00:02:25.000]  還是一句說要 我沒有缺乏
[00:02:25.000 --> 00:02:30.000]  我一無所缺
[00:02:30.000 --> 00:02:35.000]  上帝的模樣 我要什麼就有什麼
[00:02:35.000 --> 00:02:40.000]  我們馬上就這樣理解 因為我沒有缺乏
[00:02:40.000 --> 00:02:45.000]  那你缺乏什麼呢 可能在港道上都會這樣問你
[00:02:45.000 --> 00:02:50.000]  不是 因為這只是第一句
[00:02:50.000 --> 00:02:55.000]  讀聖經不可以抽一句出來就任我們自己喜歡
[00:02:55.000 --> 00:03:00.000]  填充
[00:03:00.000 --> 00:03:05.000]  詩篇23篇有六節 剛才是第一節
[00:03:05.000 --> 00:03:10.000]  就是說 跟著聖經告訴我們
[00:03:10.000 --> 00:03:15.000]  怎樣沒有缺乏
[00:03:15.000 --> 00:03:20.000]  你要掌握得好 否則的話
[00:03:20.000 --> 00:03:25.000]  未必是上帝想給我們的
[00:03:25.000 --> 00:03:30.000]  懂不懂得這樣聽
[00:03:30.000 --> 00:03:35.000]  他什麼都可以給我的 那就小朋友扭計了
[00:03:35.000 --> 00:03:40.000]  如果你做過父母都知道
[00:03:40.000 --> 00:03:45.000]  但是我們要學習的就是上帝的模樣
[00:03:45.000 --> 00:03:50.000]  到底什麼是沒有缺乏
[00:03:50.000 --> 00:03:55.000]  我們可能不知道 例如第一段四段的頭一段
[00:03:55.000 --> 00:04:00.000]  你會累了 讓我躺在青草地上
[00:04:00.000 --> 00:04:05.000]  讓我在可安歇的水邊
[00:04:05.000 --> 00:04:10.000]  好美麗的風景 好讓我們舒服的環境
[00:04:10.000 --> 00:04:15.000]  不止這樣 對著羊來說
[00:04:15.000 --> 00:04:20.000]  青草地溪水旁
[00:04:20.000 --> 00:04:25.000]  不是一個在那裏欣賞風景的地方
[00:04:25.000 --> 00:04:30.000]  對羊來說 知不知道是什麼 是深圳自助餐
[00:04:30.000 --> 00:04:35.000]  你躺在桌上都不用走
[00:04:35.000 --> 00:04:40.000]  這邊有和牛 另一邊有生魚片
[00:04:40.000 --> 00:04:45.000]  總之吃到你飽為止
[00:04:45.000 --> 00:04:50.000]  這叫青草地 對著羊 明白這個比喻嗎
[00:04:50.000 --> 00:04:55.000]  對人當然不是 但羊在青草地上
[00:04:55.000 --> 00:05:00.000]  他躺下來就是吃飽了 然後去水吧
[00:05:00.000 --> 00:05:05.000]  任你喝 哇 一個這麼豐富的生活
[00:05:05.000 --> 00:05:10.000]  上帝牧養我
[00:05:10.000 --> 00:05:15.000]  這只是第一段的上半50%
[00:05:15.000 --> 00:05:20.000]  你再背下半 使我的靈魂蘇醒
[00:05:20.000 --> 00:05:25.000]  為自己的命引導我走而路
[00:05:25.000 --> 00:05:30.000]  引導我走而路
[00:05:30.000 --> 00:05:35.000]  這句不是說羊 這是說我們
[00:05:35.000 --> 00:05:46.000]  原來上帝的引導絕對不是停在青草地溪水旁
[00:05:46.000 --> 00:05:52.000]  我們多麼喜歡 上帝啊 一生我躺在這裏吧
[00:05:52.000 --> 00:05:56.000]  上帝啊 你讓我富足吧
[00:05:56.000 --> 00:05:59.000]  聖經不是這樣教的
[00:05:59.000 --> 00:06:04.000]  「真言」到結束之前
[00:06:04.000 --> 00:06:10.000]  記載唯一智慧人的祈禱
[00:06:10.000 --> 00:06:13.000]  你沒有聖經在手了 相信我吧
[00:06:13.000 --> 00:06:15.000]  我背給你聽吧
[00:06:15.000 --> 00:06:18.000]  一個智慧人是怎樣祈禱的
[00:06:18.000 --> 00:06:23.000]  「我求你兩件事情在我有生之年未死以先
