
[00:00:00.000 --> 00:00:07.720]  很高興再見到大家 特別很榮幸坐在許牧師旁邊
[00:00:07.720 --> 00:00:12.280]  許牧師是我以前的上司 在啟礙的時候
[00:00:12.280 --> 00:00:15.320]  今天也很高興講一個題目
[00:00:15.320 --> 00:00:19.600]  其實當時是一年前譚牧師有一次我在這裡講完之後
[00:00:19.600 --> 00:00:24.440]  他問我講不講長者那些題目
[00:00:24.440 --> 00:00:30.560]  我很不小心答應了 我說我學一下
[00:00:30.560 --> 00:00:36.480]  這個題目其實對我來說是很新鮮的
[00:00:36.480 --> 00:00:39.800]  所以索性不如新鮮到底
[00:00:39.800 --> 00:00:42.920]  想一個名字給自己學一下
[00:00:42.920 --> 00:00:45.960]  於是就叫做《可愛的晚年》
[00:00:45.960 --> 00:00:49.360]  希望你聽完之後覺得真是可愛的晚年
[00:00:49.360 --> 00:00:54.920]  這段經文是很小的時候 我讀的時候是沒有什麼感覺
[00:00:54.920 --> 00:01:02.280]  寫到做了社工 到後來越看越覺得不是很對勁
[00:01:02.280 --> 00:01:08.080]  第一句就說 我們一生的年日是70歲
[00:01:08.080 --> 00:01:12.080]  如果是強壯就可以80歲 越看越害怕
[00:01:12.080 --> 00:01:17.400]  如果是強壯就可以有命到80歲 如果不是就70歲
[00:01:17.400 --> 00:01:22.400]  這些感覺如果給少年團契讀是沒有什麼感覺的
[00:01:22.400 --> 00:01:24.720]  青年團契讀也有一點點感覺
[00:01:24.720 --> 00:01:27.400]  長者團契讀就不要讀了
[00:01:27.400 --> 00:01:31.400]  接著再講 你很驚怕的
[00:01:31.400 --> 00:01:36.360]  不過你最覺得自豪的只是捱了一輩子
[00:01:36.360 --> 00:01:39.880]  轉眼成空 回想起來也沒有什麼要講
[00:01:39.880 --> 00:01:44.920]  但是如飛而去 一會兒眨一下眼就過了
[00:01:44.920 --> 00:01:47.760]  我相信大家在合一堂長大
[00:01:47.760 --> 00:01:51.600]  我認識大家的時候很多都是黑頭髮的
[00:01:51.600 --> 00:01:53.600]  也都有頭髮的
[00:01:53.600 --> 00:01:59.760]  慢慢就感覺到歲月是差很快的
[00:01:59.760 --> 00:02:03.800]  但是最重要是問那兩個問題
[00:02:03.800 --> 00:02:07.080]  誰知道上帝的怒氣的權勢呢?
[00:02:07.080 --> 00:02:10.880]  誰按著你該受的敬畏 曉得你的憤怒呢?
[00:02:10.880 --> 00:02:14.880]  我相信問上帝是一個好的問題
[00:02:14.880 --> 00:02:16.880]  但是最後那句很重要
[00:02:16.880 --> 00:02:21.280]  人們經常都說的就是求你指教我
[00:02:21.280 --> 00:02:24.400]  懂得計算 計算自己的日子
[00:02:24.400 --> 00:02:28.840]  我想大家都懂得計算 因為拿長者卡
[00:02:28.840 --> 00:02:31.960]  或者現在叫做綠郵卡
[00:02:31.960 --> 00:02:34.840]  你做一天都不可以拿的
[00:02:34.840 --> 00:02:37.760]  你真的要夠時間才可以拿的
[00:02:37.760 --> 00:02:39.400]  但是夠時間是什麼呢?
[00:02:39.400 --> 00:02:42.120]  不要叫有智慧的心
[00:02:42.120 --> 00:02:46.080]  這裡很熱 昨天下午真的很熱
[00:02:46.080 --> 00:02:49.400]  我在石硤尾一間學校講家長會
[00:02:49.400 --> 00:02:52.120]  當時因為趕時間 下午都沒有吃就去了
[00:02:52.120 --> 00:02:57.240]  講到四點鐘 站了兩個多小時
[00:02:57.240 --> 00:03:01.040]  那個老師就教我運大步道的門口走
[00:03:01.040 --> 00:03:04.440]  誰知道一走 第一次走
[00:03:04.440 --> 00:03:07.880]  走到哪裡都找不到102、112的巴士站
[00:03:07.880 --> 00:03:12.760]  一走 嘩 走到旺角警署那裡
[00:03:12.760 --> 00:03:15.640]  嘩 太子站
[00:03:15.640 --> 00:03:18.800]  我想我真的跑掉了一個巴士站 看不到
[00:03:18.800 --> 00:03:23.960]  當時穿著西裝 街上的人個個看著我
[00:03:23.960 --> 00:03:27.640]  我問自己 余先生 你怎麼這麼厲害
[00:03:27.640 --> 00:03:29.800]  熱成這樣還可以走這麼久
[00:03:29.800 --> 00:03:33.480]  不過我突然想起一個人 閃一閃過
[00:03:33.480 --> 00:03:36.960]  當年我在西貢教書的時候 冬天
[00:03:36.960 --> 00:03:39.440]  我就搬進去西貢住
[00:03:39.440 --> 00:03:43.800]  當時我婆婆是75歲
[00:03:43.800 --> 00:03:48.240]  幫我拿行李 當時我拿著兩隻手提行李箱
[00:03:48.240 --> 00:03:51.080]  我婆婆就幫我摺起來
[00:03:51.080 --> 00:03:55.760]  抱著一張鹿架床
[00:03:55.760 --> 00:03:58.200]  我婆婆真的很厲害
[00:03:58.200 --> 00:04:01.600]  我媽就拿著一個大棉袋
[00:04:01.600 --> 00:04:05.280]  我婆婆媽媽和我三個人
[00:04:05.280 --> 00:04:08.080]  在菠蘿茄那裡走上山頂
[00:04:08.080 --> 00:04:11.280]  當時租了一間小房子
[00:04:11.280 --> 00:04:16.680]  我不明白 為什麼我婆婆這麼重視我這次搬屋
[00:04:16.680 --> 00:04:20.800]  其實我是一個不合格的教師 只不過是代課
[00:04:20.800 --> 00:04:23.240]  為什麼對一個大孫
[00:04:23.240 --> 00:04:26.920]  去那些鄉村地方教小學
[00:04:26.920 --> 00:04:29.840]  為什麼她這麼重視
[00:04:29.840 --> 00:04:35.360]  不找我的舅父親身出馬 75歲
[00:04:35.360 --> 00:04:37.400]  後來我聽到一些人告訴我
[00:04:37.400 --> 00:04:40.360]  我婆婆在維多利亞公園周圍在晨運的時候說
[00:04:40.360 --> 00:04:43.160]  我孫教書的
[00:04:43.160 --> 00:04:45.360]  我想寫一封信給她 叫她小心點說
[00:04:45.360 --> 00:04:49.240]  因為我不是一個標準的
[00:04:49.240 --> 00:04:52.480]  合資格的專業的教師
[00:04:52.480 --> 00:04:55.840]  直到1997年
[00:04:55.840 --> 00:04:59.680]  我婆婆在律敦治醫院臨終的那一刻
[00:04:59.680 --> 00:05:03.080]  我陪她 到第二天早上
[00:05:03.080 --> 00:05:07.480]  她帶了我媽媽出去拿點水 她媽媽是護士
[00:05:07.480 --> 00:05:09.200]  單獨跟我說
[00:05:09.200 --> 00:05:11.320]  她說 你知不知道
[00:05:11.320 --> 00:05:14.440]  你媽媽是唯一一個可以讀書在打仗的時候
[00:05:14.440 --> 00:05:16.520]  因為是讀護士
[00:05:16.520 --> 00:05:21.360]  後來你去教書 我很開心
[00:05:21.360 --> 00:05:24.640]  我有一個孫可以去服務人去教書
[00:05:24.640 --> 00:05:28.160]  所以我鼓勵你 用心點
[00:05:28.160 --> 00:05:30.720]  其實當年我已經在理工大學教書
[00:05:30.720 --> 00:05:35.560]  我想她很自豪 有一個男孫教書
[00:05:35.560 --> 00:05:39.680]  接著我媽回來 我婆婆就斷氣了
[00:05:39.680 --> 00:05:41.520]  我媽抱著她媽媽
[00:05:41.520 --> 00:05:45.960]  我婆婆就說 媽媽你安息吧
[00:05:45.960 --> 00:05:50.520]  這一幕就令我明白 為什麼昨天
[00:05:50.520 --> 00:05:53.360]  好像我不是很感覺到熱
[00:05:53.360 --> 00:05:57.960]  穿西裝 在石硤尾行去太子站
[00:05:57.960 --> 00:06:01.560]  有什麼辛苦 我不覺得有什麼辛苦
[00:06:01.560 --> 00:06:03.400]  我想我婆婆給了我一個智慧
[00:06:03.400 --> 00:06:08.880]  讓我看到 如果人生怎麼用都要過的
[00:06:08.880 --> 00:06:10.640]  不過如果你用起來
[00:06:10.640 --> 00:06:16.560]  你覺得很值得過 值得過的地方是無憾的
[00:06:16.560 --> 00:06:19.480]  是不記得熱的 真的不記得熱
[00:06:19.480 --> 00:06:22.720]  回家我就發現原來腳軟
[00:06:22.720 --> 00:06:24.560]  但現在竟然不知道
[00:06:24.560 --> 00:06:28.080]  我才明白原來得到一個智慧
[00:06:28.080 --> 00:06:30.680]  知道應該做什麼
[00:06:30.680 --> 00:06:34.680]  是一個人生的力量 這個是力量
[00:06:34.680 --> 00:06:36.840]  問題就是懂不懂得數算日子
[00:06:36.840 --> 00:06:39.920]  我婆婆就在數 打仗的時候
[00:06:39.920 --> 00:06:43.320]  她女兒讀護士 後來生了我
[00:06:43.320 --> 00:06:46.040]  我是她第一個大孫 教了幾年書
[00:06:46.040 --> 00:06:50.560]  她數算日子 她會找到我所鼓勵的
[00:06:50.560 --> 00:06:54.960]  繼續做 是沒有錯的 是值得的
[00:06:54.960 --> 00:06:57.760]  很多年我都服侍很多癌症病人
[00:06:57.760 --> 00:07:01.760]  那些人都經常問我 為什麼上帝愛我呢
[00:07:01.760 --> 00:07:04.320]  讓他生癌症 上帝愛我們
[00:07:04.320 --> 00:07:08.240]  為什麼有這樣的病 早點死掉吧
[00:07:08.240 --> 00:07:10.160]  很多時候我回答這些問題的時候
[00:07:10.160 --> 00:07:13.240]  我都在看 她都在數算日子
[00:07:13.240 --> 00:07:17.440]  日子無多 但問題就是她想不到做什麼
[00:07:17.440 --> 00:07:19.960]  有整天想不到做什麼
[00:07:19.960 --> 00:07:25.720]  那次痛苦 我後來看《約伯記》
[00:07:25.720 --> 00:07:27.600]  《約伯記》加上《仁王》這麼慘
[00:07:27.600 --> 00:07:29.520]  大家看《萬聖經》就知道
[00:07:29.520 --> 00:07:33.560]  但其實她傷心的東西 傷心什麼呢
[00:07:33.560 --> 00:07:36.840]  她傷心她敬愛的上帝
[00:07:36.840 --> 00:07:42.360]  竟然讓她遇到苦難
[00:07:42.360 --> 00:07:44.040]  《約伯記九章》說
[00:07:44.040 --> 00:07:48.080]  祂無故令我飽受創傷 不肯讓我喘息
[00:07:48.080 --> 00:07:50.480]  令我嘗盡苦頭
