
[00:00:00.000 --> 00:00:02.000]  各位兄弟姐妹 早安
[00:00:02.000 --> 00:00:06.000]  再次多謝主給我機會和大家在過去的幾個月裡
[00:00:06.000 --> 00:00:09.000]  有機會分享神的說話 特別是訴羅王
[00:00:09.000 --> 00:00:12.000]  以色列第一個皇帝的生平
[00:00:12.000 --> 00:00:16.000]  再次多謝李牧師教會給我的機會和大家分享
[00:00:16.000 --> 00:00:21.000]  我相信在加拿大 我最多講到的地方都是在溫哥華博道會
[00:00:21.000 --> 00:00:23.000]  都是大家給我的機會
[00:00:23.000 --> 00:00:27.000]  我過幾個星期 一月初我就會回香港
[00:00:27.000 --> 00:00:30.000]  在這裡有一段很長的時間
[00:00:30.000 --> 00:00:33.000]  今天主給我這裡有很多的學習
[00:00:33.000 --> 00:00:35.000]  請大家繼續紀念我寫書的進度
[00:00:35.000 --> 00:00:37.000]  非常之大落後
[00:00:37.000 --> 00:00:39.000]  所以應該交不到功課
[00:00:39.000 --> 00:00:42.000]  請大家繼續紀念我的需要
[00:00:42.000 --> 00:00:47.000]  在這裡再次把博路神學院的文案帶給大家
[00:00:47.000 --> 00:00:50.000]  很多弟兄姐妹都很有心去問
[00:00:50.000 --> 00:00:54.000]  我上一次提過向博路神學院的奉獻
[00:00:54.000 --> 00:00:57.000]  現在和這裡的機構有一個默契
[00:00:57.000 --> 00:01:01.000]  他們可以把錢透過他們的基金會轉給香港
[00:01:01.000 --> 00:01:03.000]  如果一切順利的話
[00:01:03.000 --> 00:01:05.000]  我下星期或者請教會幫忙
[00:01:05.000 --> 00:01:11.000]  把奉獻的方法或登在程序表讓大家知道
[00:01:11.000 --> 00:01:15.000]  請大家紀念我的需要 多謝大家的關心
[00:01:15.000 --> 00:01:20.000]  最後一堂在這段時間和大家分享
[00:01:20.000 --> 00:01:24.000]  我再請教李牧師
[00:01:24.000 --> 00:01:26.000]  李牧師說不如說回數羅
[00:01:26.000 --> 00:01:28.000]  我再想想聖誕節
[00:01:28.000 --> 00:01:30.000]  我想有很多機會聽到聖誕節的訊息
[00:01:30.000 --> 00:01:32.000]  我再說回數羅
[00:01:32.000 --> 00:01:34.000]  說回數羅的問題有些難處
[00:01:34.000 --> 00:01:36.000]  最初我預計三堂
[00:01:36.000 --> 00:01:38.000]  現在突然多四堂又如何呢
[00:01:38.000 --> 00:01:40.000]  所以我在時序上就不對了
[00:01:40.000 --> 00:01:42.000]  因為我說回數羅的開始
[00:01:42.000 --> 00:01:44.000]  在結束的時候說的開始
[00:01:44.000 --> 00:01:46.000]  不好意思
[00:01:46.000 --> 00:01:48.000]  但我估計這樣可能有好處
[00:01:48.000 --> 00:01:54.000]  我們看看原來最先神夫召數羅的目的是什麼
[00:01:54.000 --> 00:01:57.000]  到他後來一路成長一路有機會侍奉神的時候
[00:01:57.000 --> 00:01:59.000]  又走去什麼方向
[00:01:59.000 --> 00:02:01.000]  一個好對比
[00:02:01.000 --> 00:02:08.000]  我們一會在和大家分享的數羅生平裡
[00:02:08.000 --> 00:02:10.000]  不知道大家還有沒有印象
[00:02:10.000 --> 00:02:38.000]  在九月的時間
[00:02:38.000 --> 00:02:42.000]  十月的時間我們要調教自己人生的動機
[00:02:42.000 --> 00:02:44.000]  為了什麼來跟從神
[00:02:44.000 --> 00:02:46.000]  為了什麼來侍奉神
[00:02:46.000 --> 00:02:48.000]  然後在十月的時間
[00:02:48.000 --> 00:02:51.000]  我們說到調教自己人生的底線
[00:02:51.000 --> 00:02:54.000]  我們肯不肯在侍奉神的時間
[00:02:54.000 --> 00:02:57.000]  很坦誠地面對自己
[00:02:57.000 --> 00:02:59.000]  還是我們有些hidden agenda
[00:02:59.000 --> 00:03:01.000]  有些在心裡想做的事
[00:03:01.000 --> 00:03:03.000]  但不想給神知道
[00:03:03.000 --> 00:03:07.000]  在上個月和大家說到成長
[00:03:07.000 --> 00:03:11.000]  不是一個人的事
[00:03:11.000 --> 00:03:13.000]  在正常基督徒的生活裡
