
[00:00:00.000 --> 00:00:06.240]  各位家長 你好 我是余德信博士
[00:00:06.240 --> 00:00:08.440]  今天我想和你分享一個題目
[00:00:08.440 --> 00:00:12.840]  這個題目我很喜歡 叫做童年的守護者
[00:00:12.840 --> 00:00:16.960]  就是小朋友的時候 誰保護他呢
[00:00:16.960 --> 00:00:19.280]  可能你說可能是我
[00:00:19.280 --> 00:00:21.200]  我想先問你一個問題
[00:00:21.200 --> 00:00:24.600]  你覺得自己做這個位置你喜不喜歡呢
[00:00:24.600 --> 00:00:26.600]  可能你說提心吊膽
[00:00:26.600 --> 00:00:30.000]  特別現在大家見到戴口罩在疫情
[00:00:30.000 --> 00:00:33.600]  的確做一個守護者是一個很困難
[00:00:33.600 --> 00:00:35.600]  也很偉大的工作
[00:00:35.600 --> 00:00:38.000]  開始的時候我引你一個興趣
[00:00:38.000 --> 00:00:39.760]  先回答我一個問題
[00:00:39.760 --> 00:00:43.560]  很多時候我都講情緒哲學
[00:00:43.560 --> 00:00:46.480]  我想起一個一分鐘的故事
[00:00:46.480 --> 00:00:52.440]  是講一對雙胞胎快要出生了
[00:00:52.440 --> 00:00:54.440]  真的是一個故事
[00:00:54.440 --> 00:00:57.800]  這對雙胞胎在媽媽的肚子裡
[00:00:57.800 --> 00:01:00.520]  最後就講了兩個說話
[00:01:00.520 --> 00:01:02.520]  就是他們吵架
[00:01:02.520 --> 00:01:07.840]  大的那個就說我不想出去
[00:01:07.840 --> 00:01:12.600]  因為在媽媽的肚子裡好吃好住
[00:01:12.600 --> 00:01:15.160]  出去都不知道這些東西適不適合我
[00:01:15.160 --> 00:01:17.160]  還有這裡很安全
[00:01:17.160 --> 00:01:20.200]  十個月了 很舒服
[00:01:20.200 --> 00:01:23.560]  我不出世了 抗疫這樣
[00:01:23.560 --> 00:01:27.160]  小的就說有沒有搞錯
[00:01:27.160 --> 00:01:29.560]  關了十個月這麼久
[00:01:29.560 --> 00:01:31.560]  就算你說好吃好住都好
[00:01:31.560 --> 00:01:33.560]  你怎麼知道外面的世界
[00:01:33.560 --> 00:01:35.560]  雖然聽聞很大
[00:01:35.560 --> 00:01:37.560]  很多美麗的東西看的
[00:01:37.560 --> 00:01:41.160]  你不出世 我都走
[00:01:41.160 --> 00:01:43.160]  但是大的就警告
[00:01:43.160 --> 00:01:45.160]  遲大一剪掉之後
[00:01:45.160 --> 00:01:47.160]  我們就會沒命了
[00:01:47.160 --> 00:01:51.160]  最後這對雙胞胎的故事就講完了
[00:01:51.160 --> 00:01:53.160]  其實呢
[00:01:53.160 --> 00:01:55.160]  它都令你想起
[00:01:55.160 --> 00:01:57.160]  現在這個時候做一個小孩子
[00:01:57.160 --> 00:01:59.160]  有沒有講過呢
[00:01:59.160 --> 00:02:01.160]  做人很辛苦呢
[00:02:01.160 --> 00:02:03.160]  做功課很辛苦呢
[00:02:03.160 --> 00:02:05.160]  甚至會說媽媽
[00:02:05.160 --> 00:02:09.160]  為什麼你和爸爸要我出世呢
[00:02:09.160 --> 00:02:11.160]  所以我希望你今天聽這個內容
[00:02:11.160 --> 00:02:13.160]  不用一個小時
[00:02:13.160 --> 00:02:15.160]  可能是五十分鐘內
[00:02:15.160 --> 00:02:19.160]  你找一個答案就是究竟出世好還是不出世好呢
[00:02:19.160 --> 00:02:21.160]  我喜歡這個題目
[00:02:21.160 --> 00:02:23.160]  童年守護者
[00:02:23.160 --> 00:02:25.160]  就講平安
[00:02:25.160 --> 00:02:27.160]  有誰可以保證
[00:02:27.160 --> 00:02:29.160]  一個小孩子在童年的時候平安呢
[00:02:29.160 --> 00:02:31.160]  我想你
[00:02:31.160 --> 00:02:33.160]  你是相信的
[00:02:33.160 --> 00:02:35.160]  起碼你做了家長
[00:02:35.160 --> 00:02:37.160]  你的確童年很平安
[00:02:37.160 --> 00:02:39.160]  所以你做了家長
[00:02:39.160 --> 00:02:41.160]  這個世界最有把握
[00:02:41.160 --> 00:02:43.160]  你問我一句話
[00:02:43.160 --> 00:02:45.160]  是一句什麼話呢
[00:02:45.160 --> 00:02:47.160]  這句話就在聖經
[00:02:47.160 --> 00:02:49.160]  我只講一句
[00:02:49.160 --> 00:02:51.160]  賜平安的神
[00:02:51.160 --> 00:02:53.160]  必定和你同在
[00:02:53.160 --> 00:02:55.160]  賜平安的神
[00:02:55.160 --> 00:02:57.160]  必定和你同在
[00:02:57.160 --> 00:02:59.160]  這個把握就是
[00:02:59.160 --> 00:03:01.160]  答應你
[00:03:01.160 --> 00:03:03.160]  必定的
[00:03:03.160 --> 00:03:05.160]  因為平安是賜給你的
[00:03:05.160 --> 00:03:07.160]  不是你賺回來的
[00:03:07.160 --> 00:03:09.160]  所以我今天講一講
[00:03:09.160 --> 00:03:11.160]  你聽到原來講聖經都講到平安的心理
[00:03:11.160 --> 00:03:13.160]  都不錯
[00:03:13.160 --> 00:03:15.160]  不妨你聽聽
[00:03:15.160 --> 00:03:17.160]  如果用十秒鐘
[00:03:17.160 --> 00:03:19.160]  去讚這個小孩子
[00:03:19.160 --> 00:03:21.160]  這個小孩子生得很好
[00:03:21.160 --> 00:03:23.160]  這個小孩子成長很成功
[00:03:23.160 --> 00:03:25.160]  給十秒鐘
[00:03:25.160 --> 00:03:27.160]  我會說他好學
[00:03:27.160 --> 00:03:29.160]  IQ
[00:03:29.160 --> 00:03:31.160]  他好學
[00:03:31.160 --> 00:03:33.160]  第二他會感恩
[00:03:33.160 --> 00:03:35.160]  會多謝人
[00:03:35.160 --> 00:03:37.160]  社交智商SQ
[00:03:37.160 --> 00:03:39.160]  第三會原諒
[00:03:39.160 --> 00:03:41.160]  寬恕人EQ
[00:03:41.160 --> 00:03:43.160]  即是說
[00:03:43.160 --> 00:03:45.160]  好學
[00:03:45.160 --> 00:03:47.160]  感謝
[00:03:47.160 --> 00:03:49.160]  寬恕
[00:03:49.160 --> 00:03:51.160]  如果這個氣質
[00:03:51.160 --> 00:03:53.160]  齊在一個小孩子
[00:03:53.160 --> 00:03:55.160]  小學畢業有這個東西
[00:03:55.160 --> 00:03:57.160]  我一定會猜到
[00:03:57.160 --> 00:03:59.160]  將來一千人一萬人
[00:03:59.160 --> 00:04:01.160]  都好
[00:04:01.160 --> 00:04:03.160]  他都是一個很傑出的小孩子
[00:04:03.160 --> 00:04:05.160]  因為他一定是來自一個家
[00:04:05.160 --> 00:04:07.160]  送給他一個很大的禮物
[00:04:07.160 --> 00:04:09.160]  就是一個家教
[00:04:09.160 --> 00:04:11.160]  家庭的教育
[00:04:11.160 --> 00:04:13.160]  因為這些東西好學
[00:04:13.160 --> 00:04:15.160]  感謝
[00:04:15.160 --> 00:04:17.160]  以及寬恕
[00:04:17.160 --> 00:04:19.160]  不是天生就有的
[00:04:19.160 --> 00:04:21.160]  天生是沒有的
[00:04:21.160 --> 00:04:23.160]  是沒有的
[00:04:23.160 --> 00:04:25.160]  所以你有時想起
[00:04:25.160 --> 00:04:27.160]  一切來自甚麼呢
[00:04:27.160 --> 00:04:29.160]  就是他的生命裏面
[00:04:29.160 --> 00:04:31.160]  是有一個教導的
[00:04:31.160 --> 00:04:33.160]  剛才我說
