
[00:00:00.000 --> 00:00:02.000]  (字幕:梁靜茹)
[00:00:02.800 --> 00:00:04.000]  各位網友早安
[00:00:04.000 --> 00:00:07.200]  我剛才提過
[00:00:07.200 --> 00:00:13.360]  看啟示錄不要將它看成2012年那樣
[00:00:13.360 --> 00:00:16.960]  使徒日漢在他的時候
[00:00:16.960 --> 00:00:18.560]  他真的看到一些東西
[00:00:18.560 --> 00:00:22.160]  通常我們去解釋啟示錄
[00:00:22.160 --> 00:00:26.080]  就是一種象徵性的
[00:00:26.080 --> 00:00:27.680]  好像數字
[00:00:27.680 --> 00:00:29.440]  好像代表一個事物
[00:00:30.320 --> 00:00:32.600]  一種形象性的
[00:00:32.600 --> 00:00:34.000]  好像災難
[00:00:34.000 --> 00:00:38.120]  好像今天我們所看的這張聖經
[00:00:38.120 --> 00:00:41.120]  我們是很肯定
[00:00:41.120 --> 00:00:46.760]  上帝是要將未來的景況給漢看
[00:00:46.760 --> 00:00:49.960]  所以漢看到將來世界
[00:00:49.960 --> 00:00:52.680]  一些很大的事情會發生
[00:00:52.680 --> 00:00:55.400]  而這些事情一定是和我們現在不同
[00:00:55.400 --> 00:00:56.560]  和他當時不同
[00:00:56.560 --> 00:00:58.640]  是很特別的
[00:00:59.240 --> 00:01:01.240]  他就將它記載下來
[00:01:01.240 --> 00:01:04.040]  在記載的過程裏面
[00:01:04.040 --> 00:01:07.080]  他能夠解釋的
[00:01:07.080 --> 00:01:08.920]  就用一個象徵性
[00:01:08.920 --> 00:01:10.920]  就是舊約的語言去解釋
[00:01:10.920 --> 00:01:13.160]  另外形象性的
[00:01:13.160 --> 00:01:15.560]  他就是將他能夠看到的
[00:01:15.560 --> 00:01:17.520]  能夠描述的
[00:01:17.520 --> 00:01:19.280]  就用那些形象
[00:01:19.280 --> 00:01:20.080]  例如星
[00:01:20.080 --> 00:01:23.080]  例如天地動
[00:01:23.080 --> 00:01:25.560]  山搖等等的東西去描述
[00:01:25.560 --> 00:01:27.560]  所以今天我們看
[00:01:28.160 --> 00:01:29.840]  這張的啟示錄
[00:01:29.840 --> 00:01:31.800]  很多人就問
[00:01:31.800 --> 00:01:33.520]  究竟是代表什麼?
[00:01:33.520 --> 00:01:35.200]  有沒有可能?
[00:01:35.200 --> 00:01:37.440]  我可以和大家說
[00:01:37.440 --> 00:01:40.200]  在過去或者我們會覺得
[00:01:40.200 --> 00:01:41.640]  啟示錄所記載的東西
[00:01:41.640 --> 00:01:45.600]  可能是約翰幻想或者續夢
[00:01:45.600 --> 00:01:48.760]  但是隨著歷史一直的發展
[00:01:48.760 --> 00:01:51.080]  約翰所見的真實性
[00:01:51.080 --> 00:01:52.960]  就越來越明顯
[00:01:52.960 --> 00:01:55.400]  意思就是說隨著時間
[00:01:55.400 --> 00:01:57.720]  我們是越來越能夠
[00:01:58.120 --> 00:01:58.920]  解釋
[00:01:58.920 --> 00:02:01.840]  所以是越近末世的時候
[00:02:01.840 --> 00:02:03.320]  是越能夠解釋
[00:02:03.320 --> 00:02:05.560]  雖然解釋未必完全是
[00:02:05.560 --> 00:02:06.600]  一致
[00:02:06.600 --> 00:02:07.960]  因為我們還未看得完
[00:02:07.960 --> 00:02:09.960]  但是我們可以解釋到
[00:02:09.960 --> 00:02:12.760]  所以今天我們去看這張聖經
[00:02:12.760 --> 00:02:14.760]  我們就要回顧
[00:02:14.760 --> 00:02:17.760]  就在約翰開始的時候
[00:02:17.760 --> 00:02:20.280]  天使就和他說
[00:02:20.280 --> 00:02:21.560]  有一個書卷
[00:02:21.560 --> 00:02:26.160]  那個書卷就是有人封了
[00:02:26.680 --> 00:02:28.080]  總共有七個印
[00:02:28.080 --> 00:02:30.000]  這七個印
[00:02:30.000 --> 00:02:31.120]  前面說過了
[00:02:31.120 --> 00:02:33.000]  第一印、第二印、第三印、第四印
[00:02:33.000 --> 00:02:33.920]  有四個碼
[00:02:33.920 --> 00:02:35.040]  大家記得
[00:02:35.040 --> 00:02:37.720]  第五印、第六印就是災難
[00:02:37.720 --> 00:02:39.040]  地動山搖
[00:02:39.040 --> 00:02:41.760]  第五、第六印我沒有詳細說
[00:02:41.760 --> 00:02:43.240]  因為第五、第六印其實
[00:02:43.240 --> 00:02:45.480]  它所發生的事情在後面
[00:02:45.480 --> 00:02:47.560]  才詳細把它說明出來
[00:02:47.560 --> 00:02:50.240]  然後就開第七印了
[00:02:50.240 --> 00:02:53.000]  第七印開完之後
[00:02:53.000 --> 00:02:54.160]  意思就是說
[00:02:54.160 --> 00:02:56.040]  書卷就可以打開了
[00:02:56.400 --> 00:02:57.600]  書卷打開之後
[00:02:57.600 --> 00:03:01.000]  最終極的事情就會揭露出來
[00:03:01.000 --> 00:03:04.280]  但是第七印打開的時候
[00:03:04.280 --> 00:03:07.680]  就有很多事情發生了
