
[00:00:00.000 --> 00:00:06.400]  今晚我們進入約翰福音第四章
[00:00:06.400 --> 00:00:12.280]  是耶穌向一個撒瑪利亞打水的婦人傳福音
[00:00:12.280 --> 00:00:17.280]  這件事與我們上次所查的第三章
[00:00:17.280 --> 00:00:22.800]  耶穌與尼哥底姆傳道實在有很強烈的對比
[00:00:22.800 --> 00:00:29.680]  這個對比強烈到好像日頭和夜晚一樣
[00:00:29.680 --> 00:00:34.160]  而事實上他們兩個人來見耶穌的時間
[00:00:34.160 --> 00:00:36.680]  真正是日頭和夜晚
[00:00:36.680 --> 00:00:46.400]  耶穌見這個婦人是在中午烈日之下等她出現
[00:00:46.400 --> 00:00:53.680]  而尼哥底姆大家記得是晚上他自己靜悄悄來找耶穌聊天
[00:00:53.680 --> 00:00:58.560]  沒錯尼哥底姆是主動來找耶穌不是耶穌去找他
[00:00:58.560 --> 00:01:05.920]  但這個婦人卻是耶穌主動的甚至排除萬難
[00:01:05.920 --> 00:01:12.000]  去到一般人一般猶太人都不去的撒瑪利亞地來找他
[00:01:12.000 --> 00:01:17.200]  而他們兩個人在社會上的地位當然也很不同
[00:01:17.200 --> 00:01:22.040]  尼哥底姆是一個德高望重的老師
[00:01:22.040 --> 00:01:29.040]  而且是一個宗教的領袖他一生是熟讀舊約
[00:01:29.040 --> 00:01:34.040]  相信他也是很努力地去遵守律法
[00:01:34.040 --> 00:01:40.600]  所以可以說人來看是一個很出色的人是一個好人
[00:01:40.600 --> 00:01:48.040]  但這個撒瑪利亞婦人卻是一個生活不檢點聲名狼藉的女人
[00:01:48.040 --> 00:01:52.520]  她自己也知道其他人看不起她
[00:01:52.520 --> 00:01:57.320]  所以她連打水也不想和其他婦女在一起
[00:01:57.320 --> 00:02:03.400]  所以這是一個背景和道德很有問題的女人
[00:02:03.400 --> 00:02:13.480]  耶穌和他們所說的福音內容和耶穌傳福音的方法相當不同
[00:02:13.480 --> 00:02:20.360]  她和尼哥底姆開門見山告訴尼哥底姆你要和神的國有份
[00:02:20.360 --> 00:02:26.040]  你要重生然後耶穌就解釋給他聽什麼是重生
[00:02:26.040 --> 00:02:32.440]  你記得我們解釋耶穌是要告訴他你要得到神給你的生命
[00:02:32.440 --> 00:02:40.200]  是神賜給你的你是沒有任何的努力或者功德去賺取救恩的
[00:02:40.200 --> 00:02:47.480]  但和這個婦人 耶穌和她談活水 因為他們在井邊
[00:02:47.480 --> 00:02:52.360]  用這個婦人能夠明白的話題來和她說
[00:02:52.360 --> 00:02:57.000]  這是兩個人不同的地方
[00:02:57.000 --> 00:03:01.960]  兩個人有沒有相同之處呢?有
[00:03:01.960 --> 00:03:06.440]  他們兩個來耶穌之前都不得救
