
[00:00:00.000 --> 00:00:05.760]  羅馬書第39章
[00:00:05.760 --> 00:00:11.120]  今天要講羅馬書15章14-33節
[00:00:11.120 --> 00:00:13.440]  我們剛才讀了經文
[00:00:13.440 --> 00:00:19.120]  今天的主題是以行動活出恩順清義
[00:00:19.120 --> 00:00:24.880]  我們知道在羅馬書裡給我們有恩順清義的教導
[00:00:24.880 --> 00:00:29.520]  但我們也很需要將恩順清義的教導活出來
[00:00:29.520 --> 00:00:35.120]  我時時都說我們基督徒就好像一個人頭很大
[00:00:35.120 --> 00:00:38.640]  腳很小 走不出來
[00:00:38.640 --> 00:00:42.960]  其實我時時這樣說是我自己的寫照
[00:00:42.960 --> 00:00:45.680]  我四歲才懂得走路
[00:00:45.680 --> 00:00:50.000]  頭很大 我的花名叫大頭君
[00:00:50.000 --> 00:00:52.560]  但那雙腳就細到不得了
[00:00:52.560 --> 00:00:57.360]  走路上頭大先 兩隻腳就跟著去
[00:00:57.360 --> 00:01:01.280]  所以經常撞牆 撞桌角
[00:01:01.280 --> 00:01:04.560]  我的臉也開過刀 要縫針
[00:01:04.560 --> 00:01:07.040]  還衝過玻璃門
[00:01:07.040 --> 00:01:12.800]  以前的玻璃不像現在的安全措施的玻璃
[00:01:12.800 --> 00:01:14.160]  是很危險的
[00:01:14.160 --> 00:01:16.160]  所以我們都要小心
[00:01:16.160 --> 00:01:19.440]  千萬不要將頭很大 兩雙腳很小
[00:01:19.440 --> 00:01:25.680]  保羅在這裡教我們怎樣能夠活出恩順清義
[00:01:25.680 --> 00:01:29.280]  心水清的弟兄姊妹就會說
[00:01:29.280 --> 00:01:34.000]  牧師你上一次才說完第35桿
[00:01:34.000 --> 00:01:36.800]  為什麼現在這麼快說是第39桿
[00:01:36.800 --> 00:01:41.920]  其實我在幾年前已經說完羅馬書第14章
[00:01:41.920 --> 00:01:43.920]  也說了第15章頭
[00:01:43.920 --> 00:01:46.560]  所以已經說了這三篇的道
[00:01:46.560 --> 00:01:50.640]  就是36桿、37桿和38桿
[00:01:50.640 --> 00:01:53.040]  所以今天就是第39桿
[00:01:53.040 --> 00:01:55.360]  下一次就是第40桿
[00:01:55.360 --> 00:01:58.080]  整個羅馬書只有40桿
[00:01:58.080 --> 00:02:00.080]  所以下一次就是最後一桿
[00:02:00.080 --> 00:02:04.160]  如果認識我的弟兄姊妹都知道
[00:02:04.160 --> 00:02:06.960]  我是非常喜愛舊約
[00:02:06.960 --> 00:02:12.480]  但是羅馬書就是第一部令我喜愛新約的書
[00:02:12.480 --> 00:02:17.760]  其實整部羅馬書都是一個首尾的結構
[00:02:17.760 --> 00:02:21.200]  這個首尾的結構一共有三層
[00:02:21.200 --> 00:02:22.400]  是很簡單的
[00:02:22.400 --> 00:02:24.400]  第一層是什麼
[00:02:24.400 --> 00:02:27.920]  一頭一尾都是說到福音
[00:02:27.920 --> 00:02:30.720]  在羅馬書的一章一至五節
[00:02:30.720 --> 00:02:32.720]  保羅說是神的福音
[00:02:32.720 --> 00:02:36.560]  在羅馬書的十六章二十五至二十七節
[00:02:36.560 --> 00:02:39.520]  保羅說是他所傳的福音
[00:02:39.520 --> 00:02:41.840]  一頭一尾都是說福音
[00:02:41.840 --> 00:02:44.800]  第二層是文安
[00:02:44.800 --> 00:02:48.480]  在羅馬書的一章六節和七節
[00:02:48.480 --> 00:02:51.280]  保羅向羅馬教會文安
[00:02:51.280 --> 00:02:55.840]  然後去到羅馬書最後他再次向他們文安
[00:02:55.840 --> 00:02:59.840]  在羅馬書的十六章一至二十四節
[00:02:59.840 --> 00:03:03.440]  這個就是我下次要和大家講的篇道
[00:03:03.440 --> 00:03:05.440]  有人說牧師
[00:03:05.440 --> 00:03:08.640]  文安你都可以來講一篇道
[00:03:08.640 --> 00:03:10.640]  是什麼來的?
[00:03:10.640 --> 00:03:14.880]  我講這麼多道就是要和大家一起來讀經
[00:03:14.880 --> 00:03:16.880]  所以我時時都說
[00:03:16.880 --> 00:03:20.320]  千萬不要以為有些經文有很多人名
[00:03:20.320 --> 00:03:22.320]  又有很多經文
[00:03:22.320 --> 00:03:24.320]  好像文安那樣你就不去讀
[00:03:24.320 --> 00:03:26.320]  跳掉它
[00:03:26.320 --> 00:03:29.200]  其實所有聖經裡面的經文
[00:03:29.200 --> 00:03:31.200]  都是與我們有益
[00:03:31.200 --> 00:03:33.200]  都是給我們的教導
[00:03:33.200 --> 00:03:35.200]  所以千萬不要跳掉不讀
[00:03:35.200 --> 00:03:37.680]  記不記得我講大衛傳的時候
[00:03:37.680 --> 00:03:39.680]  曾經講過一篇道
[00:03:39.680 --> 00:03:42.400]  是講大衛勇士的名單
[00:03:42.400 --> 00:03:44.880]  連名單我都可以講一篇道
[00:03:44.880 --> 00:03:48.640]  所以你不要說文安更加可以講一篇道
[00:03:48.640 --> 00:03:52.480]  這個整個結構最中心的地方是什麼?
[00:03:52.480 --> 00:03:55.040]  是講到恩順清義
[00:03:55.040 --> 00:03:58.880]  羅馬書的一章八節至十五章頭
[00:03:58.880 --> 00:04:01.440]  就是講恩順清義的教導
[00:04:01.440 --> 00:04:03.440]  恩順清義的真理
[00:04:03.440 --> 00:04:05.440]  而今天的經文呢
[00:04:05.440 --> 00:04:09.040]  羅馬書的十五章十四節至三十三節
[00:04:09.040 --> 00:04:13.840]  就是講出保羅教我們怎樣由他自己的事工
[00:04:13.840 --> 00:04:17.440]  他的計劃能夠行出恩順清義
