
[00:00:00.000 --> 00:00:05.500]  烈王紀第四章
[00:00:05.500 --> 00:00:08.320]  今天要講烈王紀上的第三章
[00:00:08.320 --> 00:00:11.320]  今天我給的題目很有趣
[00:00:11.320 --> 00:00:15.320]  從大衛和所羅門向神所求的
[00:00:15.320 --> 00:00:17.320]  看真正的智慧
[00:00:17.320 --> 00:00:21.320]  我們知道所羅門在烈王紀上的第三章
[00:00:21.320 --> 00:00:23.820]  求神給智慧給他
[00:00:23.820 --> 00:00:27.820]  你說大衛又求神要些什麼?
[00:00:27.820 --> 00:00:31.320]  到我們今天結束的時候我們會回來看這一點
[00:00:31.320 --> 00:00:35.820]  看一下誰才是尋求真正的智慧
[00:00:35.820 --> 00:00:40.320]  在烈王紀上的第一章和第二章
[00:00:40.320 --> 00:00:44.820]  我們講過所羅門鞏固了他自己的王位
[00:00:44.820 --> 00:00:49.320]  之後今天第三章他就去到雞片
[00:00:49.320 --> 00:00:51.820]  來向神獻祭
[00:00:51.820 --> 00:00:53.820]  神就向他顯現
[00:00:53.820 --> 00:00:56.820]  他就向神求智慧
[00:00:56.820 --> 00:00:58.820]  神不但給他智慧
[00:00:58.820 --> 00:01:01.820]  還給他財富榮耀
[00:01:01.820 --> 00:01:04.820]  然後在烈王紀上的經文
[00:01:04.820 --> 00:01:10.820]  記載所羅門運用甚至可以說是濫用他的智慧
[00:01:10.820 --> 00:01:12.820]  來帶領他的人民
[00:01:12.820 --> 00:01:17.820]  烈王紀其實是作者很精心的寫作
[00:01:17.820 --> 00:01:22.820]  我們曾經講過在烈王紀的文筆非常精彩
[00:01:22.820 --> 00:01:26.320]  作者用了很多不同的字眼
[00:01:26.320 --> 00:01:31.320]  用了很多的結構來反映出一些神學思想
[00:01:31.320 --> 00:01:34.320]  例如從所羅門的生平
[00:01:34.320 --> 00:01:37.320]  我們能夠見到神的仁慈
[00:01:37.320 --> 00:01:40.320]  能夠見到神的憐憫
[00:01:40.320 --> 00:01:45.820]  今天烈王紀上的第三章的大綱非常簡單
[00:01:45.820 --> 00:01:47.320]  一共是三點
