
[00:00:00.000 --> 00:00:05.800]  我父親就來領客十幾度
[00:00:05.800 --> 00:00:07.800]  我不忍心在外面那麼冷
[00:00:07.800 --> 00:00:09.800]  請他進來喝杯熱茶
[00:00:09.800 --> 00:00:11.800]  他就坐下來說
[00:00:11.800 --> 00:00:13.800]  我們這麼熟的
[00:00:13.800 --> 00:00:15.800]  要識背六百字聖經
[00:00:15.800 --> 00:00:17.800]  那些不是傳道人來的
[00:00:17.800 --> 00:00:19.800]  那些只不過是報道者
[00:00:19.800 --> 00:00:24.300]  我都沒有跟他說過牧師
[00:00:24.300 --> 00:00:26.300]  可能我都不夠他查得那麼快
[00:00:26.300 --> 00:00:31.300]  我就要在神學上解釋
[00:00:31.300 --> 00:00:33.300]  不詳細說
[00:00:33.300 --> 00:00:37.300]  早期教會說
[00:00:37.300 --> 00:00:39.300]  當我們相信聖經
[00:00:39.300 --> 00:00:41.300]  我們必須有一個前提
[00:00:41.300 --> 00:00:43.300]  相信上帝的啟示
[00:00:43.300 --> 00:00:45.300]  就是耶穌基督
[00:00:45.300 --> 00:00:47.300]  當你有耶穌基督的時候
[00:00:47.300 --> 00:00:49.300]  你再重新看整個聖經
[00:00:49.300 --> 00:00:51.300]  就是一個連串的啟示
[00:00:51.300 --> 00:00:53.300]  如果你說我有聖經就行了
[00:00:53.300 --> 00:00:55.300]  不用說那麼多
[00:00:55.300 --> 00:00:57.300]  你查聖經
[00:00:57.300 --> 00:00:59.300]  可能你查了《摩門教》
[00:00:59.300 --> 00:01:01.300]  《守望圖》
[00:01:01.300 --> 00:01:03.300]  如果不是對耶穌基督
[00:01:03.300 --> 00:01:05.300]  一個正確的認識
[00:01:05.300 --> 00:01:09.300]  如果不是按照上帝的漸進的啟示
[00:01:09.300 --> 00:01:11.300]  由舊約到新約的時候
[00:01:11.300 --> 00:01:13.300]  很多時候
[00:01:13.300 --> 00:01:15.300]  我們就可能迷路了
[00:01:15.300 --> 00:01:17.300]  信經就幫助我們
[00:01:17.300 --> 00:01:19.300]  先有一個正確的對基督的信仰
[00:01:19.300 --> 00:01:21.300]  然後重新在聖經裏面
[00:01:21.300 --> 00:01:24.300]  看怎樣去預言基督
[00:01:24.300 --> 00:01:26.300]  怎樣描述基督
[00:01:26.300 --> 00:01:28.300]  不單止這樣
