
[00:00:00.000 --> 00:00:08.820]  智慧的心 誰有資格講這個這麼重要的題目呢?
[00:00:08.820 --> 00:00:13.300]  如果不是得到一個智慧的心
[00:00:13.300 --> 00:00:16.720]  我想我今天不會在這裡
[00:00:16.720 --> 00:00:20.800]  因為在我年輕的時候
[00:00:20.800 --> 00:00:25.280]  我是對人生抱著一個非常灰暗的態度
[00:00:25.280 --> 00:00:28.880]  雖然我年輕的時候身體健壯
[00:00:28.880 --> 00:00:33.040]  都是在一個正常的家庭來長大
[00:00:33.040 --> 00:00:35.640]  但是我對人生就覺得
[00:00:35.640 --> 00:00:38.520]  到底做人做來做什麼呢?
[00:00:38.520 --> 00:00:41.720]  做牛做馬這麼快就過去了
[00:00:41.720 --> 00:00:44.220]  就覺得很沒有意思
[00:00:44.220 --> 00:00:47.720]  於是我就趁著年輕的時候
[00:00:47.720 --> 00:00:52.540]  還可以浪漫 可以瀟灑
[00:00:52.540 --> 00:00:55.400]  我就讀完書都不做事
[00:00:55.400 --> 00:01:01.840]  就拿著口罩跟著貨車到處去彈結他
[00:01:01.840 --> 00:01:06.920]  人家說有大麻就最好 結交這樣的朋友
[00:01:06.920 --> 00:01:11.560]  所以我的心根本是一個很混亂的心
[00:01:11.560 --> 00:01:16.960]  但是當我想起自己在今天的人生
[00:01:16.960 --> 00:01:19.680]  我就很想將我有的一切
[00:01:19.680 --> 00:01:22.240]  或者我經驗了的一切
[00:01:22.240 --> 00:01:26.800]  盡量跟最多的人來分享
[00:01:26.800 --> 00:01:30.840]  今天是20幾號?
[00:01:30.840 --> 00:01:33.660]  25號 是不是? 25號
[00:01:33.660 --> 00:01:38.960]  25減7就是多少?18號
[00:01:38.960 --> 00:01:46.040]  上個星期就剛剛是我結婚31週年
[00:01:46.040 --> 00:01:48.800]  我認識了這個女孩子
[00:01:48.800 --> 00:01:54.080]  就是拖了她9年才娶她進來
[00:01:54.080 --> 00:01:59.320]  在這麼長的關係裏面
[00:01:59.320 --> 00:02:04.680]  我覺得影響我最大的就是這一顆智慧的心
[00:02:04.680 --> 00:02:06.560]  不是我自己得的
[00:02:06.560 --> 00:02:09.480]  是今天跟大家分享的經文裏面
[00:02:09.480 --> 00:02:11.520]  有一節這樣說
[00:02:11.520 --> 00:02:13.520]  求你指教我們
[00:02:13.520 --> 00:02:15.920]  怎樣數算自己的日子
[00:02:15.920 --> 00:02:19.720]  好叫我們得著智慧的心
[00:02:19.720 --> 00:02:21.120]  親愛的朋友
[00:02:21.120 --> 00:02:25.320]  不知道你有沒有智慧的心?
[00:02:25.320 --> 00:02:29.960]  可能你的智商是高過很多很多的人
[00:02:29.960 --> 00:02:32.640]  可能你在CEO的位置
[00:02:32.640 --> 00:02:35.200]  或者在很高的職位那裏
[00:02:35.200 --> 00:02:37.920]  你都做了很多很好的事
[00:02:37.920 --> 00:02:41.160]  但是問一下有沒有一個智慧的心呢?
[00:02:41.160 --> 00:02:43.480]  不知道我們會怎樣回答
