
[00:00:00.000 --> 00:00:07.000]  好 第一次會在聆聽主導熱線讓我們一起和心低頭禱告
[00:00:07.000 --> 00:00:09.000]  讓我們愛主愛神
[00:00:09.000 --> 00:00:14.000]  父神多謝你給我們有一個美麗的星期天的早上
[00:00:14.000 --> 00:00:18.000]  在這個風光明媚的日子
[00:00:18.000 --> 00:00:20.000]  雖然天氣很寒冷
[00:00:20.000 --> 00:00:24.000]  但求主你給我們每一個屬神的子民
[00:00:24.000 --> 00:00:28.000]  我們心都是火熱的在主你裡面去追求
[00:00:28.000 --> 00:00:32.000]  在今天這個世界裡有很多的掙扎
[00:00:32.000 --> 00:00:34.000]  很多的挑戰
[00:00:34.000 --> 00:00:36.000]  特別是在我們信徒的面前
[00:00:36.000 --> 00:00:40.000]  有甚至對於基督的挑戰
[00:00:40.000 --> 00:00:42.000]  奚落 誣衊
[00:00:42.000 --> 00:00:46.000]  但願主給我們作為信徒的有智慧的去面對
[00:00:46.000 --> 00:00:54.000]  能夠去曉得怎樣去按不同的時候時間人物
[00:00:54.000 --> 00:00:57.000]  都將主你的道理申明出來
[00:00:57.000 --> 00:01:03.000]  讓認罪悔改的道在這個世界裡能夠彰顯
[00:01:03.000 --> 00:01:07.000]  因為這正是父神你的心思意念
[00:01:07.000 --> 00:01:09.000]  求你與我們同在
[00:01:09.000 --> 00:01:13.000]  在餘下的聆聽主導的時間
[00:01:13.000 --> 00:01:18.000]  有智慧洞悉當中上帝的教導
[00:01:18.000 --> 00:01:21.000]  禱告奉靠主耶穌得逞的名字求
[00:01:21.000 --> 00:01:23.000]  阿們
[00:01:23.000 --> 00:01:27.000]  在上星期講完道之後
[00:01:27.000 --> 00:01:33.000]  有不少的弟兄姊妹都走來問我一些問題
[00:01:33.000 --> 00:01:39.000]  特別是關乎於賦予的年青人的問題
[00:01:39.000 --> 00:01:42.000]  其實上星期我們講道的時候
[00:01:42.000 --> 00:01:45.000]  我們開始了第十九章的第十六節
[00:01:45.000 --> 00:01:50.000]  至到三十節的這部分的經文的一半
[00:01:50.000 --> 00:01:56.000]  提到一個題目叫做一個非常淑女的靈性心冤的第一講
