
[00:00:00.000 --> 00:00:05.000]  各位兄弟姐妹你們好
[00:00:05.000 --> 00:00:13.000]  我非常開心能夠和你分享一些我生命走過的路
[00:00:13.000 --> 00:00:22.000]  我今天的總題就是「岩正影子論人生」
[00:00:22.000 --> 00:00:27.000]  其實我有一個子題
[00:00:27.000 --> 00:00:29.000]  我都告訴你了
[00:00:29.000 --> 00:00:31.000]  就像寫文章一樣
[00:00:31.000 --> 00:00:36.000]  這個子題就是「絕情谷的再生」
[00:00:36.000 --> 00:00:41.000]  這個絕情谷不是由武學小說來的
[00:00:41.000 --> 00:00:47.000]  是由詩篇來的
[00:00:47.000 --> 00:00:53.000]  我經常覺得我們要在詩篇上的話
[00:00:53.000 --> 00:00:59.000]  你得到的幫助才是最基本的
[00:00:59.000 --> 00:01:02.000]  如果你同意的
[00:01:02.000 --> 00:01:04.000]  你又能夠走哪一條聖經呢?
[00:01:04.000 --> 00:01:11.000]  我可不可以請你打開詩篇第84篇
[00:01:11.000 --> 00:01:14.000]  我會和你解釋這篇詩篇
[00:01:14.000 --> 00:01:22.000]  然後讓你完全體會詩人的心路歷程
[00:01:22.000 --> 00:01:28.000]  你自然能夠在裡面找到安慰
[00:01:28.000 --> 00:01:38.000]  請大家打開舊約720頁
[00:01:38.000 --> 00:01:44.000]  詩篇第84篇
[00:01:44.000 --> 00:01:49.000]  我們要讀要解的那一段
[00:01:49.000 --> 00:01:54.000]  只能夠讀到五節到八節
[00:01:54.000 --> 00:01:56.000]  因為我們沒有時間
[00:01:56.000 --> 00:01:59.000]  如果可以給我時間長一點
[00:01:59.000 --> 00:02:01.000]  我喜歡解整篇的
[00:02:01.000 --> 00:02:08.000]  但核心那一段就是五到八節
[00:02:08.000 --> 00:02:10.000]  你找到的話
[00:02:10.000 --> 00:02:13.000]  我就很想讀給你聽
[00:02:13.000 --> 00:02:18.000]  你可以看著你的聖經就可以了
[00:02:19.000 --> 00:02:23.000]  「靠你有力量
[00:02:23.000 --> 00:02:27.000]  心中嚮往食安大道的
[00:02:27.000 --> 00:02:30.000]  這人便為有福
[00:02:30.000 --> 00:02:33.000]  他們經過流淚谷
[00:02:33.000 --> 00:02:37.000]  叫這谷變為泉源之地
[00:02:37.000 --> 00:02:40.000]  並有秋雨之福
[00:02:40.000 --> 00:02:42.000]  蓋滿了泉谷
[00:02:42.000 --> 00:02:46.000]  他們行走力上加力
[00:02:46.000 --> 00:02:50.000]  各人到食安朝見神
[00:02:50.000 --> 00:02:55.000]  要萬軍之神求你聽我的禱告
[00:02:55.000 --> 00:02:59.000]  雅各之神求你留心聽」
[00:02:59.000 --> 00:03:05.000]  這篇詩我們要先知道作者的背景
