
[00:00:00.000 --> 00:00:06.240]  好 多謝容律師放我出來
[00:00:06.240 --> 00:00:08.240]  因為我真的等了很久
[00:00:08.240 --> 00:00:09.240]  我等了很久
[00:00:09.240 --> 00:00:12.240]  其實現在眼睛都有點澀
[00:00:12.240 --> 00:00:15.740]  因為剛才的堂我太感動了
[00:00:15.740 --> 00:00:20.740]  講到最後他們放了匯眾的場面給我看
[00:00:20.740 --> 00:00:22.740]  一看到我就真的忍不住
[00:00:22.740 --> 00:00:25.740]  我真的忍不住 因為真的很記掛著大家
[00:00:25.740 --> 00:00:30.240]  回來多倫多之後
[00:00:30.240 --> 00:00:35.240]  我常常擔心10月24日能不能回到全福堂講道
[00:00:35.240 --> 00:00:38.740]  我又很怕教會因為我回不來
[00:00:38.740 --> 00:00:41.240]  就會取消心術15、16
[00:00:41.240 --> 00:00:47.240]  很感恩容律師全福堂都容許我用視像來跟大家講道
[00:00:47.240 --> 00:00:53.240]  我聽陳夏梓梅說我是第一個海外港語用視像來講道
[00:00:53.240 --> 00:00:55.740]  我很感恩 我一開始跟容律師講
[00:00:55.740 --> 00:01:01.740]  我嘗試2點、3點半、3點半和5點半都用直播
[00:01:01.740 --> 00:01:05.740]  容律師說不好 改一改
[00:01:05.740 --> 00:01:07.740]  我頭兩堂就錄播
[00:01:07.740 --> 00:01:09.740]  這一堂就是直播
[00:01:09.740 --> 00:01:14.740]  其實我凌晨1點半就回到辦公室
[00:01:14.740 --> 00:01:17.740]  一直參加不到2點鐘的堂
[00:01:17.740 --> 00:01:20.740]  3點鐘的堂我全程都起讀
[00:01:20.740 --> 00:01:23.240]  到最後就和大家打個招呼
[00:01:23.240 --> 00:01:25.240]  很開心見到大家
[00:01:25.240 --> 00:01:27.240]  剛才完了之後我和陳夏梓梅說
[00:01:27.240 --> 00:01:31.740]  我見不到會眾很辛苦
[00:01:31.740 --> 00:01:34.740]  我見到自己很辛苦
[00:01:34.740 --> 00:01:36.240]  可不可以見到我
[00:01:36.240 --> 00:01:40.740]  我們可不可以用手機拍他們的背部給我看
[00:01:40.740 --> 00:01:42.240]  陳夏梓梅說很好
[00:01:42.240 --> 00:01:43.740]  她不是拍背部
[00:01:43.740 --> 00:01:45.240]  她拍了正面
[00:01:45.240 --> 00:01:46.240]  不知道大家看不看得到
[00:01:46.240 --> 00:01:47.240]  拍正面
[00:01:47.240 --> 00:01:49.240]  我看著你們
[00:01:49.240 --> 00:01:52.740]  她說得好很多
[00:01:52.740 --> 00:01:54.240]  我真的很感恩
[00:01:54.240 --> 00:01:56.240]  我今天能夠在大家當中分享
[00:01:56.240 --> 00:02:00.240]  我們祈禱吧
[00:02:00.240 --> 00:02:03.240]  我們專心聆聽神的話語
[00:02:03.240 --> 00:02:04.240]  我們一起祈禱
[00:02:04.240 --> 00:02:08.240]  天父我們也將時間帶到主的面前
[00:02:08.240 --> 00:02:11.740]  我們很相信弟兄姊妹彼此的掛念
[00:02:11.740 --> 00:02:13.240]  互相的守望
[00:02:13.240 --> 00:02:14.740]  彼此的相愛
[00:02:14.740 --> 00:02:16.740]  是主的心意
[00:02:16.740 --> 00:02:19.740]  無論當我在年初聽到香港的情況
[00:02:19.740 --> 00:02:22.740]  或者現在香港弟兄姊妹聽到北美的情況
[00:02:22.740 --> 00:02:25.740]  給我們不會說我慶幸我在某個地方
[00:02:25.740 --> 00:02:27.740]  而是我們大家心連心
[00:02:27.740 --> 00:02:30.740]  真的肢體是彼此的相依
[00:02:30.740 --> 00:02:32.740]  真的感同身受
[00:02:32.740 --> 00:02:34.740]  我們會記掛
[00:02:34.740 --> 00:02:35.740]  我們會分享
[00:02:35.740 --> 00:02:37.740]  我們會分擔
[00:02:37.740 --> 00:02:39.740]  我們能夠做的事我們都會做
[00:02:39.740 --> 00:02:41.740]  我們能夠說的事我們都會說
[00:02:41.740 --> 00:02:43.740]  求主你幫助我們
[00:02:43.740 --> 00:02:46.740]  不只是我們一個教會
[00:02:46.740 --> 00:02:48.740]  而是普天之下
[00:02:48.740 --> 00:02:49.740]  剛才容牧師的祈禱
[00:02:49.740 --> 00:02:50.740]  很多家庭
[00:02:50.740 --> 00:02:52.740]  很多社會
[00:02:52.740 --> 00:02:55.740]  很多教會
[00:02:55.740 --> 00:02:56.740]  是很需要神的恩
[00:02:56.740 --> 00:02:58.740]  很需要神的愛
[00:02:58.740 --> 00:03:00.740]  所以每一次我們打開神的話
[00:03:00.740 --> 00:03:01.740]  我們聆聽的時候
[00:03:01.740 --> 00:03:03.740]  真的非常寶貴
[00:03:03.740 --> 00:03:06.740]  我們發現只有神的話語給我們方向
[00:03:06.740 --> 00:03:08.740]  給我們前路
[00:03:08.740 --> 00:03:09.740]  給我們指引
[00:03:09.740 --> 00:03:10.740]  給我們力量
[00:03:10.740 --> 00:03:12.740]  所以求恩主你自己祝福
[00:03:12.740 --> 00:03:14.740]  因為我們所看這段聖經
[00:03:14.740 --> 00:03:15.740]  給我們提醒
[00:03:15.740 --> 00:03:16.740]  給我們鼓勵
